"keys","en","ja","zh","ru","es","pt","de","ko"
"MSG_C_HIDE_A_WIN","You pressed flat against the stone wall and held your breath as the ant column marched past in perfect formation. Their chemical navigation runs on a narrow track and anything outside that track simply does not exist.","石の壁に平らに張り付いて息を止め、アリの縦列が完璧な隊形で通り過ぎるのを待った。奴らの化学的なナビゲーションは狭い軌道上を走り、その軌道外のものは単純に存在しない。","你紧贴石壁憋住气息，等待蚁列以完美队形从旁走过。它们的化学导航行走在一条狭窄的轨道上，轨道之外的一切单纯不存在。","Вы прижались к каменной стене и затаили дыхание, пока колонна муравьев маршировала мимо в идеальном строю. Их химическая навигация работает на узкой дорожке, и всего, что находится за ее пределами, просто не существует.","Te pegaste a la pared de piedra y contuviste el aliento mientras la columna de hormigas pasaba en formación perfecta. Su navegación química funciona en una pista estrecha y cualquier cosa fuera de esa pista simplemente no existe.","Você se pressionou contra a parede de pedra e prendeu a respiração enquanto a coluna de formigas passava em formação perfeita. Sua navegação química funciona em uma trilha estreita e qualquer coisa fora dessa trilha simplesmente não existe.","Du hast dich flach gegen die Steinwand gedrückt und den Atem angehalten, während die Ameisenkolonne in perfekter Formation vorbeimarschierte. Ihre chemische Navigation läuft auf einer schmalen Spur, und alles außerhalb dieser Spur existiert einfach nicht.","당신은 개미 행렬이 완벽한 대형으로 지나가는 동안 돌벽에 몸을 붙이고 숨을 참았습니다. 그들의 화학적 항법은 좁은 경로를 따라 작동하며, 그 경로 밖의 모든 것은 단순히 존재하지 않습니다."
"MSG_C_HIDE_B_WIN","You dropped below the bat's echolocation sweep by lying flat in a shallow depression in the dungeon floor. Its sonar returned a clean signal and it banked away satisfied that the corridor was empty.","ダンジョンの床の浅い凹みに平らに伏せて、コウモリの反響定位の走査の下に潜った。奴のソナーはクリアな信号を返し、廊下が空であることに満足して旋回して去っていった。","你趴在地牢地板的一处浅凹坑里，潜入蝙蝠回声定位扫描的射程之下。它的声呐返回了干净的信号，它满意地判断走廊为空，转身离去了。","Вы опустились ниже зоны действия эхолокации летучей мыши, плашмя лежа в неглубокой впадине в полу подземелья. Ее сонар вернул чистый сигнал, и она улетела, убедившись, что коридор пуст.","Te agachaste por debajo del barrido de ecolocalización del murciélago tumbándote en una depresión poco profunda en el suelo de la mazmorra. Su sonar devolvió una señal limpia y se alejó satisfecha de que el corredor estuviera vacío.","Você desceu abaixo da varredura de ecolocalização do morcego deitando-se em uma depressão rasa no chão da masmorra. Seu sonar retornou um sinal limpo e ele se afastou satisfeito por o corredor estar vazio.","Du hast dich unter den Echolotbereich der Fledermaus geduckt, indem du flach in einer flachen Vertiefung im Kerkerboden lagst. Ihr Sonar lieferte ein sauberes Signal zurück, und sie drehte ab, zufrieden, dass der Korridor leer war.","당신은 던전 바닥의 얕은 구멍에 납작하게 엎드려 박쥐의 초음파 탐지 범위 아래로 몸을 숨겼습니다. 박쥐의 음파 탐지기는 깨끗한 신호를 반환했고, 박쥐는 복도가 비어 있다고 만족하며 날아갔습니다."
"MSG_C_HIDE_C_WIN","You pressed into a crevice and adopted the precise posture of the surrounding stonework. The cobra's heat-sensing pits read you as ambient temperature and it flowed past without pausing.","隙間に身を押し込んで、周囲の石造りと同じ姿勢を取った。コブラの熱感知ピットはあなたを周囲の温度と読み取り、立ち止まることなく流れるように通り過ぎた。","你钻入一道裂缝，摆出与周围石工相同的姿势。眼镜蛇的热感应颊窝将你读取为环境温度，毫不停顿地流淌而过。","Вы втиснулись в щель и приняли позу, в точности повторяющую окружающую кладку. Термочувствительные ямки кобры приняли вас за температуру окружающей среды, и она проползла мимо, не останавливаясь.","Te metiste en una grieta y adoptaste la postura precisa de la mampostería circundante. Las fosas termorreceptoras de la cobra te leyeron como temperatura ambiente y pasó de largo sin detenerse.","Você se enfiou em uma fenda e adotou a postura precisa da alvenaria ao redor. As covas termossensíveis da cobra leram você como temperatura ambiente e ela passou sem parar.","Du hast dich in einen Spalt gedrückt und die genaue Haltung des umgebenden Mauerwerks eingenommen. Die wärmeempfindlichen Gruben der Kobra lasen dich als Umgebungstemperatur, und sie glitt ohne Pause vorbei.","당신은 틈새에 몸을 밀어 넣고 주변 석조물과 똑같은 자세를 취했습니다. 코브라의 열 감지 기관은 당신을 주변 온도로 인식했고, 코브라는 멈추지 않고 미끄러지듯 지나갔습니다."
"MSG_C_HIDE_D_WIN","You concealed yourself beneath the rubble of a previous encounter before the dragon entered the chamber. Its pride was such that it scanned only at eye level for a worthy opponent and never once looked downward.","竜が部屋に入る前に、以前の遭遇の瓦礫の下に身を隠した。奴の誇りは、立派な対戦相手を目の高さでしか探さず、一度も下を見下ろさないほどだった。","你在巨龙进入房间之前，藏身于一场过往遭遇留下的残骸之下。它的傲慢使它只在眼睛的高度搜寻值得一战的对手，从未向下看过一眼。","Вы спрятались под обломками предыдущей схватки до того, как дракон вошел в зал. Его гордыня была такова, что он искал достойного противника только на уровне глаз и ни разу не посмотрел вниз.","Te escondiste bajo los escombros de un encuentro anterior antes de que el dragón entrara en la cámara. Su orgullo era tal que escaneaba solo a la altura de los ojos en busca de un oponente digno y nunca miró hacia abajo.","Você se escondeu sob os escombros de um encontro anterior antes do dragão entrar na câmara. Seu orgulho era tal que ele escaneava apenas ao nível dos olhos em busca de um oponente digno e nunca olhou para baixo.","Du hast dich unter den Trümmern einer früheren Begegnung versteckt, bevor der Drache den Raum betrat. Sein Stolz war so groß, dass er nur auf Augenhöhe nach einem würdigen Gegner suchte und kein einziges Mal nach unten sah.","당신은 용이 방에 들어오기 전, 이전 전투의 잔해 아래에 몸을 숨겼습니다. 용의 자부심은 대단해서 오직 눈높이에서만 가치 있는 상대를 찾았고, 단 한 번도 아래를 내려다보지 않았습니다."
"MSG_C_HIDE_E_WIN","You climbed silently into the canopy of the Ent's own outstretched branches and remained motionless. The ancient guardian searched methodically at ground level for several minutes before concluding the intruder had fled.","エントの伸ばした枝の葉陰に静かに登り、動かずにいた。古の守護者は数分間、地上レベルで体系的に侵入者を探し、逃げ去ったと結論付けた。","你悄无声息地攀上了树人自己伸展枝条的树冠处，一动不动地待着。这位古老的树人有条不紊地在地面高度搜寻了数分钟，最终断定入侵者已经逃走了。","Вы бесшумно забрались в крону распростертых ветвей самого Энта и замерли. Древний страж несколько минут методично обыскивал землю, прежде чем прийти к выводу, что незваный гость сбежал.","Te subiste en silencio a la copa de las propias ramas extendidas del Ent y te quedaste inmóvil. El antiguo guardián buscó metódicamente a nivel del suelo durante varios minutos antes de concluir que el intruso había huido.","Você subiu silenciosamente na copa dos próprios ramos estendidos do Ent e permaneceu imóvel. O antigo guardião procurou metodicamente ao nível do chão por vários minutos antes de concluir que o invasor havia fugido.","Du bist lautlos in die Baumkrone der ausgestreckten Äste des Ents geklettert und starr geblieben. Der uralte Wächter suchte mehrere Minuten lang methodisch am Boden, bevor er zu dem Schluss kam, dass der Eindringling geflohen war.","당신은 엔트의 뻗은 가지 위로 조용히 올라가 움직이지 않고 있었습니다. 고대의 수호자는 지상에서 몇 분 동안 체계적으로 침입자를 찾았으나, 침입자가 도망갔다고 결론을 내렸습니다."
"MSG_C_HIDE_F_WIN","You remained completely still and the fly's motion-detection system registered you as part of the background scenery. It circled the perimeter of the room twice and departed to find something more interesting.","完全に静止したままでいると、ハエの動体検知システムはあなたを背景の一部として認識した。奴は部屋の外周を二度回ってから、もっと面白いものを探して立ち去った。","你保持完全静止，苍蝇的运动探测系统将你识别为背景的一部分。它绕着房间的边缘转了两圈，然后离开去寻找更有趣的东西。","Вы оставались совершенно неподвижны, и система обнаружения движения мухи зафиксировала вас как часть фонового пейзажа. Она дважды облетела комнату по периметру и улетела искать что-то более интересное.","Te quedaste completamente quieto y el sistema de detección de movimiento de la mosca te registró como parte del paisaje de fondo. Rodeó el perímetro de la habitación dos veces y se fue a buscar algo más interesante.","Você permaneceu completamente imóvel e o sistema de detecção de movimento da mosca registrou você como parte do cenário de fundo. Ele circulou o perímetro da sala duas vezes e partiu para encontrar algo mais interessante.","Du bist völlig still geblieben, und das Bewegungserkennungssystem der Fliege hat dich als Teil der Hintergrundlandschaft registriert. Sie umkreiste zweimal den Raum und verschwand, um etwas Interessanteres zu finden.","당신은 완전히 가만히 있었고 파리의 움직임 감지 시스템은 당신을 배경의 일부로 인식했습니다. 파리는 방을 두 바퀴 돌더니 더 흥미로운 것을 찾기 위해 떠났습니다."
"MSG_C_HIDE_G_WIN","You hid the last item of value in the room behind a loose brick and then sprinted past the goblin at full speed while it was tearing apart the chamber looking for where you had stashed the loot.","部屋の価値あるものの最後のひとつを緩んだレンガの後ろに隠してから、ゴブリンが戦利品の隠し場所を探して部屋を引っ掻き回している間に全力で脇を駆け抜けた。","你将房间里最后一件值钱的东西藏在了一块松动的砖块后面，然后趁哥布林翻遍整个房间寻找你藏匿战利品的地方时，全速从它身旁冲过了。","Вы спрятали последний ценный предмет в комнате за шатающимся кирпичом, а затем на полной скорости промчались мимо гоблина, пока тот разносил комнату в поисках вашей добычи.","Escondiste el último objeto de valor de la habitación detrás de un ladrillo suelto y luego corriste a toda velocidad junto al duende mientras este destrozaba la cámara buscando dónde habías escondido el botín.","Você escondeu o último item de valor na sala atrás de um tijolo solto e depois correu a toda velocidade pelo goblin enquanto ele destruía a câmara procurando onde você havia escondido o saque.","Du hast den letzten wertvollen Gegenstand im Raum hinter einem losen Ziegelstein versteckt und bist dann mit voller Geschwindigkeit am Goblin vorbeigerannt, während er die Kammer zerlegte, um zu sehen, wo du die Beute versteckt hattest.","당신은 방의 마지막 귀중품을 느슨한 벽돌 뒤에 숨기고, 고블린이 당신이 전리품을 숨긴 장소를 찾으려고 방을 뒤지는 사이 전속력으로 그 옆을 달려나갔습니다."
"MSG_C_HIDE_H_LOSS","The harpy hunts from above and scans an entire chamber in a single pass. You were visible from the ceiling the moment you stepped in and she had already calculated your position before you finished looking for cover.","ハーピーは上から狩り、一度の通過で部屋全体を走査する。あなたは足を踏み入れた瞬間に天井から見えており、奴は身を隠す場所を探し終える前にすでにあなたの位置を計算していた。","鹰身女妖从上方狩猎，只需一次扫过便能查看整个房间。你踏入的那一刻便从天花板处暴露了，她在你找完遮蔽之前就已经计算好了你的位置。","Гарпия охотится сверху и сканирует весь зал за один проход. Вы были видны с потолка в тот момент, когда вошли, и она уже рассчитала ваше положение еще до того, как вы закончили искать укрытие.","La arpía caza desde arriba y escanea una cámara entera en una sola pasada. Fuiste visible desde el techo en el momento en que entraste y ella ya había calculado tu posición antes de que terminaras de buscar cobertura.","A harpia caça de cima e varre uma câmara inteira em uma única passagem. Você estava visível do teto no momento em que entrou e ela já havia calculado sua posição antes de você terminar de procurar cobertura.","Die Harpyie jagt von oben und scannt eine ganze Kammer in einem einzigen Durchgang. Du warst von der Decke aus sichtbar, sobald du eintratst, und sie hatte deine Position bereits berechnet, bevor du mit der Suche nach Deckung fertig warst.","하피는 위에서 사냥하며 단 한 번의 비행으로 방 전체를 훑어봅니다. 당신이 발을 들여놓는 순간 천장에서 당신이 보였고, 하피는 당신이 엄폐물을 찾기도 전에 이미 당신의 위치를 계산했습니다."
"MSG_C_HIDE_I_WIN","You hid behind a pillar and the imp teleported in searching for you. It checked behind every pillar except the one you were behind because you had moved a torch to cast your shadow in the wrong direction.","柱の後ろに隠れると、インプがテレポートしてあなたを探してきた。奴はあなたが隠れている柱以外の全ての柱の後ろを調べた。なぜなら、あなたは影が違う方向に落ちるよう松明を動かしておいたからだ。","你躲在一根柱子后面，小魔鬼传送过来寻找你。它查看了每一根柱子后面，唯独没查你躲的那根，因为你已将一支火把移位，让你的影子投在了错误的方向。","Вы спрятались за колонной, и бес телепортировался в поисках вас. Он проверил за каждой колонной, кроме той, за которой стояли вы, потому что вы передвинули факел, чтобы ваша тень падала в другом направлении.","Te escondiste detrás de una columna y el imp se teletransportó buscándote. Revisó detrás de cada columna excepto la que estabas detrás porque habías movido una antorcha para proyectar tu sombra en la dirección equivocada.","Você se escondeu atrás de um pilar e o imp teletransportou-se procurando por você. Ele verificou atrás de cada pilar, exceto aquele atrás do qual você estava, porque você moveu uma tocha para projetar sua sombra na direção errada.","Du hast dich hinter einer Säule versteckt, und der Imp teleportierte sich hinein, um dich zu suchen. Er suchte hinter jeder Säule außer der, hinter der du standst, weil du eine Fackel bewegt hattest, um deinen Schatten in die falsche Richtung zu werfen.","당신은 기둥 뒤에 숨었고 임프는 당신을 찾기 위해 텔레포트했습니다. 임프는 당신이 있는 기둥을 제외한 모든 기둥 뒤를 확인했습니다. 당신이 횃불을 옮겨 그림자가 엉뚱한 방향으로 비치게 했기 때문입니다."
"MSG_C_HIDE_J_LOSS","The jelly seeped under the door before you had found your hiding spot and flooded the entire room at floor level. There was nowhere to crouch that it had not already occupied and you were engulfed before you could stand back up.","あなたが隠れる場所を見つける前に、ジェリーはドアの下から浸み出て部屋全体の床面を浸した。奴がすでに占領していない場所は屈める場所になかった。立ち上がる間もなく飲み込まれた。","果冻怪在你找到藏身处之前，就从门缝下渗了进来，将整个房间的地面层淹没了。没有任何可以蜷缩的地方是它尚未占据的，还没来得及站起来你就被淹没了。","Желе просочилось под дверь еще до того, как вы нашли укрытие, и затопило всю комнату на уровне пола. Негде было присесть, где бы оно уже не побывало, и вас поглотило прежде, чем вы успели встать.","La gelatina se filtró debajo de la puerta antes de que hubieras encontrado tu escondite e inundó toda la habitación a nivel del suelo. No había ningún lugar donde agacharse que no hubiera ocupado ya y fuiste engullido antes de que pudieras volver a levantarte.","A gelatina infiltrou-se sob a porta antes de você encontrar seu esconderijo e inundou toda a sala ao nível do chão. Não havia nenhum lugar para se agachar que ela já não tivesse ocupado e você foi engolido antes de conseguir se levantar.","Das Gelee sickert unter der Tür durch, bevor du dein Versteck gefunden hattest, und überflutete den gesamten Raum in Bodenhöhe. Es gab keinen Platz zum Hocken, den es nicht bereits besetzt hatte, und du wurdest verschlungen, bevor du wieder aufstehen konntest.","당신이 숨을 곳을 찾기도 전에 젤리가 문 아래로 스며들어 방 바닥 전체를 가득 채웠습니다. 젤리가 차지하지 않은 곳은 없었고, 당신은 다시 일어서기도 전에 젤리에 휩쓸리고 말았습니다."
