"keys","en","ja","zh","ru","es","pt","de","ko"
"MSG_C_LAWSUIT_A_WIN","You sued the ant for trespassing. It was crushed by legal fees.","不法侵入でアリを提訴した。莫大な訴訟費用でアリは破産した。","你以非法入侵起诉了蚂蚁。它被昂贵的法律费用压垮了。","Вы подали в суд на муравья за вторжение. Он был раздавлен судебными издержками.","Demandaste a la hormiga por invasión de propiedad. Fue aplastada por los gastos legales.","Processou a formiga por invasão de propriedade. Foi esmagada pelos custos legais.","Sie haben die Ameise wegen Hausfriedensbruchs verklagt. Sie wurde von den Anwaltskosten erdrückt.","당신은 무단 침입으로 개미를 고소했습니다. 개미는 막대한 소송 비용으로 파산했습니다."
"MSG_C_LAWSUIT_B_WIN","You filed a noise complaint against the bat. It was evicted.","騒音被害でバットを訴え、住処から立ち退かせた。","你对蝙蝠提出了噪音投诉。它被驱逐了。","Вы подали жалобу на шум против летучей мыши. Ее выселили.","Presentaste una queja por ruido contra el murciélago. Fue desalojado.","Apresentou uma queixa de ruído contra o morcego. Foi despejado.","Sie haben eine Lärmbeschwerde gegen die Fledermaus eingereicht. Sie wurde zwangsgeräumt.","당신은 박쥐를 소음 피해로 신고했습니다. 박쥐는 서식지에서 쫓겨났습니다."
"MSG_C_LAWSUIT_C_WIN","You served the cobra with a restraining order. It can't approach you.","コブラに接近禁止命令を突きつけた。奴はもう近づけない。","你向眼镜蛇下达了限制令。它不能靠近你。","Вы предъявили кобре судебный запрет. Она не может к вам приближаться.","Le entregaste a la cobra una orden de alejamiento. No puede acercarse a ti.","Entregou à cobra uma ordem de restrição. Ela não se pode aproximar de si.","Sie haben der Kobra eine einstweilige Verfügung zugestellt. Sie darf sich Ihnen nicht nähern.","당신은 코브라에게 접근 금지 명령을 내렸습니다. 이제 코브라는 당신에게 접근할 수 없습니다."
"MSG_C_LAWSUIT_D_WIN","You sued the dragon for property damage and won the settlement.","器物損壊でドラゴンを提訴し、巨額の賠償金をもぎ取った。","你以财产损失起诉了巨龙并赢得了和解。","Вы подали в суд на дракона за порчу имущества и выиграли компенсацию.","Demandaste al dragón por daños a la propiedad y ganaste el acuerdo.","Processou o dragão por danos materiais e ganhou a indemnização.","Sie haben den Drachen wegen Sachbeschädigung verklagt und den Vergleich gewonnen.","당신은 드래곤을 기물 파손으로 고소하여 거액의 배상금을 받아냈습니다."
"MSG_C_LAWSUIT_E_LOSS","The ent has no legal standing. The case was dismissed.","エントに法的な法人格が存在せず、訴えは棄却された。","树精没有合法的地位。案件被驳回了。","У энта нет правового статуса. Дело было закрыто.","El ent no tiene personalidad jurídica. El caso fue desestimado.","O ent não tem personalidade jurídica. O caso foi arquivado.","Der Ent hat keine Rechtsfähigkeit. Die Klage wurde abgewiesen.","엔트에게는 법적 권리가 없어 소송이 기각되었습니다."
"MSG_C_LAWSUIT_F_WIN","You reported the fly for health code violations. It's gone.","保健所にハエの衛生違反を通報した。営業停止だ。","你举报苍蝇违反了卫生规定。它被处理了。","Вы сообщили о нарушении мухой санитарных норм. Она исчезла.","Denunciaste a la mosca por violaciones del código de salud. Se ha ido.","Denunciou a mosca por violações do código de saúde. Ela foi-se.","Sie haben die Fliege wegen Verstößen gegen die Gesundheitsvorschriften gemeldet. Sie ist weg.","당신은 파리를 위생법 위반으로 신고했습니다. 파리는 영업 정지를 당했습니다."
"MSG_C_LAWSUIT_G_WIN","You sued the goblin for copyright infringement of his own face.","ゴブリンを肖像権の侵害で訴え、完全に黙らせた。","你起诉哥布林侵犯了他自己脸部的版权。","Вы подали в суд на гоблина за нарушение авторских прав на его собственное лицо.","Demandaste al goblin por infracción de derechos de autor de su propia cara.","Processou o goblin por violação de direitos de autor do seu próprio rosto.","Sie haben den Goblin wegen Urheberrechtsverletzung an seinem eigenen Gesicht verklagt.","당신은 고블린을 초상권 침해로 고소하여 완전히 침묵시켰습니다."
"MSG_C_LAWSUIT_H_WIN","You slapped the harpy with a defamation suit. She stopped singing.","名誉毀損でハーピーを訴えた。彼女はもう歌えない。","你用诽谤诉讼打击了哈比。她停止了唱歌。","Вы впаяли гарпии иск за клевету. Она перестала петь.","Le pusiste a la arpía una demanda por difamación. Dejó de cantar.","Processou a harpia por difamação. Ela parou de cantar.","Sie haben die Harpyie mit einer Verleumdungsklage überzogen. Sie hat aufgehört zu singen.","당신은 하피를 명예훼손으로 고소했습니다. 하피는 더 이상 노래를 부를 수 없습니다."
"MSG_C_LAWSUIT_I_WIN","The imp was audited by the IRS at your request.","あなたの要請により、インプの元に国税庁の査察が入った。","应你的要求，国税局对小恶魔进行了审计。","По вашему запросу налоговая служба провела аудит беса.","El imp fue auditado por el fisco a petición tuya.","O imp foi auditado pelas finanças a seu pedido.","Der Imp wurde auf Ihren Wunsch hin vom Finanzamt geprüft.","당신의 요청으로 국세청이 임프에 대해 세무 조사를 실시했습니다."
"MSG_C_LAWSUIT_J_LOSS","You tried to sue the jelly, but it slipped through the legal loopholes.","ジェリーを訴えようとしたが、法の網目をすり抜けられた。","你试图起诉胶状体，但它钻了法律的空子。","Вы пытались подать в суд на медузу, но она проскользнула сквозь юридические лазейки.","Intentaste demandar a la gelatina, pero se escabulló por los resquicios legales.","Tentou processar a geleia, mas ela escapou pelas lacunas legais.","Sie haben versucht, die Qualle zu verklagen, aber sie ist durch juristische Schlupflöcher geschlüpft.","당신은 젤리를 고소하려 했지만, 젤리는 법망을 교묘히 빠져나갔습니다."
