"keys","en","ja","zh","ru","es","pt","de","ko"
"MSG_C_DECEIVE_A_WIN","You left a false scent trail that confused the ants. The colony marched away from your true location.","アリの触覚を欺く偽のフェロモンを撒き、偽装の足跡を残した。群れはあなたの仕掛けた囮に誘導され、反対方向へと行進していった。","你撒播了欺骗蚂蚁触角的伪造费洛蒙，留下了伪装的足迹。蚁群在你的诱导下，朝着相反的方向行进了。","Вы оставили ложный след запаха, который запутал муравьев. Колония ушла в сторону от вашего настоящего местоположения.","Dejaste un rastro de olor falso que confundió a las hormigas. La colonia se alejó de tu ubicación real.","Você deixou um rasto de odor falso que confundiu as formigas. A colónia afastou-se da sua localização real.","Du hast eine falsche Geruchsspur hinterlassen, die die Ameisen verwirrte. Die Kolonie marschierte von deinem tatsächlichen Standort weg.","개미들을 혼란스럽게 하는 가짜 냄새 길을 남겼다. 군체는 당신의 실제 위치에서 멀어졌다."
"MSG_C_DECEIVE_B_WIN","You threw a stone to trick the bat's sonar. It dove for the noise while you slipped away.","小石を投げ、コウモリの超音波に「偽の獲物」を誤認させた。魔物が音のした方へ急降下する間に、あなたは闇へと消えた。","你投掷小石子，令蝙蝠的超音波误认出了“虚假猎物”。在魔物冲向声音源头之际，你已消失在黑暗中。","Вы бросили камень, чтобы обмануть сонар летучей мыши. Она нырнула на шум, пока вы ускользали.","Lanzaste una piedra para engañar al sonar del murciélago. Se lanzó hacia el ruido mientras tú te escabullías.","Você atirou uma pedra para enganar o sonar do morcego. Ele mergulhou em direção ao ruído enquanto você escapava.","Du hast einen Stein geworfen, um das Sonar der Fledermaus zu täuschen. Sie stürzte sich auf das Geräusch, während du entlocktest.","박쥐의 소나를 속이기 위해 돌을 던졌다. 박쥐가 소리 나는 곳으로 급강하하는 사이 당신은 빠져나갔다."
"MSG_C_DECEIVE_C_WIN","You used a branch to mimic your movement. The cobra bit the wood allowing you to vanish.","木の枝を使い、自分の影が動いたように見せかけた。毒蛇が枯れ木に噛みついた一瞬の隙に、あなたは戦線を離脱した。","你利用树枝映射出影子的晃动。趁毒蛇咬住枯树枝的一瞬空隙，你脱离了战线。","Вы использовали ветку, чтобы имитировать свое движение. Кобра укусила дерево, что позволило вам исчезнуть.","Usaste una rama para imitar tu movimiento. La cobra mordió la madera permitiéndote desaparecer.","Você usou um ramo para imitar o seu movimento. A naja mordeu a madeira permitindo-lhe desaparecer.","Du hast einen Ast benutzt, um deine Bewegung nachзуahmen. Die Kobra biss in das Holz, was dir ermöglichte zu verschwinden.","나뭇가지를 이용해 당신의 움직임을 흉내 냈다. 코브라가 나무를 무는 사이 당신은 사라졌다."
"MSG_C_DECEIVE_D_WIN","You created a localized mist to hide your exit. The dragon searched the empty cloud in confusion.","魔法的な霧を発生させ、自らの逃走経路を完全に眩ませた。伝説の怪物は空っぽの雲を睨みつけ、獲物の行方をいぶかしんだ。","你产生了魔法雾气，彻底迷惑了自己的脱逃路线。传说的怪物瞪视着空荡荡的云雾，纳闷猎物的去向。","Вы создали локальный туман, чтобы скрыть свой уход. Дракон в замешательстве обыскивал пустое облако.","Creaste una niebla localizada para ocultar tu salida. El dragón buscó en la nube vacía confundido.","Você criou uma névoa localizada para esconder a sua saída. O dragão procurou na nuvem vazia confuso.","Du hast einen lokalen Nebel erzeugt, um deinen Abgang zu verbergen. Der Drache suchte verwirrt in der leeren Wolke.","퇴로를 숨기기 위해 국소적인 안개를 만들었다. 드래곤은 혼란에 빠져 빈 구름 속을 뒤졌다."
"MSG_C_DECEIVE_E_WIN","You used an old log to trick the tree spirit's sense. The guardian guarded the wrong place.","朽ちた倒木に自分の匂いを移し、木の精霊の感知を狂わせた。守護者は身代わりの丸太を執拗に監視し、あなたを見失った。","你将自己的气味转移至腐烂的倒木上，扰乱了树精的感知。守护者执拗地监视着替身木桩，失去了你的踪影。","Вы использовали старое бревно, чтобы обмануть чувства лесного духа. Страж охранял не то место.","Usaste un tronco viejo para engañar los sentidos del espíritu del árbol. El guardián vigiló el lugar equivocado.","Você usou um tronco velho para enganar os sentidos do espírito da árvore. O guardião vigiou o lugar errado.","Du hast einen alten Baumstamm benutzt, um die Sinne des Baumgeists zu täuschen. Der Wächter bewachte den falschen Ort.","나무 정령의 감각을 속이기 위해 오래된 통나무를 사용했다. 수호자는 엉뚱한 곳을 지켰다."
"MSG_C_DECEIVE_F_LOSS","The fly's chaotic focus wasn't fooled by your trick. It kept circling your head relentlessly.","ハエの支離滅裂な視点に、あなたの高度な欺瞞は通用しなかった。小さな羽音は囮を無視し、執拗にあなたの顔の周りを飛び回る。","在苍蝇支离破碎的视点面前，你高超的欺瞒毫无用武之地。微小的羽翼声无视了诱饵，执拗地在你的脸庞周围飞来飞去。","Хаотичное внимание мухи не обмануло ваша уловка. Она продолжала неумолимо кружить над вашей головой.","El enfoque caótico de la mosca no se dejó engañar por tu truco. Siguió rodeando tu cabeza implacablemente.","O foco caótico da mosca não foi enganado pelo seu truque. Ela continuou a circular a sua cabeça implacavelmente.","Der chaotische Fokus der Fliege ließ sich nicht von deinem Trick täuschen. Sie kreiste unerbittlich weiter um deinen Kopf.","파리의 혼란스러운 집중력은 당신의 속임수에 속지 않았다. 파리는 끈질기게 당신의 머리 주위를 돌았다."
"MSG_C_DECEIVE_G_WIN","You pointed at a non-existent gold coin. The goblin's greed blinded it as you successfully fled.","「あそこに金貨が落ちてるぞ！」という見え透いた嘘でゴブリンを釣った。欲に目がくらんだ魔物は、あなたが消えたことにも気づかない。","你用“那儿掉了一枚金币！”这种显而易见的谎言钓到了哥布林。利令智昏的魔物甚至没发现你已消失。","Вы указали на несуществующую золотую монету. Жадность гоблина ослепила его, пока вы успешно убегали.","Señalaste una moneda de oro inexistente. La codicia del goblin lo cegó mientras huías con éxito.","Você apontou para uma moeda de ouro inexistente. A ganância do goblin cegou-o enquanto você fugia com sucesso.","Du hast auf eine nicht existierende Goldmünze gezeigt. Die Gier des Goblins machte ihn blind, während du erfolgreich flohst.","존재하지 않는 금화를 가리켰다. 고블린은 탐욕에 눈이 멀었고 당신은 성공적으로 도망쳤다."
"MSG_C_DECEIVE_H_LOSS","The harpy's aerial view saw through your clumsy decoy. She dove straight for your true position.","上空からのパノラマ視界に、あなたの稚拙な囮は通用しなかった。空の女王はあなたの立ち位置を正確に射抜き、鋭い爪を剥いた。","在来自上空的鸟瞰视角下，你稚拙的诱饵毫无用处。天之女王准确刺穿了你的立足点，露出了锐利的爪子。","Вид с воздуха гарпии позволил ей увидеть вашу неуклюжую приманку. Она нырнула прямо на вашу настоящую позицию.","La vista aérea de la arpía vio a través de tu torpe señuelo. Se lanzó directamente hacia tu posición real.","A visão aérea da harpia percebeu o seu chamariz desajeitado. Ela mergulhou diretamente em direção à sua posição real.","Die Luftansicht der Harpyie durchschaute dein tollpatschiges Lockmittel. Sie stürzte sich direkt auf deine wahre Position.","하피의 공중 시야는 당신의 서투른 미끼를 꿰뚫어 보았다. 하피는 당신의 실제 위치를 향해 곧장 강하했다."
"MSG_C_DECEIVE_I_WIN","You mimicked the imp's own signs to confuse it. The demon chased its own tail in frustration.","インプの使う不可解な合図を模倣し、奴の注意を逸らした。小悪魔は自らの影を獲物だと勘違いし、虚空を掴もうと躍起になった。","你模仿小仙女使用的不可思议的信号，转移了它的注意力。小恶魔错把自己的影子当成了猎物，为了抓住虚空而焦头烂额。","Вы имитировали собственные знаки беса, чтобы запутать его. Демон в разочаровании погнался за своим хвостом.","Imitaste las propias señas del imp para confundirlo. El demonio persiguió su propia cola frustrado.","Você imitou os próprios sinais do imp para o confundir. O demónio perseguiu a sua própria cauda frustrado.","Du hast die eigenen Zeichen des Imps nachgeahmt, um ihn zu verwirren. Der Dämon jagte frustriert seinen eigenen Schwanz.","임프의 신호를 흉내 내어 혼란을 주었다. 악마는 좌절하며 자신의 꼬리를 쫓았다."
"MSG_C_DECEIVE_J_WIN","You left an organic trail leading away. The jelly followed the scent while you escaped.","生体反応のある粘液を別方向に撒き、ジェリーの捕食本能を誘導した。怪物は囮に向かってゆっくりと移動し、あなたの脱出を許した。","你在另一个方向撒播了具有生物反应的粘液，诱导了果冻怪的捕食本能。怪物朝着诱饵缓慢移动，放任你逃脱了。","Вы оставили органический след, ведущий в сторону. Желе последовало по запаху, пока вы убегали.","Dejaste un rastro orgánico que se alejaba. La gelatina siguió el rastro mientras escapabas.","Você deixou um rasto orgânico que se afastava. A geleia seguiu o odor enquanto você escapava.","Du hast eine organische Spur hinterlassen, die wegführte. Das Gelee folgte dem Geruch, während du entlocktest.","다른 곳으로 이어지는 유기물 흔적을 남겼다. 젤리가 냄새를 쫓는 동안 당신은 탈출했다."
