"keys","en","ja","zh","ru","es","pt","de","ko"
"MSG_C_KRAKEN_A_WIN","The ant was swept away by a sudden tidal surge, crushed easily by the immense water pressure. It drowned in an ocean that didn't exist a moment ago, pulled into the depths of a dark whirlpool. The tiny life was reclaimed by the sea.","唐突に湧き出した高潮がアリを押し流し、絶大な水圧であっけなく押し潰した。つい先ほどまで存在しなかった大海に呑まれ、闇の渦巻く深淵へと引きずり込まれる。小さな命は、海の呼び声によって奪い去られた。","蚂蚁被突然涌现的潮汐冲走，被巨大的水压轻易压碎。它淹没在片刻前还不存的海洋中，被拉入黑暗漩涡的深处。微小的生命被大海回收。","Муравей был смыт внезапным приливным валом и легко раздавлен огромным давлением воды. Он утонул в океане, которого мгновение назад не существовало, затянутый в глубины темного водоворота. Крошечная жизнь была возвращена морю.","La hormiga fue arrastrada por una súbita marejada, aplastada fácilmente por la inmensa presión del agua. Se ahogó en un océano que no existía hace un momento, arrastrada a las profundidades de un remolino oscuro. La pequeña vida fue reclamada por el mar.","A formiga foi varrida por uma súbita onda de maré, esmagada facilmente pela imensa pressão da água. Afogou-se num oceano que não existia há um momento, puxada para as profundezas de um redemoinho escuro. A pequena vida foi reclamada pelo mar.","Die Ameise wurde von einer plötzlichen Flutwelle weggefegt und durch den immensen Wasserdruck leicht zerquetscht. Sie ertrank in einem Ozean, der vor einem Moment noch nicht existierte, hineingezogen in die Tiefen eines dunklen Strudels. Das winzige Leben wurde vom Meer zurückgefordert.","개미는 갑작스러운 해일에 휩쓸려 거대한 수압에 쉽게 눌려 죽었습니다. 조금 전까지 존재하지 않았던 바다에 빠져 어두운 소용돌이의 심연으로 끌려 들어갔습니다. 작은 생명은 바다에 의해 회수되었습니다."
"MSG_C_KRAKEN_B_WIN","The bat caught a heavy, wet tentacle in its wing, dragging it down from the flight path into the dark water. It shrieked as it was pulled under by the crushing strength of the ancient beast. The flyer was finally drowned by the deep.","飛行中のコウモリの翼を、重く湿った触手が絡め取り、暗い水面下へと力任せに引きずり込んだ。深淵の怪物による圧倒的な怪力に、魔物は悲鳴を上げる。空を駆ける者は、深奥の住人によって永遠に沈黙させられた。","蝙蝠那被沉重、潮湿触手缠住的翅膀，将其从飞行路径拖入黑暗的水中。在被这头古老怪兽粉碎性的力量拖入水下时，它尖叫了起来。飞行者最终淹没在深渊中。","Летучая мышь зацепилась крылом за тяжелое влажное щупальце, которое утянуло ее с траектории полета в темную воду. Она вскрикнула, когда сокрушительная сила древнего зверя потянула ее на дно. Летун был окончательно утоплен бездной.","El murciélago atrapó un tentáculo pesado y húmedo en su ala, arrastrándolo desde su ruta de vuelo hacia el agua oscura. Chilló mientras era arrastrado por la fuerza aplastante de la bestia antigua. El volador fue finalmente ahogado por las profundidades.","O morcego prendeu um tentáculo pesado e húmido na sua asa, arrastando-o do seu caminho de voo para a água escura. Soltou um guincho ao ser puxado pela força esmagadora da besta antiga. O voador foi finalmente afogado pelas profundezas.","Die Fledermaus verfing sich mit ihrem Flügel in einem schweren, nassen Tentakel, der sie von ihrer Flugbahn in das dunkle Wasser hinunterzog. Sie kreischte, als sie von der erdrückenden Kraft der uralten Bestie unter Wasser gezogen wurde. Der Flieger wurde schließlich von der Tiefe ertränkt.","박쥐는 비행 중 무겁고 축축한 촉수에 날개가 감겨 어두운 수면 아래로 힘껏 끌려 들어갔습니다. 심연의 괴물의 압도적인 괴력에 비명을 지르며 물속으로 끌려갔습니다. 하늘을 날던 자는 심연의 거주자에 의해 영원히 침묵하게 되었습니다."
"MSG_C_KRAKEN_C_WIN","The cobra coiled to strike but found itself caught by massive, suction-cupped limbs emerging from the floor. It hissed in terror as the water pressure increased, ending its toxic life in a sudden drowning. The serpent met the king of the sea.","打ちかかろうとしたコブラの身体は、床から現れた吸盤付きの巨大な触手によって捕らえられていた。急上昇する水圧に恐怖して威嚇するが、直後、魔物は水底へと沈む。毒蛇は、深海の王の支配下に置かれたのだ。","眼镜蛇卷缩着准备攻击，却发现自己被从地板下冒出的巨大的带吸盘四肢抓住了。随着水压增加，它恐惧地发出了嘶嘶声，在突然的淹溺中结束了带毒的生命。蛇遇到了海中之王。","Кобра свернулась для броска, но оказалась захвачена массивными щупальцами с присосками, появившимися из пола. Она в ужасе зашипела, когда давление воды возросло, закончив свою ядовитую жизнь внезапным утоплением. Змея встретила короля моря.","La cobra se enroscó para atacar, pero se vio atrapada por extremidades masivas con ventosas que emergían del suelo. Siseó de terror a medida que aumentaba la presión del agua, terminando su vida tóxica en un ahogamiento repentino. La serpiente conoció al rey del mar.","A cobra enrolou-se para atacar, mas viu-se apanhada por membros maciços com ventosas que emergiam do chão. Sibilou de terror à medida que a pressão da água aumentava, terminando a sua vida tóxica num afogamento súbito. A serpente conheceu o rei do mar.","Die Kobra rollte sich zum Schlag zusammen, wurde aber von massiven Gliedmaßen mit Saugnäpfen gepackt, die aus dem Boden auftauchten. Sie zischte vor Schreck, als der Wasserdruck zunahm, und beendete ihr giftiges Leben in einem plötzlichen Ertrinken. Die Schlange traf den König des Meeres.","공격하려던 코브라는 바닥에서 나타난 거대한 흡착 촉수에 몸이 붙잡혔습니다. 급상승하는 수압에 공포를 느끼며 위협했지만, 곧 수저로 가라앉았습니다. 독사는 심해의 왕의 지배하에 놓이게 되었습니다."
"MSG_C_KRAKEN_D_WIN","Even the dragon was brought low by the Kraken's massive tentacles, which anchored its wings to the flooded floor. It roared underwater as its fire was extinguished by the unyielding pressure of the deep. The sky legend was silenced by the ocean king.","ドラゴンの巨躯でさえ、クラーケンの巨大な触手によって浸水した床へと繋ぎ止められた。立ち込める水の中で咆哮を上げるも、深海の抗いがたき圧力に自慢の火炎はかき消される。空の伝説は、海の王によって沈黙させられた。","即使是巨龙也被克拉肯巨大的触手拽下，它的翅膀被锚定在被淹没的地板上。由于它的火焰被深渊不屈的压力熄灭，它在水下咆哮。天空传说被海洋之王沈默了。","Даже дракон был повержен массивными щупальцами Кракена, которые пригвоздили его крылья к затопленному полу. Он ревел под водой, пока его огонь гас под неумолимым давлением бездны. Небесная легенда была укрощена королем океана.","Incluso el dragón fue abatido por los enormes tentáculos del Kraken, que anclaron sus alas al suelo inundado. Rugió bajo el agua mientras su fuego se extinguía por la presión implacable de las profundidades. La leyenda del cielo fue silenciada por el rey del océano.","Até o dragão foi derrubado pelos tentáculos maciços do Kraken, que ancoraram as suas asas ao chão inundado. Rugiu debaixo de água enquanto o seu fogo era extinguido pela pressão implacável das profundezas. A lenda do céu foi silenciada pelo rei do oceano.","Selbst der Drache wurde von den massiven Tentakeln des Kraken zu Boden gestreckt, die seine Flügel am überfluteten Boden verankerten. Er brüllte unter Wasser, während sein Feuer durch den unnachgiebigen Druck der Tiefe gelöscht wurde. Die Himmelslegende wurde vom Meereskönig zum Schweigen gebracht.","드래곤의 거구조차 크라켄의 거대한 촉수에 의해 침수된 바닥에 묶였습니다. 물속에서 포효했지만, 심해의 거부할 수 없는 압력에 자랑하던 화염은 꺼졌습니다. 하늘의 전설은 바다의 왕에 의해 침묵하게 되었습니다."
"MSG_C_KRAKEN_E_WIN","The Ent's ancient roots were soaked by the salty depths, and then crushed by the relentless strength of the kraken. It groaned as its branches were pulled beneath the waves, its forest connection severed. The spirit of the woods was drowned in the sea.","エントの古の根は塩辛い深層水に浸され、クラーケンの容赦ない力によって粉砕された。波の下へと引きずり込まれる枝が悲鳴を上げ、森との共鳴は断ち切られる。森の精霊は、海の深淵へと呑み込まれていった。","树精古老的根被咸咸的深渊浸泡，然后被克拉肯无情的力量粉碎。当它的树枝被拉入海浪下时它呻吟着，它与森林发联系被切断。森林之灵淹没在大海里。","Древние корни Энта пропитались соленой глубиной, а затем были раздавлены неумолимой силой Кракена. Он стонал, когда его ветви затягивало под волны, а его связь с лесом разрывалась. Дух леса утонул в море.","Las antiguas raíces del Ent fueron empapadas por las profundidades saladas, y luego aplastadas por la fuerza implacable del kraken. Gimió mientras sus ramas eran arrastradas bajo las olas, su conexión con el bosque cortada. El espíritu de los bosques se ahogó en el mar.","As raízes antigas do Ent foram encharcadas pelas profundezas salgadas e depois esmagadas pela força implacável do kraken. Gemeu enquanto os seus ramos eram puxados para baixo das ondas, a sua ligação à floresta cortada. O espírito dos bosques afogou-se no mar.","Die uralten Wurzeln des Ents wurden von den salzigen Tiefen durchtränkt und dann von der unerbittlichen Kraft des Kraken zerquetscht. Er stöhnte, als seine Äste unter die Wellen gezogen wurden und seine Verbindung zum Wald abriss. Der Geist der Wälder ertrank im Meer.","엔트의 고대 뿌리는 짠 심층수에 젖었고, 크라켄의 가차 없는 힘에 의해 분쇄되었습니다. 파도 아래로 끌려가는 나뭇가지들이 비명을 질렀고, 숲과의 공명은 끊어졌습니다. 숲의 정령은 바다의 심연으로 삼켜져 갔습니다."
"MSG_C_KRAKEN_F_WIN","The fly couldn't escape the massive vortex created by the Kraken's arrival, pulled into the spinning water. It was crushed into a microscopic speck by the immense depth of the conjured ocean. The pest was finally washed away.","クラーケンの出現が作り出した巨大な渦から逃れることは、ハエには不可能だった。荒れ狂う水の中に呑み込まれ、召喚された大海の圧倒的な水圧によって微小な塵へと押し潰される。害虫は、ついに海の彼方へと流された。","苍蝇无法逃脱由此而产生的巨大漩涡，被卷入旋转的水流中。在被召唤出的海洋巨大的深度下，它被压成了微小的尘埃。这个害虫终于被冲走了。","Муха не смогла избежать массивного вихря, созданного появлением Кракена, и была затянута в крутящуюся воду. Она была раздавлена в микроскопическую пылинку огромной глубиной вызванного океана. Вредитель был окончательно смыт.","La mosca no pudo escapar del enorme vórtice creado por la llegada del Kraken, arrastrada hacia el agua giratoria. Fue aplastada hasta convertirse en una mota microscópica por la inmensa profundidad del océano conjurado. La plaga fue finalmente arrastrada.","A mosca não conseguiu escapar do enorme vórtice criado pela chegada do Kraken, puxada para a água giratória. Foi esmagada até se tornar uma partícula microscópica pela imensa profundidade do oceano conjurado. A praga foi finalmente varrida.","Die Fliege konnte dem gewaltigen Wirbel, der durch die Ankunft des Kraken entstand, nicht entkommen und wurde in das wirbelnde Wasser gezogen. Sie wurde in der immensen Tiefe des heraufbeschworenen Ozeans zu einem mikroskopischen Pünktchen zerquetscht. Das Ungeziefer wurde schließlich weggespült.","크라켄의 출현이 만들어낸 거대한 소용돌이에서 파리가 도망치는 것은 불가능했습니다. 거친 물속에 삼켜져 소환된 대해의 압도적인 수압에 의해 미세한 먼지로 짓눌렸습니다. 해충은 마침내 바다 저편으로 떠내려갔습니다."
"MSG_C_KRAKEN_G_WIN","The goblin's small frame was easily crushed by a single, suction-cupped tentacle and dragged into the darkness. Its petty greed meant nothing in the face of the ancient, hungry god of the sea. The thief was swallowed by the abyss.","ゴブリンの小さな身体は吸盤だらけの触手一本で易々と押し潰され、闇の深淵へと引きずり込まれた。その矮小な強欲など、古の飢えた海の神の前には無に等しい。泥棒は、奈落の口へと呑み込まれていったのである。","哥布林微小的身躯被一根带吸盘的触手轻易压碎并拖入黑暗。在古老、饥饿的海神面前，它那点琐屑的贪婪毫无意义。这个小偷被深渊吞噬了。","Маленькое тело гоблина было легко раздавлено одним щупальцем с присосками и утянуто во тьму. Его мелкая жадность ничего не значила перед лицом древнего голодного бога моря. Вор был поглощен бездной.","El pequeño cuerpo del goblin fue fácilmente aplastado por un solo tentáculo con ventosas y arrastrado a la oscuridad. Su codicia mezquina no significaba nada frente al antiguo y hambriento dios del mar. El ladrón fue tragado por el abismo.","O pequeno corpo do goblin foi facilmente esmagado por um único tentáculo com ventosas e arrastado para a escuridão. A sua ganância mesquinha não significava nada diante do antigo e faminto deus do mar. O ladrão foi engolido pelo abismo.","Der kleine Körper des Goblins wurde von einem einzigen Saugnapf-Tentakel leicht zerquetscht und in die Dunkelheit gezogen. Seine kleinliche Gier bedeutete nichts angesichts des uralten, hungrigen Meeresgottes. Der Dieb wurde vom Abgrund verschlungen.","고블린의 작은 몸은 흡착 촉수 하나에 쉽게 짓눌려 어둠의 심연으로 끌려 들어갔습니다. 그 왜소한 탐욕 따위는 고대의 굶주린 바다 신 앞에서는 무에 가깝습니다. 도둑은 나락의 아가리로 삼켜져 버렸습니다."
"MSG_C_KRAKEN_H_WIN","The harpy's wings were soaked and broken by the violent waves of the kraken's summoning. She shrieked as multiple tentacles wrapped around her graceful form, dragging her down forever. The queen of the sky fell into the deep silence.","クラーケンの召喚がもたらした猛烈な荒波は、ハーピーの翼を濡らし、無惨にへし折った。幾多の触手がその優雅な肉体を絡め取り、永遠の水底へと引きずり込んでいく。空の女王は、深海の静寂の中に沈んだ。","哈皮的翅膀被克拉肯召唤出的猛烈波浪打湿并折断。当多根触手缠绕住她优雅的身体并将其永远拖下水时，她尖叫起来。天空女王陷入了深深的沈默。","Крылья гарпии промокли и были сломаны яростными волнами призыва Кракена. Она вскрикнула, когда множество щупалец обвили ее изящное тело, утягивая ее на дно навсегда. Королева неба погрузилась в глубокое безмолвие.","Las alas de la arpía fueron empapadas y rotas por las violentas olas de la invocación del kraken. Chilló mientras múltiples tentáculos envolvían su elegante forma, arrastrándola hacia abajo para siempre. La reina del cielo cayó en el profundo silencio.","As asas da harpia foram encharcadas e quebradas pelas ondas violentas da invocação do kraken. Gritou enquanto múltiplos tentáculos envolviam a sua forma graciosa, arrastando-a para baixo para sempre. A rainha do céu caiu no silêncio profundo.","Die Flügel der Harpyie wurden von den heftigen Wellen der Kraken-Beschwörung durchnässt und gebrochen. Sie kreischte, als sich mehrere Tentakel um ihre anmutige Gestalt schlangen und sie für immer in die Tiefe zogen. Die Himmelskönigin versank in tiefem Schweigen.","크라켄의 소환이 가져온 맹렬한 거친 파도는 하피의 날개를 적시고 무참히 꺾어버렸습니다. 수많은 촉수가 그 우아한 육체를 휘감아 영원히 수저로 끌고 내려갔습니다. 하늘의 여왕은 심해의 정적 속으로 가라앉았습니다."
"MSG_C_KRAKEN_I_LOSS","The imp phase-shifted into the ethereal plane, letting the Kraken's tentacles pass harmlessly through its form. It laughed as the massive beast thrashed the empty air where the imp once stood. The trickster was safe from the water.","インプはエーテル界へと位相をずらし、クラーケンの猛威を振るう触手を平然とすり抜けて見せた。巨大な獣が空気だけを虚しく叩きつける様を、魔物はせせら嗤う。悪戯っ子は、水の猛攻から悠々と逃げ延びたのである。","小恶魔变换相位进入以太位面，让克拉肯的触手无害地穿过它的形态。大怪物在大闹小恶魔曾经站立处的空气时，它大笑了。骗子在水中化险为夷。","Бес переместился в эфирный план, позволив щупальцам Кракена безвредно пройти сквозь него. Он смеялся, когда массивный зверь хлестал по пустому воздуху, где только что стоял бес. Трикстер был в безопасности от воды.","El imp cambió de fase al plano etéreo, permitiendo que los tentáculos del Kraken pasaran inofensivamente a través de su forma. Se rió mientras la enorme bestia azotaba el aire vacío donde el imp una vez estuvo. El tramposo estaba a salvo del agua.","O imp mudou de fase para o plano etéreo, permitindo que os tentáculos do Kraken passassem inofensivamente através da sua forma. Riu-se enquanto a besta maciça fustigava o ar vazio onde o imp estivera outrora. O trapaceiro estava a salvo da água.","Der Imp wechselte in die Ätherebene und ließ die Tentakel des Kraken harmlos durch seine Gestalt gleiten. Er lachte, als die gewaltige Bestie die leere Luft peitschte, in der der Imp zuvor gestanden hatte. Der Trickser war vor dem Wasser sicher.","임프는 에테르계로 위상을 변화시켜 크라켄의 맹렬한 촉수를 유유히 통과해 버렸습니다. 거대한 짐승이 임프가 서 있던 허공을 허무하게 내려치는 모습을 마물은 비웃었습니다. 장난꾸러기는 물의 공세로부터 여유롭게 도망쳤습니다."
"MSG_C_KRAKEN_J_LOSS","The jelly simply integrated with the seawater, its own liquid form immune to the crushing strength of the Kraken. It floated harmlessly through the dark depths, unaffected by the ancient predator's power. The ooze was part of the ocean.","ジェリーの流動的な肉体は海水と一体化し、クラーケンの圧殺の力さえも無効化してしまった。古の捕食者の猛威をよそに、魔物は暗い深海を浮遊し続ける。泥濘は、既に海そのものの一部となっていた。","果冻怪只是融入了海水，它自己的液体形式对克拉肯粉碎性的力量免疫。它无害地在黑暗深处漂浮，不受古老掠食者力量的影响。软泥成了海洋的一部分。","Медуза просто слилась с морской водой, ее жидкая форма была невосприимчива к сокрушительной силе Кракена. Она безвредно плавала в темных глубинах, не затронутая мощью древнего хищника. Слизь была частью океана.","La gelatina simplemente se integró con el agua de mar, su propia forma líquida inmune a la fuerza aplastante del Kraken. Flotó inofensivamente a través de las profundidades oscuras, sin verse afectada por el poder del antiguo depredador. El lodo era parte del océano.","A geleia simplesmente integrou-se na água do mar, a sua própria forma líquida imune à força esmagadora do Kraken. Flutuou inofensivamente pelas profundezas escuras, não sendo afetada pelo poder do predador antigo. O lodo fazia parte do oceano.","Die Qualle verschmolz einfach mit dem Meerwasser, da ihre eigene flüssige Form immun gegen die erdrückende Kraft des Kraken war. Sie trieb harmlos durch die dunklen Tiefen, unbeeinflusst von der Macht des uralten Raubtiers. Der Schlamm war Teil des Ozeans.","젤리의 유동적인 육체는 해수와 일체화되어 크라켄의 압살하는 힘조차 무효화했습니다. 고대 포식자의 맹위에도 불구하고 마물은 어두운 심해를 계속 떠다닙니다. 진흙은 이미 바다의 일부가 되었습니다."
