"keys","en","ja","zh","ru","es","pt","de","ko"
"MSG_C_UMBRELLA_A_WIN","The ant was pinned down by the massive tip of the umbrella, preventing it from reaching the colony. It struggled in the shadow of the fabric, but was eventually crushed by the weight. The tiny pioneer met a pointed end.","アリは傘の巨大な先端によって地面に縫い付けられ、巣へ帰る道を閉ざされた。布地の影の中で必死に抗うが、やがてその重みの前に押し潰される。小さな先駆者は、鋭い最期を迎えたのである。","蚂蚁被雨伞巨大的尖端钉住，无法回到蚁群。它在织物的阴影下挣扎，但最终由于重压而被压碎。这个微小的先驱者迎来了尖锐的终結。","Муравей был прижат массивным кончиком зонта, что не позволило ему добраться до колонии. Он боролся в тени ткани, но в итоге был раздавлен весом. Маленький пионер встретил острый конец.","La hormiga fue inmovilizada por la punta masiva del paraguas, lo que le impidió llegar a la colonia. Luchó a la sombra de la tela, pero finalmente fue aplastada por el peso. El pequeño pionero tuvo un final agudo.","A formiga foi imobilizada pela ponta maciça do guarda-chuva, impedindo-a de chegar à colônia. Lutou na sombra do tecido, mas acabou sendo esmagada pelo peso. O pequeno pioneiro teve um fim agudo.","Die Ameise wurde von der massiven Spitze des Schirms festgenagelt, was sie daran hinderte, die Kolonie zu erreichen. Sie kämpfte im Schatten des Stoffes, wurde aber schließlich vom Gewicht zerquetscht. Der winzige Pionier fand ein spitzes Ende.","개미는 우산의 거대한 끝부분에 눌려 군락에 도달하지 못했습니다. 천의 그늘 아래에서 몸부림쳤지만 결국 무게에 눌려 으스러졌습니다. 작은 개척자는 뾰족한 최후를 맞이했습니다."
"MSG_C_UMBRELLA_B_WIN","The bat was confused by a sudden canopy that blocked its ultrasonic pulses. It crashed into the silk ceiling, falling to the stone floor in a heap of tangled fur and fabric. The night flyer met a sheltered end.","突如として現れた天蓋が超音波パルスを遮り、コウモリを困惑させた。絹の天井へと激突し、絡まり合った毛皮と布地の塊となって石畳に崩れ落ちる。夜の飛行者は、不自然な屋根の下で最期を迎えたのである。","蝙蝠由于被一顶突然出现的华盖挡住了超声波脉冲而感到困惑。它撞上了丝绸般的天花板，最终瘫倒在地板上的一堆乱毛和织物中。深夜飞行者迎来了一个遮蔽的终結。","Летучая мышь была сбита с толку внезапным куполом, который заблокировал её ультразвуковые импульсы. Она врезалась в шелковый потолок и упала на каменный пол кучей спутанного меха и ткани. Ночной летун встретил защищенный конец.","El murciélago se confundió por un dosel repentino que bloqueó sus pulsos ultrasónicos. Chocó contra el techo de seda, cayendo al suelo de piedra en un montón de pelaje y tela enredados. El volador nocturno tuvo un final resguardado.","O morcego ficou confuso com uma cobertura repentina que bloqueou seus pulsos ultrassônicos. Ele colidiu com o teto de seda, caindo no chão de pedra em uma pilha de pelo e tecido emaranhados. O voador noturno teve um fim abrigado.","Die Fledermaus war verwirrt durch ein plötzliches Baldachin, das ihre Ultraschallimpulse blockierte. Sie prallte gegen die Seidendecke und fiel in einem Haufen aus verheddertem Fell und Stoff auf den Steinboden. Der Nachtflieger fand ein geschütztes Ende.","박쥐는 초음파 펄스를 차단하는 갑작스러운 덮개에 당황했습니다. 실크 천장에 부딪혀 엉킨 털과 천 뭉치가 되어 돌바닥으로 떨어졌습니다. 밤의 비행자는 가려진 최후를 맞이했습니다."
"MSG_C_UMBRELLA_C_WIN","The cobra found its predatory strike blocked by an impenetrable wall of colorful patterns. It hissed in frustration as the umbrella's tip caught it between the coils. The serpent was defeated by a burst of color.","コブラの捕食の一撃は、色鮮やかな模様の突き破れぬ壁によって阻まれた。とぐろの間に傘の先端が滑り込み、魔物は苛立ちの声を上げる。蛇は、弾ける色彩の前に敗北したのである。","由于受阻于一堵由色彩鲜艳图案组成的不可逾越之墙，眼镜蛇发现自己的掠食性攻击失败了。当雨伞的尖端卡在它的盘绕间时，它沮丧地发出了嘶嘶声。蛇被一抹色彩击败了。","Кобра обнаружила, что её хищный удар заблокирован непроницаемой стеной красочных узоров. Она разочарованно зашипела, когда кончик зонта зажал её между кольцами. Змея была побеждена взрывом цвета.","La cobra encontró su ataque depredador bloqueado por una pared impenetrable de patrones coloridos. Siseó de frustración cuando la punta del paraguas la atrapó entre los anillos. La serpiente fue derrotada por una explosión de color.","A naja encontrou seu ataque predatório bloqueado por uma parede impenetrável de padrões coloridos. Sibilou de frustração quando a ponta do guarda-chuva a prendeu entre as espirais. A serpente foi derrotada por uma explosão de cores.","Die Kobra sah ihren Raubzug durch eine undurchdringliche Wand aus farbenfrohen Mustern blockiert. Sie zischte frustriert, als die Schirmspitze sie zwischen den Windungen einfing. Die Schlange wurde von einer Explosion aus Farbe besiegt.","코브라는 화려한 무늬의 뚫을 수 없는 벽에 포식 공격이 막힌 것을 발견했습니다. 우산 끝부분이 똬리 사이에 끼이자 코브라는 좌절하며 쉿 소리를 냈습니다. 뱀은 색채의 폭발에 패배했습니다."
"MSG_C_UMBRELLA_D_WIN","The dragon inhaled the silk scent of the umbrella and found its warrior heart finally slow down. It leaned its massive head against the fabric, dreaming of a world that was always mild and soft. The king of flames fell to an umbrella.","傘の絹の香りを吸い込み、ドラゴンの戦士の鼓動はついに穏やかさを取り戻した。伝説的な長き一生よりも続く穏やかな世界を夢見ながら、その巨体を布地に預ける。炎の王は、ただ一本の傘に敗れ去ったのである。","巨龙吸入了雨伞的丝绸香气，感到它的战士之心终于慢了下来。它将沉重的头靠在织物上，梦想着一个始终温和柔顺的世界。火焰之王倾于一把雨伞。","Дракон вдохнул шелковый аромат зонта и почувствовал, как его воинственное сердце наконец замедлилось. Он прислонил свою массивную голову к ткани, мечтая о мире, который всегда был мягким и нежным. Король пламени пал от зонта.","El dragón inhaló el aroma de seda del paraguas y sintió que su corazón de guerrero finalmente se calmaba. Apoyó su cabeza masiva contra la tela, soñando con un mundo que siempre fuera suave y tierno. El rey de las llamas cayó ante un paraguas.","O dragão inalou o aroma de seda do guarda-chuva e sentiu seu coração de guerrero finalmente desacelerar. Ele encostou sua cabeça maciça no tecido, sonhando com um mundo que fosse sempre suave e macio. O rei das chamas caiu para um guarda-chuva.","Der Drache atmete den Seidenduft des Schirms ein und spürte, wie sein Kriegerherz endlich zur Ruhe kam. Er lehnte seinen massiven Kopf gegen den Stoff und träumte von einer Welt, die immer mild und weich war. Der König der Flammen unterlag einem Schirm.","용은 우산의 실크 향기를 들이마시고 전사의 심장이 마침내 진정되는 것을 느꼈습니다. 거대한 머리를 천에 기대고 항상 온화하고 부드러운 세상을 꿈꿨습니다. 화염의 왕은 우산 하나에 쓰러졌습니다."
"MSG_C_UMBRELLA_E_LOSS","The ancient Ent's deep, widespread roots were completely unaffected by the umbrella's small patch of shade. It merely ignored the flimsy fabric, its massive branches continuing to reach for the real sun and rain far above. The wooden sentinel was too grand for a mere accessory to block.","エントの深く広大な根は、傘が作り出す小さな日陰など全く意に介さなかった。魔物は脆い布地を単に無視し、その巨大な枝は遥か上方にある本物の太陽と雨を求め続ける。森の守護者は、単なるアクセサリーで遮るにはあまりに壮大すぎたのだ。","古树精深厚、分布广泛的根系完全不受雨伞那一小片阴影的影响。它直接忽视了虚弱的织物，它巨大的树枝继续伸向远方真正的阳光和雨水。对于一个仅仅充当配角的障碍物来说，木质哨兵太宏伟了。","Глубокие, широко раскинувшиеся корни древнего Энта совершенно не пострадали от маленького пятна тени зонта. Он просто проигнорировал хлипкую ткань, его массивные ветви продолжали тянуться к настоящему солнцу и дождю далеко вверху. Деревянный страж был слишком величественным, чтобы его мог заблокировать простой аксессуар.","Las raíces profundas y extendidas del antiguo Ent no se vieron afectadas en absoluto por la pequeña mancha de sombra del paraguas. Simplemente ignoró la tela endeble, sus ramas masivas continuaron buscando el sol y la lluvia reales muy arriba. El centinela de madera era demasiado grandioso para que un simple accesorio lo bloqueara.","As raízes profundas e extensas do antigo Ent não foram afetadas pela pequena mancha de sombra do guarda-chuva. Ele simplesmente ignorou o tecido frágil, suas ramificações maciças continuando a buscar o sol e a chuva reais lá no alto. O sentinela de madeira era grandioso demais para um mero acessório bloquear.","Die tiefen, weitverzweigten Wurzeln des alten Ents blieben vom kleinen Schattenfleck des Schirms völlig unbeeindruckt. Er ignorierte den dünnen Stoff einfach, seine massiven Äste streckten sich weiterhin nach der echten Sonne und dem Regen weit oben aus. Der hölzerne Wächter war zu gewaltig, um von einem bloßen Accessoire blockiert zu werden.","고대 엔트의 깊고 넓게 퍼진 뿌리는 우산의 작은 그늘에 전혀 영향을 받지 않았습니다. 엔트는 얇은 천을 무시한 채 거대한 가지를 뻗어 저 높은 곳의 진짜 태양과 비를 계속 갈구했습니다. 나무 파수꾼은 단순한 액세서리로 막기에는 너무나 웅장했습니다."
"MSG_C_UMBRELLA_F_WIN","The fly hit a wall of silk that held it fast, a glistening prison that smelled of soap and old wood. It buzzed in a high frequency before the fabric completely encased its tiny body. The pest was deleted by a simple shield.","ハエは絹の壁に打ち当たって身動きを封じられた。それは石鹸と古い木の香りが漂う、煌めく牢獄であった。布地がその小さな肉体を完全に包み込むまで、魔物は高周波の羽音を立てる。害虫は、単純な盾によって消去されたのである。","苍蝇撞上一道丝制墙壁并被牢牢粘住，这是一个散发着肥皂和陈旧木头气味的闪烁监狱。由于在织物完全包裹它微小的身体前，它发出了高频的嗡鸣。这个害虫被一面简单的盾牌抹除了。","Муха врезалась в шелковую стену, которая крепко её держала, в сверкающую тюрьму, пахнущую мылом и старым деревом. Она жужжала на высокой частоте, прежде чем ткань полностью окутала её крошечное тело. Вредитель был удален простым щитом.","La mosca golpeó una pared de seda que la sujetó firmemente, una prisión reluciente que olía a jabón y madera vieja. Zumbó en una alta frecuencia antes de que la tela envolviera completamente su pequeño cuerpo. La plaga fue eliminada por un simple escudo.","A mosca atingiu uma parede de seda que a prendeu firmemente, uma prisão reluzente que cheirava a sabão e madeira velha. Zumbiu em alta frequência antes que o tecido envolvesse completamente seu pequeno corpo. A praga foi eliminada por um simples escudo.","Die Fliege prallte gegen eine Wand aus Seide, die sie festhielt, ein glitzerndes Gefängnis, das nach Seife und altem Holz roch. Sie summte in hoher Frequenz, bevor der Stoff ihren winzigen Körper vollständig umschloss. Der Schädling wurde durch einen einfachen Schild gelöscht.","파리는 비누와 오래된 나무 냄새가 나는 반짝이는 감옥인 실크 벽에 부딪혀 갇혔습니다. 천이 작은 몸을 완전히 감싸기 전까지 고주파의 날갯짓 소리를 냈습니다. 해충은 단순한 방패에 의해 제거되었습니다."
"MSG_C_UMBRELLA_G_WIN","The goblin's greed for the shiny handle was matched only by the umbrella's ability to keep its world dry. It shrieked as its own shadows turned against it, triggered by an invisible, silent predator. The thief met an umbrella karma.","輝く柄を狙ったゴブリンの強欲さは、世界を乾いたままに保つという傘の機能にのみ見合っていた。見えざる静かな捕食者によって作動した自らの影に翻弄され、魔物は絶叫する。泥棒は、傘の因果応報を受けたのである。","哥布林对闪亮手柄的贪欲只能与雨伞保持其世界干燥的能力相匹配。随着由无形、沈默掠食者触发的它自己的阴影反噬其主，它发出了尖叫。这名窃贼遭遇了雨伞业报。","Жадность гоблина к блестящей ручке могла сравниться только со способностью зонта сохранять свой мир сухим. Он вскрикнул, когда его собственные тени обернулись против него, вызванные невидимым тихим хищником. Вор встретил зонтичную карму.","La codicia del goblin por el mango brillante solo era igualada por la capacidad del paraguas para mantener seco su mundo. Gritó cuando sus propias sombras se volvieron contra él, activadas por un depredador invisible y silencioso. El ladrón encontró el karma del paraguas.","A ganância do goblin pelo cabo brilhante só era igualada pela capacidade do guarda-chuva de manter seu mundo seco. Ele gritou quando suas próprias sombras se voltaram contra ele, acionadas por um predador invisível e silencioso. O ladrão encontrou o karma do guarda-chuva.","Die Gier des Goblins nach dem glänzenden Griff wurde nur von der Fähigkeit des Schirms übertroffen, seine Welt trocken zu halten. Er kreischte, als sich seine eigenen Schatten gegen ihn wandten, ausgelöst durch einen unsichtbaren, lautlosen Jäger. Der Dieb ereilte ein Schirm-Karma.","빛나는 손잡이에 대한 고블린의 탐욕은 세상을 건조하게 유지하는 우산의 능력에만 필적했습니다. 보이지 않는 조용한 포식자에 의해 유발된 자신의 그림자가 자신을 공격하자 고블린은 비명을 질렀습니다. 도둑은 우산의 업보를 맞이했습니다."
"MSG_C_UMBRELLA_H_WIN","A wall of perfect protection coated the harpy's path, turning her screech into an infinite echo of vanity. She shrieked as she lost air speed, eventually crashing into a hall of fabric that shattered her form. The sky queen was silenced by the silk.","完璧な保護の壁がハーピーの行く手を阻み、その金切り声を無限に響く虚栄の残響へと変えた。絹の回廊に激突してその肉体は砕け、失速した彼女は最期の絶叫を上げる。空の女王は、絹の壁の前に沈黙した。","一堵完美保护之墙拦住了哈皮的去路，将她的尖叫变成了虚荣的无限回声。由于在失速时撞上一道丝墙而粉碎了她的形态。天空女王被丝绸沈默了。","Стена идеальной защиты преградила путь гарпии, превратив её визг в бесконечное эхо тщеславия. Она вскрикнула, теряя скорость в воздухе, и в конце концов врезалась в коридор из ткани, который разрушил её форму. Королева неба была заставлена замолчать шелком.","Una pared de protección perfecta cubrió el camino de la arpía, convirtiendo su chillido en un eco infinito de vanidad. Gritó mientras perdía velocidad aérea, chocando finalmente contra un pasillo de tela que destrozó su forma. La reina del cielo fue silenciada por la seda.","Uma parede de proteção perfeita cobriu o caminho da harpia, transformando seu grito em um eco infinito de vaidade. Ela gritou enquanto perdia velocidade no ar, eventualmente colidindo com um corredor de tecido que estilhaçou sua forma. A rainha do céu foi silenciada pela seda.","Eine Wand aus perfektem Schutz versperrte den Pfad der Harpie und verwandelte ihr Kreischen in ein unendliches Echo der Eitelkeit. Sie schrie auf, als sie an Fluggeschwindigkeit verlor, und prallte schließlich gegen eine Halle aus Stoff, die ihre Gestalt zerschmetterte. Die Himmelskönigin wurde durch die Seide zum Schweigen gebracht.","완벽한 보호의 벽이 하피의 길을 가로막아 그녀의 비명을 허영심의 무한한 메아리로 바꾸어 놓았습니다. 그녀는 비행 속도를 잃으며 비명을 질렀고, 결국 그녀의 형체를 산산조각 낸 천의 회랑에 부딪혔습니다. 하늘의 여왕은 실크에 의해 침묵당했습니다."
"MSG_C_UMBRELLA_I_LOSS","The imp cackled as it manipulated the shadows cast by the umbrella, turning the player's own shield into a weapon of darkness. It redirected the shade back at the player with a flick of its tail, laughing as the trickster outshone the canopy. The silk was mastered by the trickster.","インプは傘が落とす影を自在に操り、プレイヤーの盾を闇の武器へと変えてしまった。尻尾を一振りして日陰をプレイヤーへと跳ね返し、天蓋の光を上回る悪意を持って嘲笑う。絹の盾は、狡猾な悪戯っ子の手に落ちたのである。","小恶魔在操纵雨伞投下的阴影时咯咯朗笑，将玩家自己的盾牌变成了一件黑暗武器。它甩了一下尾巴，将阴影重新导向玩家，对骗子盖过华盖而大笑。丝绸被骗子掌控了。","Бес хихикал, манипулируя тенями, отбрасываемыми зонтом, превращая собственный щит игрока в оружие тьмы. Он направил тень обратно на игрока взмахом хвоста, смеясь над тем, как трикстер затмил купол. Шелк был покорен обманщиком.","El imp se rió mientras manipulaba las sombras proyectadas por el paraguas, convirtiendo el propio escudo del jugador en un arma de oscuridad. Redirigió la sombra hacia el jugador con un movimiento de su cola, riendo mientras el bromista eclipsaba el dosel. La seda fue dominada por el embaucador.","O imp deu gargalhadas enquanto manipulava as sombras projetadas pelo guarda-chuva, transformando o próprio escudo do jogador em uma arma de escuridão. Ele redirecionou a sombra de volta para o jogador com um movimento de cauda, rindo enquanto o trapaceiro superava a cobertura. A seda foi dominada pelo trapaceiro.","Der Imp kicherte, während er die vom Schirm geworfenen Schatten manipulierte und den eigenen Schild des Spielers in eine Waffe der Dunkelheit verwandelte. Mit einem Schwanzschlag lenkte er den Schatten auf den Spieler zurück und lachte, als der Trickbetrüger den Baldachin überstrahlte. Die Seide wurde vom Trickbetrüger bezwungen.","임프는 우산이 드리운 그림자를 조종하여 플레이어의 방패를 어둠의 무기로 바꾸며 낄낄거렸습니다. 꼬리를 휘둘러 그늘을 플레이어에게 되돌려 보냈고, 사기꾼이 덮개보다 빛나는 것을 보며 웃었습니다. 실크는 사기꾼에게 정복당했습니다."
"MSG_C_UMBRELLA_J_LOSS","The jelly's translucent body simply flowed over the umbrella, the flimsy fabric offering no resistance to its mindless, ever-growing mass. It ignored the shade entirely, absorbing the handle and the silk into its gelatinous core until nothing was left. The umbrella was swallowed by the slime.","ジェリーの半透明な肉体は傘の上を易々と流れ、その脆い布地は増殖し続ける質量を止める術を持たなかった。魔物は日陰を完全に無視し、柄も絹地もろとも自らのゼラチン状の核の中へと飲み込んでゆく。傘は、泥濘の中に消失した。","果冻怪半透明的身体直接流过了雨伞，虚弱的织物对其无脑、不断增长的质量没有提供任何阻力。它完全忽视了阴影，将手柄和丝绸吸入其胶状核心，直到什么都没留下。雨伞被软泥吞没了。","Полупрозрачное тело желе просто перетекло через зонт, хлипкая ткань не оказала никакого сопротивления его безмозглой, постоянно растущей массе. Оно полностью проигнорировало тень, поглотив ручку и шелк в свое студенистое ядро, пока ничего не осталось. Зонт был проглочен слизью.","El cuerpo translúcido de la gelatina simplemente fluyó sobre el paraguas, la tela endeble no ofreció resistencia a su masa sin mente y en constante crecimiento. Ignoró la sombra por completo, absorbiendo el mango y la seda en su núcleo gelatinoso hasta que no quedó nada. El paraguas fue tragado por el limo.","O corpo translúcido da geleia simplesmente fluiu sobre o guarda-chuva, o tecido frágil não oferecendo resistência à sua massa irracional e em constante crescimento. Ignorou a sombra completamente, absorvendo o cabo e a seda em seu núcleo gelatinoso até que nada sobrasse. O guarda-chuva foi engolido pelo limo.","Der durchsichtige Körper des Gelees floss einfach über den Schirm hinweg, da der dünne Stoff seiner geistlosen, ständig wachsenden Masse keinen Widerstand entgegensetzte. Er ignorierte den Schatten völlig und absorbierte den Griff und die Seide in seinen gallertartigen Kern, bis nichts mehr übrig war. Der Schirm wurde vom Schleim verschlungen.","젤리의 반투명한 몸체는 우산 위로 흘러넘쳤고, 얇은 천은 무심하게 계속 커지는 젤리의 질량에 아무런 저항도 하지 못했습니다. 그늘을 완전히 무시한 채 손잡이와 실크를 젤리 핵으로 흡수하여 아무것도 남지 않게 했습니다. 우산은 슬라임에 삼켜졌습니다."
