"keys","en","ja","zh","ru","es","pt","de","ko"
"MSG_C_NANOBOTS_A_WIN","A swarm of nanobots descended upon the ants, disassembling their exoskeletons at a molecular level. The colony vanished, replaced by a fine metallic dust. Efficiency met nature in a cold, silent victory.","ナノボットの群れがアリに降り注ぎ、その外骨格を分子レベルで分解した。コロニーは消滅し、微細な金属の塵へと姿を変えた。冷徹で静かな勝利の中で、効率が自然を凌駕した。","无数纳米机器人降临在蚁群身上，在分子层面分解了它们的外骨骼。蚁群消失了，取而代之的是细微的金属粉尘。这是一场效率对手自然的冷酷而无声的胜利。","Рой наноботов спустился на муравьев, разбирая их экзоскелеты на молекулярном уровне. Колония исчезла, сменившись тонкой металлической пылью. Эффективность встретилась с природой в холодной и безмолвной победе.","Un enjambre de nanobots descendió sobre las hormigas, desensamblando sus exoesqueletos a nivel molecular. La colonia desapareció, reemplazada por un fino polvo metálico. La eficiencia se encontró con la naturaleza en una victoria fría y silenciosa.","Um enxame de nanobôs desceu sobre as formigas, desmontando seus exoesqueletos em um nível molecular. A colônia desapareceu, substituída por uma fina poeira metálica. A eficiência encontrou a natureza em uma vitória fria e silenciosa.","Ein Schwarm von Nanobots ließ sich auf die Ameisen nieder und zerlegte ihre Exoskelette auf molekularer Ebene. Die Kolonie verschwand und wurde durch feinen Metallstaub ersetzt. Effizienz traf in einem kalten, stillen Sieg auf die Natur.","나노봇 군단이 개미들을 덮쳐 분자 수준에서 그들의 외골격을 분해했습니다. 군집은 사라지고 미세한 금속 가루가 그 자리를 대신했습니다. 차갑고 고요한 승리 속에서 효율성이 자연과 만났습니다."
"MSG_C_NANOBOTS_B_WIN","The nanobots synchronized their flight, swarming the bat and disabling its sonar organs. Disoriented, the creature crashed into the ceiling and was promptly recycled. Technology reclaimed the darkness of the cave.","ナノボットは飛行を同期させ、コウモリに群がってそのソナー器官を無効化した。方向感覚を失った獲物は天井に激突し、即座にリサイクルされた。技術が洞窟の闇を奪い返した。","纳米机器人同步了它们的飞行，蜂拥而至击残了蝙蝠的声呐器官。失去方向感的生物撞向天花板，随即被回收。技术重新定义了洞窟的黑暗。","Наноботы синхронизировали свой полет, облепив летучую мышь и выведя из строя ее органы сонара. Дезориентированное существо врезалось в потолок и было немедленно переработано. Технологии отвоевали темноту пещеры.","Los nanobots sincronizaron su vuelo, rodeando al murciélago e inutilizando sus órganos de sonar. Desorientada, la criatura se estrelló contra el techo y fue reciclada de inmediato. La tecnología reclamó la oscuridad de la cueva.","Os nanobôs sincronizaram seu voo, cercando o morcego e desativando seus órgãos de sonar. Desorientada, a criatura colidiu com o teto e foi prontamente reciclada. Os nanobôs recuperaram a escuridão da caverna.","Die Nanobots synchronisierten ihren Flug, schwärmten um die Fledermaus aus und deaktivierten ihre Sonarorgane. Orientierungslos prallte das Wesen gegen die Decke und wurde umgehend recycelt. Die Technologie eroberte die Dunkelheit der Höhle zurück.","나노봇들은 비행을 동기화하여 박쥐를 에워싸고 그 음파 탐지 기관을 무력화했습니다. 방향 감각을 잃은 생명체는 천장에 부딪혔고 즉시 재활용되었습니다. 기술이 동굴의 어둠을 되찾았습니다."
"MSG_C_NANOBOTS_C_WIN","Thousands of micro-machines injected themselves into the cobra, neutralizing its venom immediately. The serpent stiffened as its nervous system was rewritten into a harmless circuit. The deadly predator became a quiet statue.","数千のマイクロマシンがコブラに注入され、その猛毒を即座に中和した。神経系が無害な回路へと書き換えられると、蛇は硬直した。致命的な捕食者は静かな像へと変わった。","数以千计的微型机器注入蛇体，立即中和了眼镜蛇的毒液。随着神经系统被改写为无害的电路，毒蛇僵住了。致命的掠食者变成了一座静默的雕像。","Тысячи микромашин впрыснули себя в кобру, немедленно нейтрализовав ее яд. Змея застыла, когда ее нервная система была переписана в безвредную схему. Смертоносный хищник превратился в тихую статую.","Miles de micromáquinas se inyectaron en la cobra, neutralizando su veneno de inmediato. La serpiente se puso rígida mientras su sistema nervioso era reescrito en un circuito inofensivo. El letal depredador se convirtió en una estatua silenciosa.","Milhares de micromáquinas injetaram-se na naja, neutralizando o seu veneno imediatamente. A serpente endureceu à medida que o seu sistema nervoso era reescrito num circuito inofensivo. O predador mortal tornou-se uma estátua silenciosa.","Tausende von Mikromaschinen injizierten sich in die Kobra und neutralisierten sofort ihr Gift. Die Schlange erstarrte, als ihr Nervensystem in einen harmlosen Schaltkreis umgeschrieben wurde. Das tödliche Raubtier wurde zu einer stillen Statue.","수천 개의 미세 기계가 코브라의 몸속으로 침투하여 즉시 독을 중화했습니다. 신경계가 무해한 회로로 재구축되면서 뱀은 뻣뻣하게 굳었습니다. 치명적인 포식자는 고요한 조각상이 되었습니다."
"MSG_C_NANOBOTS_D_WIN","Nanobots targeted the dragon's scales, eroding its legendary hide with relentless precision. The titan fell as its internal organs were converted into high-grade alloys. A new era of metal had finally arrived.","ナノボットがドラゴンの鱗を標的とし、伝説の皮膚を容赦ない精度で侵食した。内臓が高品位の合金へと変換されると、巨神は崩れ落ちた。金属の新たな時代が遂に到来した。","纳米机器人以巨龙的鳞片为目标，以无情的精度侵蚀了它传说的皮肤。随着内脏被转换为高档合金，巨神轰然倒下。金属的新时代终于到来了。","Наноботы атаковали чешую дракона, разъедая его легендарную шкуру с неумолимой точностью. Титан пал, когда его внутренние органы превратились в высококачественные сплавы. Наконец-то наступила новая эра металла.","Los nanobots atacaron las escamas del dragón, erosionando su piel legendaria con una precisión implacable. El titán cayó mientras sus órganos internos se convertían en aleaciones de alta calidad. Por fin había llegado una nueva era del metal.","Os nanobôs atacaram as escamas do dragão, corroendo o seu couro lendário com uma precisão implacável. O titã caiu quando os seus órgãos internos foram convertidos em ligas de alta qualidade. Uma nova era de metal tinha finalmente chegado.","Nanobots nahmen die Schuppen des Drachen ins Visier und zerfressen seine legendäre Haut mit unerbittlicher Präzision. Der Titan fiel, als seine inneren Organe in hochwertige Legierungen umgewandelt wurden. Eine neue Ära des Metalls war endlich angebrochen.","나노봇들이 드래곤의 비늘을 목표로 삼아 가차 없는 정밀함으로 전설적인 가죽을 부식시켰습니다. 내부 장기가 고품질 합금으로 변하면서 거신은 쓰러졌습니다. 마침내 금속의 새로운 시대가 도래했습니다."
"MSG_C_NANOBOTS_E_WIN","The bots infiltrated the tree spirit's grain, halting the flow of sap and freezing its soul. The ancient life was reconfigured into a massive, shimmering antenna. The forest's memory was digitized forever.","ボットが樹霊の木目に浸透し、樹液の流れを止めてその魂を凍結させた。古の生命は巨大で輝くアンテナへと再構成された。森の記憶は永遠にデジタル化された。","机器人渗透进树精的纹理，停止了树液的流动并冻结了它的灵魂。古老的生命被重构为巨大的闪烁天线。森林的记忆被永久数字化了。","Боты проникли в волокна лесного духа, остановив поток сока и заморозив его душу. Древняя жизнь была перестроена в массивную сверкающую антенну. Память леса была оцифрована навсегда.","Los bots se infiltraron en las vetas del espíritu del árbol, deteniendo el flujo de savia y congelando su alma. La vida ancestral fue reconfigurada en una antena masiva y reluciente. La memoria del bosque fue digitalizada para siempre.","Os robôs infiltraram-se nos veios do espírito da árvore, interrompendo o fluxo da seiva e congelando a sua alma. A vida antiga foi reconfigurada numa antena maciça e cintilante. A memória da floresta foi digitalizada para sempre.","Die Bots infiltrierten die Maserung des Baumgeistes, stoppten den Saftfluss und froren seine Seele ein. Das uralte Leben wurde zu einer massiven, schimmernden Antenne umkonfiguriert. Das Gedächtnis des Waldes wurde für immer digitalisiert.","봇들이 나무 정령의 결 속으로 침투하여 수액의 흐름을 멈추고 영혼을 얼려버렸습니다. 고대의 생명체는 거대하고 반짝이는 안테나로 재구성되었습니다. 숲의 기억은 영원히 디지털화되었습니다."
"MSG_C_NANOBOTS_F_WIN","The fly was captured in a microscopic energy net and disassembled in mid-air. Its annoying buzzing was replaced by a brief, high-pitched hum. Another biological error was successfully corrected.","ハエは微細なエネルギー網に捕らえられ、空中分解された。不快な羽音は短い高音の電子音へと置き換わった。また一つの生物学的エラーが正常に修正された。","苍蝇被微观能量网捕获并在空中分解。它那令人烦躁的嗡嗡声被短暂的高频嗡鸣声取代。另一个生物学错误被成功修正了。","Муха была поймана в микроскопическую энергетическую сеть и разобрана прямо в воздухе. Ее раздражающее жужжание сменилось коротким пронзительным гулом. Еще одна биологическая ошибка была успешно исправлена.","La mosca fue capturada en una red de energía microscópica y desensamblada en el aire. Su molesto zumbido fue reemplazado por un breve zumbido agudo. Otro error biológico fue corregido con éxito.","A mosca foi capturada numa rede de energia microscópica e desmontada em pleno ar. O seu zumbido irritante foi substituído por um zumbido curto e agudo. Outro erro biológico foi corrigido com sucesso.","Die Fliege wurde in einem mikroskopischen Energienetz gefangen und in der Luft zerlegt. Ihr lästiges Summen wurde durch ein kurzes, hohes Summen ersetzt. Ein weiterer biologischer Fehler wurde erfolgreich korrigiert.","파리는 미세 에너지 그물에 갇혀 공중에서 분해되었습니다. 짜증스러운 날갯짓 소리는 짧고 높은 전자음으로 바뀌었습니다. 또 하나의 생물학적 오류가 성공적으로 수정되었습니다."
"MSG_C_NANOBOTS_G_WIN","Nanobots swarmed the goblin's crude weapons, melting them into a liquid silver trap. The creature's cowardly screams were silenced as its lungs were filled with inert dust. Brutal efficiency left no room for pity.","ナノボットがゴブリンの粗末な武器に群がり、それを銀色の液体の罠へと溶かした。肺が不活性の塵で満たされると、臆病な悲鳴は途絶えた。非情な効率に慈悲の余地はなかった。","纳米机器人蜂拥向哥布林粗糙的武器，将其熔化为液态银陷阱。随着肺部填满惰性粉尘，那胆怯的尖叫声戛然而止。残酷的效率没有给怜悯留出空间。","Наноботы облепили примитивное оружие гоблина, превратив его в ловушку из жидкого серебра. Трусливые крики существа затихли, когда его легкие наполнились инертной пылью. Жестокая эффективность не оставила места для жалости.","Los nanobots rodearon las toscas armas del goblin, fundiéndolas en una trampa de plata líquida. Los gritos cobardes de la criatura fueron silenciados mientras sus pulmones se llenaban de polvo inerte. La eficiencia brutal no dejó lugar para la piedad.","Os nanobôs cercaram as armas rudimentares do goblin, derretendo-as numa armadilha de prata líquida. Os gritos cobardes da criatura foram silenciados enquanto os seus pulmões se enchiam de poeira inerte. A eficiência brutal não deixou margem para a piedade.","Nanobots schwärmten um die primitiven Waffen des Goblins aus und schmolzen sie zu einer flüssigen Silberfalle. Die feigen Schreie der Kreatur verstummten, als ihre Lungen mit inertem Staub gefüllt wurden. Brutale Effizienz ließ keinen Raum für Mitleid.","나노봇들이 고블린의 조잡한 무기들을 에워싸고 녹여서 액체 은 함정으로 만들었습니다. 허파에 비활성 먼지가 차오르자 괴물의 비겁한 비명소리는 사라졌습니다. 잔혹한 효율성 앞에 동정심의 여지는 없었습니다."
"MSG_C_NANOBOTS_H_WIN","The harpy's feathers were turned into rigid steel by the clinging nanobots. She fell from the sky, her beautiful wings now heavy monuments to obsolescence. The queen of the wind was grounded by science.","ハーピーの羽は、まとわりつくナノボットによって硬い鋼鉄へと変えられた。彼女は空から墜ち、その美しい翼は今や時代遅れの重い記念碑となった。風の女王は科学によって地に縛り付けられた。","哈皮的羽毛被粘附的纳米机器人变成了坚硬的钢铁。她从天而降，那美丽的翅膀如今成了沉重的过时纪念碑。风之女王被科学囚禁在地面上。","Перья гарпии превратились в жесткую сталь под воздействием облепивших ее наноботов. Она упала с неба, ее прекрасные крылья теперь стали тяжелыми памятниками устареванию. Королева ветра была приземлена наукой.","Las plumas de la arpía se convirtieron en acero rígido por los nanobots que se aferraban a ella. Cayó del cielo, sus hermosas alas ahora eran pesados monumentos a la obsolescencia. La reina del viento fue derribada por la ciencia.","As penas da harpia foram transformadas em aço rígido pelos nanobôs que se agarravam a ela. Ela caiu do céu, as suas belas asas agora pesados monumentos à obsolescência. A rainha do vento foi derrubada pela ciência.","Die Federn der Harpyie wurden durch die anhaftenden Nanobots in starren Stahl verwandelt. Sie fiel vom Himmel, ihre wunderschönen Flügel waren nun schwere Denkmäler der Veralterung. Die Königin des Windes wurde von der Wissenschaft auf den Boden der Tatsachen zurückgeholt.","달라붙은 나노봇들에 의해 하피의 깃털이 딱딱한 강철로 변했습니다. 그녀는 하늘에서 떨어졌고, 아름다웠던 날개는 이제 시대에 뒤떨어진 무거운 기념비가 되었습니다. 바람의 여왕은 과학에 의해 땅으로 추락했습니다."
"MSG_C_NANOBOTS_I_LOSS","The imp's chaotic magic scrambled the nanobots' command signals instantly. The machines turned on each other, scattering as useless grey sand. The demon's laughter heralded your mechanical failure.","インプの混沌とした魔法が、ナノボットのコマンド信号を一瞬でかき乱した。マシンは同士討ちを始め、無益な灰色の砂となって散った。悪魔の嘲笑が、あなたの技術的失敗を告げた。","小恶魔混沌的魔法瞬间扰乱了纳米机器人的指令信号。机器开始自相残杀，化作无用的灰色沙尘散去。恶魔的嘲笑预示了你的机械故障。","Хаотичная магия беса мгновенно перепутала команды наноботов. Машины ополчились друг на друга, рассыпавшись бесполезным серым песком. Смех демона предвещал ваш механический провал.","La magia caótica del imp revolvió las señales de mando de los nanobots al instante. Las máquinas se volvieron unas contra otras, dispersándose como arena gris inútil. La risa del demonio anunció tu fallo mecánico.","A magia caótica do imp baralhou instantaneamente os sinais de comando dos nanobôs. As máquinas viraram-se umas contra as outras, dispersando-se como areia cinzenta inútil. O riso do demónio anunciou a sua falha mecânica.","Die chaotische Magie des Imps brachte die Befehlssignale der Nanobots augenblicklich durcheinander. Die Maschinen wandten sich gegeneinander und zerstreuten sich als nutzloser grauer Sand. Das Lachen des Dämons verkündete dein mechanisches Versagen.","임프의 혼돈 마법이 나노봇의 명령 신호를 즉시 교란했습니다. 기계들은 서로를 공격하기 시작했고, 쓸모없는 회색 모래가 되어 흩어졌습니다. 악마의 웃음소리가 당신의 기계적 실패를 알렸습니다."
"MSG_C_NANOBOTS_J_LOSS","The jelly's highly acidic body dissolved the nanobots before they could initialize. The monster grew larger, absorbing the precious metals as nutrients. Your cutting-edge technology was simply a snack.","ジェリーの強酸性の体が、初期化前のナノボットを溶かしてしまった。怪物は希少金属を栄養として吸収し、さらに肥大化した。あなたの最先端技術も、奴にとってはただの間食に過ぎなかった。","果冻怪强酸性的身体在纳米机器人初始化前就将其溶解。怪物吸收稀有金属作为营养，变得更加庞大。你的尖端技术对他来说只不过是一顿零食。","Сильно кислотное тело желе растворило наноботов еще до того, как они успели инициализироваться. Монстр стал больше, поглощая драгоценные металлы в качестве питательных веществ. Ваша передовая технология оказалась просто закуской.","El cuerpo altamente ácido de la gelatina disolvió los nanobots antes de que pudieran inicializarse. El monstruo creció, absorbiendo los metales preciosos como nutrientes. Tu tecnología de vanguardia fue simplemente un bocadillo.","O corpo altamente ácido da geleia dissolveu os nanobôs antes de poderem inicializar. O monstro cresceu, absorvendo os metais preciosos como nutrientes. A sua tecnologia de ponta foi simplesmente um lanche.","Der hochgradig säurehaltige Körper des Gelees löste die Nanobots auf, noch bevor sie initialisiert werden konnten. Das Monster wurde größer und absorbierte die Edelmetalle als Nährstoffe. Deine Spitzentechnologie war schlichtweg ein Snack.","젤리의 강한 산성 몸체가 초기화되기도 전에 나노봇들을 녹여버렸습니다. 괴물은 귀금속을 영양분으로 흡수하며 더욱 거대해졌습니다. 당신의 최첨단 기술은 그저 간식거리에 불과했습니다."
