"keys","en","ja","zh","ru","es","pt","de","ko"
"MSG_C_WIFIROUTER_A_WIN","You held the router's thick antenna like a spear and stabbed the vital points of the swarm of ants one by one as they crawled towards you.","ルーターの極太アンテナを槍のように構え、這い寄るアリの群れの急所を一つずつ突き刺した。","你像长矛一样握住路由器粗大的天线，一根一根地刺向向你爬来的蚂蚁群的要害。","Вы держали толстую антенну роутера как копье и поочередно кололи жизненно важные точки роя муравьев, когда они ползли к вам.","Sostuviste la gruesa antena del router como una lanza y apuñalaste los puntos vitales del enjambre de hormigas uno por uno mientras se arrastraban hacia ti.","Você segurou a antena grossa do roteador como uma lança e esfaqueou os pontos vitais do enxame de formigas um por um enquanto elas rastejavam em sua direção.","Du hieltest die dicke Antenne des Routers wie einen Speer und stachst nacheinander in die lebenswichtigen Punkte des Ameisenschwarms, während sie auf dich zukrochen.","라우터의 굵은 안테나를 창처럼 잡고 다가오는 개미 떼의 급소를 하나씩 찔렀습니다."
"MSG_C_WIFIROUTER_B_WIN","The powerful Wi-Fi radio waves disoriented the bat as it flew through the darkness, causing it to crash into the cave wall and fall.","Wi-Fiの強力な電波が暗闇を飛ぶコウモリの方向感覚を狂わせ、洞窟の壁に激突させて倒した。","当蝙蝠在黑暗中飞行时，强大的 Wi-Fi 无线电波使蝙蝠迷失了方向，导致它撞到洞壁上并坠落。","Мощные радиоволны Wi-Fi дезориентировали летучую мышь, летящую в темноте, из-за чего она врезалась в стену пещеры и упала.","Las potentes ondas de radio Wi-Fi desorientaron al murciélago mientras volaba en la oscuridad, haciendo que chocara contra la pared de la cueva y cayera.","As poderosas ondas de rádio Wi-Fi desorientaram o morcego enquanto ele voava na escuridão, fazendo com que ele batesse na parede da caverna e caísse.","Die starken Wi-Fi-Funkwellen desorientierten die Fledermaus, während sie durch die Dunkelheit flog, was dazu führte, dass sie gegen die Höhlenwand prallte und abstürzte.","강력한 Wi-Fi 전파가 어둠 속을 나는 박쥐의 방향 감각을 흐트러뜨려 동굴 벽에 부딪혀 떨어지게 했습니다."
"MSG_C_WIFIROUTER_C_WIN","The moment the cobra raised its sickle neck, you hit it directly in the face with a high-speed router, knocking it unconscious.","コブラが鎌首をもたげた瞬間、高速ルーターを顔面に直撃させてそのまま気絶させた。","眼镜蛇一举起镰刀脖子，你就用高速路由器直接打在它脸上，把它打昏了。","В тот момент, когда кобра подняла свою шею, вы ударили ее прямо в морду высокоскоростным роутером, сбив ее с ног без сознания.","En el momento en que la cobra levantó su cuello de hoz, la golpeaste directamente en la cara con un router de alta velocidad, dejándola inconsciente.","No momento em que a cobra levantou seu pescoço em forma de foice, você a atingiu diretamente no rosto com um roteador de alta velocidade, deixando-a inconsciente.","In dem Moment, als die Kobra ihren Sichelhals hob, trafst du sie mit einem Hochgeschwindigkeits-Router direkt ins Gesicht und schlugst sie bewusstlos.","코브라가 머리를 치켜든 순간, 고속 라우터로 안면을 직격해 그대로 기절시켰습니다."
"MSG_C_WIFIROUTER_D_WIN","Even the dragon's strong scales could not withstand the attacks thrown by the router's antennas, which extended in all four directions.","ドラゴンの強靭な鱗すらも、四方向に伸びたルーターのアンテナによる投擲攻撃には耐えきれなかった。","即使是巨龙坚固的鳞片也无法抵挡路由器天线向四个方向延伸的攻击。","Даже крепкая чешуя дракона не выдержала атак антенн роутера, торчащих во все четыре стороны.","Incluso las fuertes escamas del dragón no pudieron resistir los ataques lanzados por las antenas del router, que se extendían en las cuatro direcciones.","Mesmo as escamas fortes do dragão não resistiram aos ataques lançados pelas antenas do roteador, que se estendiam em todas as quatro direções.","Selbst die starken Schuppen des Drachen konnten den Angriffen der in alle vier Richtungen ragenden Router-Antennen nicht standhalten.","드래곤의 강인한 비늘조차 네 방향으로 뻗은 라우터 안테나의 투척 공격에는 견디지 못했습니다."
"MSG_C_WIFIROUTER_E_WIN","The rustling of the leaves that the Ent had was completely canceled out by the radio interference waves, and the tree's thoughts were frozen.","エントの持つ木の葉のざわめきを無線の干渉波で完全に打ち消し、樹木の思考をフリーズさせた。","树人树叶的沙沙声完全被无线电干扰波抵消了，树的思绪也被冻结了。","Шелест листьев Энта был полностью заглушен радиопомехами, и мысли дерева замерли.","El susurro de las hojas del Ent fue completamente cancelado por las ondas de interferencia de radio, y los pensamientos del árbol se congelaron.","O sussurro das folhas do Ent foi completamente cancelado pelas ondas de interferência de rádio, e os pensamentos da árvore foram congelados.","Das Rascheln der Blätter des Ents wurde durch die Funkstörwellen vollständig unterdrückt, und die Gedanken des Baumes froren ein.","엔트의 나뭇잎 바스락거림을 무선 간섭파로 완전히 상쇄시켜 나무의 사고를 정지시켰습니다."
"MSG_C_WIFIROUTER_F_WIN","The fly, attracted by the exhaust heat from the router, entered the gap in the base, instantly receiving an electric shock and burning the machine.","ルーターの排熱に引き寄せられたハエが基盤の隙間に入り込み、一瞬で感電して焼け焦げた。","苍蝇被路由器排出的热量吸引，进入底座的缝隙中，瞬间触电并烧毁了机器。","Муха, привлеченная теплом от роутера, попала в щель в основании, мгновенно получила удар током и сгорела.","La mosca, atraída por el calor del escape del router, entró en el hueco de la base, recibiendo instantáneamente una descarga eléctrica y quemándose.","A mosca, atraída pelo calor do roteador, entrou na fresta da base, recebendo instantaneamente um choque elétrico e morrendo queimada.","Die Fliege, angezogen von der Abwärme des Routers, geriet in den Spalt im Gehäuse, erlitt sofort einen Stromschlag und verbrannte.","라우터의 배출 열기에 이끌린 파리가 본체 틈새로 들어가 순식간에 감전되어 타버렸습니다."
"MSG_C_WIFIROUTER_G_LOSS","The goblin caught the thrown router and used its antennas as crude daggers to stab you repeatedly.","投げつけたルーターをゴブリンが空中でキャッチし、そのアンテナを鋭い短剣のように使ってあなたを執拗に刺してきました。","哥布林在空中接住了投掷的路由器，将其天线像锐利的短剑一样使用，固执地向你刺了过来。","Гоблин поймал брошенный роутер и использовал его антенны как грубые кинжалы, чтобы многократно ударить вас.","El goblin atrapó el router lanzado y usó sus antenas como dagas toscas para apuñalarte repetidamente.","O goblin pegou o roteador arremessado e usou suas antenas como adagas rudimentares para esfaqueá-lo repetidamente.","Der Goblin fing den geworfenen Router auf und benutzte seine Antennen als grobe Dolche, um wiederholt auf dich einzustechen.","던진 라우터를 고블린이 공중에서 낚아채 안테나를 날카로운 단검처럼 사용해 당신을 집요하게 찔렀습니다."
"MSG_C_WIFIROUTER_H_WIN","Before the harpy could attack from the sky, the antenna part of the router was thrown, piercing its wing and falling to the ground.","ハーピーが空から襲い来るより早くルーターのアンテナ部分を投擲し、翼を貫いて地に落とした。","还没等鹰身女妖从空中攻击，路由器的天线部分就被扔了出去，刺穿了它的翅膀，掉到了地上。","Прежде чем гарпия смогла атаковать с неба, в нее бросили антенну роутера, пробив ей крыло и сбив на землю.","Antes de que la arpía pudiera atacar desde el cielo, le lanzaron la antena del router, perforando su ala y haciéndola caer al suelo.","Antes que a harpia pudesse atacar do céu, a parte da antena do roteador foi arremessada, perfurando sua asa e fazendo-a cair no chão.","Bevor die Harpyie aus der Luft angreifen konnte, wurde die Antenne des Routers geworfen, durchbohrte ihren Flügel und ließ sie zu Boden stürzen.","하피가 하늘에서 습격하기 전에 라우터 안테나 부분을 투척하여 날개를 꿰뚫어 땅으로 떨어뜨렸습니다."
"MSG_C_WIFIROUTER_I_WIN","You predicted the imp's teleport destination based on the router's communication log, and the moment it appeared, you hit it in the face with its horn.","インプのテレポート先をルーターの通信ログから予測し、出現した瞬間に角で顔面をぶん殴った。","你根据路由器的通讯日志预测了小恶魔的传送目的地，在它出现的那一刻，你用角打了它的脸。","Вы предсказали место телепортации импа на основе лога связи роутера, и в момент его появления ударили его рогом по лицу.","Predijiste el destino de la teletransportación del imp basándote en el registro de comunicación del router, y en el momento en que apareció, lo golpeaste en la cara con su antena.","Você previu o destino do teletransporte do imp com base no log de comunicação do roteador e, no momento em que ele apareceu, você o atingiu no rosto com sua antena.","Du hast das Teleportationsziel des Imps anhand des Kommunikationsprotokolls des Routers vorhergesagt und ihn im Moment seines Erscheinens mit der Antenne ins Gesicht geschlagen.","라우터의 통신 로그를 통해 임프의 텔레포트 지점을 예측하고, 나타난 순간 안테나 모서리로 안면을 강타했습니다."
"MSG_C_WIFIROUTER_J_LOSS","As a result of throwing a router into the jelly's slime-like body, an electrical leak occurred inside and caused a huge explosion.","ジェリーのスライム状の体にルーターを放り込んだ結果、内部で漏電して大爆発を引き起こした。","由于将路由器扔进了果冻怪粘液状的身体中，导致内部发生漏电并引发了巨大的爆炸。","В результате броска роутера в слизистое тело желе внутри произошло короткое замыкание, вызвавшее мощный взрыв.","Como resultado de lanzar un router al cuerpo viscoso de la gelatina, se produjo una fuga eléctrica en su interior y causó una gran explosión.","Como resultado de jogar um roteador no corpo viscoso da geleia, ocorreu um vazamento elétrico interno e causou uma grande explosão.","Nachdem ein Router in den schleimigen Körper des Gelees geworfen wurde, kam es im Inneren zu einem Kriechstrom, der eine gewaltige Explosion auslöste.","젤리의 슬라임 같은 몸에 라우터를 던져 넣은 결과, 내부에서 누전이 발생해 대폭발을 일으켰습니다."
