"keys","en","ja","zh","ru","es","pt","de","ko"
"MSG_C_ESCAPE_A_WIN","You escaped elegantly as the ant pack lost coordination. The insects were left confused.","アリの群れが連携を乱した隙に、あなたは鮮やかにその場を脱出した。残された虫たちは、獲物を見失い当惑している。","趁蚁群协作混乱之际，你利落地脱离了现场。被留下的昆虫们因失去目标而感到困惑。","Вы элегантно сбежали, когда муравьиная стая потеряла координацию. Насекомые остались в замешательстве.","Escapaste con elegancia cuando el grupo de hormigas perdió la coordinación. Los insectos quedaron confundidos.","Você escapou elegantemente enquanto o enxame de formigas perdia a coordenação. Os insetos ficaram confusos.","Du bist elegant entkommen, als das Ameisenvolk die Koordination verlor. Die Insekten blieben verwirrt zurück.","개미 떼가 협동력을 잃은 틈을 타 당신은 우아하게 탈출했습니다. 남겨진 곤충들은 당황하고 있습니다."
"MSG_C_ESCAPE_B_LOSS","The bat's sonar predicted your escape and blocked the path. Its eyes mocked your panic.","コウモリの超音波があなたの逃走経路を先読みし、退路を断った。闇に光る瞳が, あなたの焦りを嘲笑う。","蝙蝠的超音波预判了你的逃跑路线，断绝了退路。黑暗中发光的瞳孔嘲笑着你的焦躁。","Сонар летучей мыши предсказал ваш побег и преградил путь. Ее глаза насмехались над вашей паникой.","El sonar del murciélago predijo tu huida y bloqueó el camino. Sus ojos se burlaban de tu pánico.","O sonar do morcego previu sua fuga e bloqueou o caminho. Seus olhos zombavam do seu pânico.","Das Sonar der Fledermaus sagte deine Flucht voraus und versperrte den Weg. Ihre Augen spotteten über deine Panik.","박쥐의 초음파가 당신의 도주 경로를 예측하여 퇴로를 차단했습니다. 어둠 속에서 빛나는 눈동자가 당신의 초조함을 비웃습니다."
"MSG_C_ESCAPE_C_WIN","You vanished like smoke during the cobra's strike. It bit the air and hissed in frustration.","毒蛇の攻撃する一瞬の隙を突き、あなたは煙のように姿を消した。コブラは空虚な空間を噛み、苛立ちを露わにした。","抓住毒蛇攻击的瞬间空隙，你如烟雾般消失了。眼镜蛇咬在了虚空中，流露出焦躁。","Вы исчезли как дым во время удара кобры. Она укусила воздух и разочарованно зашипела.","Desapareciste como el humo durante el ataque de la cobra. Mordió el aire y siseó con frustración.","Você desapareceu como fumaça durante o ataque da cobra. Ela mordeu o ar e sibilou em frustração.","Du bist wie Rauch während des Angriffs der Kobra verschwunden. Sie biss ins Leere und zischte frustriert.","독사가 공격하는 찰나의 빈틈을 타 당신은 연기처럼 사라졌습니다. 코브라는 허공을 깨물며 짜증을 드러냈습니다."
"MSG_C_ESCAPE_D_WIN","You escaped the dragon's breath with miraculous speed. Even the legend was shocked by your flight.","巨竜の放つ灼熱のブレスから、奇跡的な速度で脱出した。伝説の魔物さえも、あなたの執念の逃走には驚きを隠せなかった。","以奇迹般的速度逃离了巨龙喷出的灼热吐息。连传说的魔物也对你那执着的逃亡感到吃惊。","Вы спаслись от дыхания дракона с чудесной скоростью. Даже легенда была потрясена вашим бегством.","Escapaste del aliento del dragón con una velocidad milagrosa. Incluso la leyenda se sorprendió por tu huida.","Você escapou do sopro do dragão com uma velocidade milagrosa. Até a lenda ficou chocada com a sua fuga.","Du bist dem Atem des Drachen mit wunderbarer Geschwindigkeit entkommen. Selbst die Legende war schockiert über deine Flucht.","거대룡이 뿜는 작열하는 브레스에서 기적적인 속도로 탈출했습니다. 전설의 마물조차 당신의 집요한 도주에는 놀라움을 감추지 못했습니다."
"MSG_C_ESCAPE_E_WIN","You vanished into the woods before the tree spirit could react. It only heard the wind.","木の精霊が根を伸ばすより速く、あなたは森の奥深くへと消えた。古き生命は、ただ静かに風の音を聞くだけだった。","在树精延伸树根之前，你就已经消失在了森林深处。古老的生命只能静静地聆听风声。","Вы исчезли в лесу прежде, чем лесной дух успел среагировать. Он слышал только ветер.","Te desvaneciste en el bosque antes de que el espíritu del árbol pudiera reaccionar. Solo escuchó el viento.","Você desapareceu na floresta antes que o espírito da árvore pudesse reagir. Ele só ouviu o vento.","Du bist im Wald verschwunden, bevor der Baumgeist reagieren konnte. Er hörte nur den Wind.","나무 정령이 뿌리를 뻗기보다 빠르게 당신은 숲속 깊은 곳으로 사라졌습니다. 오래된 생명은 그저 조용히 바람 소리만을 들을 뿐이었습니다."
"MSG_C_ESCAPE_F_WIN","You slipped past the fly's gaze and successfully retreated. The tiny target noticed nothing.","鬱陶しいハエの警戒を鮮やかに潜り抜け、あなたは撤退に成功した。小さな標的は、獲物が消えたことにも気づいていない。","漂亮地躲过了讨厌苍蝇的警戒，你成功撤退。微小的目标甚至没有察觉到猎物消失了。","Вы ускользнули от взгляда мухи и успешно отступили. Крошечная цель ничего не заметила.","Te escapaste de la mirada de la mosca y te retiraste con éxito. El pequeño objetivo no notó nada.","Você passou despercebido pelo olhar da mosca e recuou com sucesso. O pequeno alvo não notou nada.","Du bist am Blick der Fliege vorbeigeschlüpft und erfolgreich geflohen. Das winzige Ziel hat nichts bemerkt.","성가신 파리의 경계를 선명하게 뚫고 퇴각에 성공했습니다. 작은 표적은 먹잇감이 사라진 것조차 눈치채지 못했습니다."
"MSG_C_ESCAPE_G_LOSS","The goblin's trap caught your leg preventing escape. With vile laughs the monsters closed in.","ゴブリンの仕掛けた罠があなたの足を捕らえ、逃走を許さなかった。卑屈な笑い声と共に、魔物たちが距離を詰める。","哥布林设置的陷阱抓住了你的脚，不让你逃走。伴随着卑下的笑声，魔物们拉近了距离。","Ловушка гоблина поймала вашу ногу, не давая сбежать. С мерзким смехом монстры приблизились.","La trampa del goblin atrapó tu pier impidiendo la huida. Con risas viles, los monstruos se acercaron.","A armadilha do goblin pegou sua perna impedindo a fuga. Com risadas vis, os monstros se aproximaram.","Die Falle des Goblins hat dein Bein erwischt und die Flucht verhindert. Mit hämischem Lachen kamen die Monster näher.","고블린이 설치한 함정이 당신의 발을 붙잡아 도주를 허용하지 않았습니다. 비열한 웃음소리와 함께 마물들이 거리를 좁혀옵니다."
"MSG_C_ESCAPE_H_WIN","You escaped into the harpy's blind spot. By the time she checked the ground you were gone.","旋回するハーピーの死角へ飛び込み、あなたは戦線を離脱した。空の女王が地上を確認したときには、すでにあなたの姿はなかった。","冲入盘旋中哈皮的死角，你脱离了战线。当天之女王确认地面时，已经不见了你的踪影。","Вы ускользнули в слепую зону гарпии. К тому времени, как она проверила землю, вас уже не было.","Escapaste al punto ciego de la arpía. Para cuando ella revisó el suelo, ya te habías ido.","Você escapou para o ponto cego da harpia. Quando ela verificou o chão, você já tinha ido embora.","Du bist in den toten Winkel der Harpie entkommen. Als sie den Boden überprüfte, warst du bereits weg.","선회하는 하피의 사각지대로 뛰어들어 전선을 이탈했습니다. 하늘의 여왕이 지면을 확인했을 때는 이미 당신의 모습은 없었습니다."
"MSG_C_ESCAPE_I_WIN","Using the imp's magic against it you escaped in the mist. It hissed in frustration.","インプの悪魔的な幻術を逆手に取り、あなたは霧に紛れて脱出した。奴は自分の魔法が破られたことに, 不満げな声を上げている。","反过来利用小仙女恶魔般的幻术，你混入雾气中逃脱了。它因魔法被破而发出了不满的叫声。","Используя магию беса против него самого, вы сбежали в тумане. Он разочарованно зашипел.","Usando la magia del imp en su contra, escapaste entre la niebla. Siseó con frustración.","Usando a magia do imp contra ele, você escapou no nevoeiro. Ele sibilou em frustração.","Indem du die Magie des Imps gegen ihn einsetztest, entkamst du im Nebel. Er zischte frustriert.","임프의 악마적인 환술을 역이용해 당신은 안개에 섞여 탈출했습니다. 녀석은 자신의 마법이 깨진 것에 불만 섞인 목소리를 높이고 있습니다."
"MSG_C_ESCAPE_J_WIN","You jumped clear just before the jelly surrounded you. The monster wobbled in empty space.","ジェリーの粘つく包囲網が完成する直前に、あなたは鮮やかな跳躍で脱出した。怪物は形を崩しながら、ただ虚空を揺らしている。","在果冻怪粘稠的包围网完成前，你利落的一跃而起成功逃脱。怪物崩解了形状，在虚空中摇晃。","Вы перепрыгнули через желе как раз перед тем, как оно окружило вас. Монстр зашатался в пустом пространстве.","Saltaste justo antes de que la gelatina te rodeara. El monstruo se tambaleó en el espacio vacío.","Você pulou logo antes da geleia te cercar. O monstro balançou no espaço vazio.","Du bist gesprungen, kurz bevor das Gelee dich umzingelte. Das Monster wackelte im leeren Raum.","젤리의 끈적한 포위망이 완성되기 직전에 당신은 선명한 도약으로 탈출했습니다. 괴물은 형태를 무너뜨리며 그저 허공을 흔들고 있습니다."
