"keys","en","ja","zh","ru","es","pt","de","ko"
"MSG_C_BURN_A_WIN","Magic flames engulfed the ant pack in an instant. Their charred exoskeletons scattered in the heat.","魔法の炎がアリの群れを一瞬で包み込んだ。カリカリに焼かれた外骨格が、熱風の中に散った。","魔法之火瞬间吞没了蚁群。被烤得焦脆的外骨骼在热浪中四散开来。","Магическое пламя мгновенно охватило муравьиную стаю. Их обугленные экзоскелеты разлетелись в жаре.","Las llamas mágicas envolvieron a la manada de hormigas en un instante. Sus exoesqueletos carbonizados se dispersaron en el calor.","Chamas mágicas envolveram o bando de formigas num instante. Seus exoesqueletos carbonizados se espalharam no calor.","Magische Flammen verschlangen das Ameisenrudel in einem Augenblick. Ihre verkohlten Exoskelette zerstreuten sich in der Hitze.","마법의 불꽃이 순식간에 개미 떼를 휩쓸었다. 바싹 구워진 외골격이 열풍 속에 흩어졌다."
"MSG_C_BURN_B_WIN","Hellfire lighting the dark scorched the bat's wings. The falling fireball let out a final light.","闇夜を照らす劫火がコウモリの翼を焼き尽くした。落ちていく火の玉は、最期の光を放った。","照亮黑夜的劫火烧尽了蝙蝠的翅膀。坠落的火球放射出了最后的光芒。","Адский огонь, освещающий тьму, опалил крылья летучей мыши. Падающий огненный шар испустил последний свет.","El fuego infernal que iluminaba la oscuridad abrasó las alas del murciélago. La bola de fuego que caía emitió una luz final.","O fogo do inferno iluminando a escuridão chamuscou as asas do morcego. A bola de fogo cadente soltou uma luz final.","Höllenfeuer, das die Dunkelheit erhellte, versengte die Flügel der Fledermaus. Der fallende Feuerball verströmte ein letztes Licht.","어둠을 밝히는 지옥불이 박쥐의 날개를 그슬렸다. 추락하는 화염구는 마지막 빛을 내뿜었다."
"MSG_C_BURN_C_WIN","A flame storm trapped the venomous snake. Unable to bear the heat the cobra turned to ash.","火炎の嵐が猛毒の蛇を渦巻く炎の中に閉じ込めた。熱に耐えかねたコブラは、力なく灰へと還った。","火焰风暴将剧毒长蛇困在了漩涡之中。无法忍受高温的眼镜蛇无力地化为了灰烬。","Пламенный шторм поймал в ловушку ядовитую змею. Не в силах вынести жару, кобра превратилась в пепел.","Una tormenta de llamas atrapó a la serpiente venenosa. Incapaz de soportar el calor, la cobra se convirtió en cenizas.","Uma tempestade de chamas prendeu a cobra venenosa. Incapaz de suportar o calor, a naja se transformou em cinzas.","Ein Flammensturm schloss die Giftschlange ein. Unfähig, die Hitze zu ertragen, verwandelte sich die Kobra in Asche.","화염의 폭풍이 맹독사를 가두었다. 열기를 견디지 못한 코브라는 재로 변했다."
"MSG_C_BURN_D_WIN","You unleashed ultimate fire that scorched even the dragon's scales. The giant fell to the solar heat.","ドラゴンの逆鱗ごと、全てを焼き払う究極の火を放った。伝説の巨躯も、太陽の熱の前には無力だった。","放出了连同逆鳞一并烧尽的究极之火。即便传说的巨体，在太阳的高温面前也显得苍白无力。","Вы высвободили высший огонь, который опалил даже чешую дракона. Гигант пал от солнечного жара.","Desataste un fuego definitivo que abrasó incluso las escamas del dragón. El gigante cayó ante el calor solar.","Você liberou o fogo supremo que chamuscou até as escamas do dragão. O gigante caiu sob o calor solar.","Du hast das ultimative Feuer entfesselt, das sogar die Schuppen des Drachen versengte. Der Riese erlag der Sonnenhitze.","용의 비늘마저 태워버리는 궁극의 불꽃을 내뿜었다. 전설의 거구도 태양의 열기 앞에서는 무력했다."
"MSG_C_BURN_E_WIN","The tree spirit became a massive torch. With a cry echoing through the forest its life vanished.","木の精霊は、自身の体そのものが巨大な松明と化した。森に響く叫びとともに、古き生命は灰に消えた。","树精的身体本身化作了巨大的火炬。随着响彻森林的哀鸣，古老的生命消失在灰烬中。","Лесной дух превратился в массивный факел. С криком, эхом разнесшимся по лесу, его жизнь исчезла.","El espíritu del árbol se convirtió en una antorcha masiva. Con un grito que resonó en el bosque, su vida se desvaneció.","O espírito da árvore tornou-se uma tocha enorme. Com um grito ecoando pela floresta, sua vida desapareceu.","Der Baumgeist wurde zu einer gewaltigen Fackel. Mit einem Schrei, der durch den Wald hallte, erlosch sein Leben.","나무 정령은 거대한 횃불이 되었다. 숲에 울려 퍼지는 비명과 함께 그 생명은 사라졌다."
"MSG_C_BURN_F_LOSS","You couldn't catch the swift fly with flames. Mocked by the heat you wiped your brow.","すばしっこいハエを炎で捉えることはできない。空しく上がる熱気に嘲笑われ、あなたは汗を拭った。","无法用火焰捕捉到敏捷的苍蝇。被徒劳升腾的热气所嘲笑，你抹去了额头的汗水。","Вы не смогли поймать быструю муху пламенем. Осмеянный жаром, вы вытерли пот со лба.","No pudiste atrapar a la veloz mosca con llamas. Burlado por el calor, te limpiaste el sudor de la frente.","Você não conseguiu pegar a mosca veloz com chamas. Zombado pelo calor, você limpou a testa.","Du konntest die flinke Fliege nicht mit Flammen fangen. Verspottet von der Hitze wischst du dir den Schweiß von der Stirn.","재빠른 파리를 불꽃으로 잡을 수 없었다. 허무하게 피어오르는 열기에 조롱당하며 이마의 땀을 닦았다."
"MSG_C_BURN_G_WIN","Purifying flames scorched the goblin's nest. Their vile laughs died in the crackling fire.","ゴブリンの住処ごと、浄化の炎で焼き尽くした。卑屈な笑い声は、パチパチと爆ぜる火の音に消えた。","用净化之火将哥布林的巢穴烧得精光。卑劣的笑声淹没在了木柴燃烧的劈啪声中。","Очищающее пламя опалило гнездо гоблинов. Их мерзкий смех затих в треске огня.","Llamas purificadoras abrasaron el nido del goblin. Sus viles risas murieron en el crepitar del fuego.","Chamas purificadoras chamuscaram o ninho do goblin. Seus risos vis morreram no crepitar do fogo.","Reinigende Flammen versengten das Nest des Goblins. Ihr böses Lachen erstarb im knisternden Feuer.","정화의 불꽃이 고블린의 둥지를 태웠다. 그들의 비열한 웃음소리는 타오르는 불꽃 소리에 사라졌다."
"MSG_C_BURN_H_WIN","A flame arrow shot through the harpy's wing. Burning she fell like an ominous meteor.","旋回するハーピーの羽を炎の矢が射抜いた。火を纏い墜ちる彼女の姿は、不吉な流星のようだった。","火箭射中了盘旋中哈皮的羽翼。缠绕火焰坠落的她，犹如一颗不祥的流星。","Огненная стрела пробила крыло гарпии. Сгорая, она упала, как зловещий метеор.","Una flecha de fuego atravesó el ala de la arpía. Ardiendo, cayó como un meteoro ominoso.","Uma flecha de fogo atravessou a asa da harpía. Ardendo, ela caiu como um meteoro sinistro.","Ein Flammenpfeil schoss durch den Flügel der Harpyie. Brennend fiel sie wie ein unheilvoller Meteor.","화염 화살이 하피의 날개를 꿰뚫었다. 불타며 추락하는 그녀의 모습은 불길한 유성 같았다."
"MSG_C_BURN_I_LOSS","To the imp from Hell fire was just a toy. Your magic dispersed in its hands.","魔界から来たインプにとって、火は使い慣れた玩具に過ぎなかった。炎を操る奴の手元で、あなたの魔法は霧散した。","对于来自魔界的小仙女来说，火不过是玩腻了的玩具。在它操纵火焰的手中，你的魔法烟消云散。","Для беса из ада огонь был просто игрушкой. Ваша магия рассеялась в его руках.","Para el imp del infierno, el fuego era solo un juguete. Tu magia se dispersó en sus manos.","Para o imp do Inferno, o fogo era apenas um brinquedo. Sua magia se dispersou em suas mãos.","Für den Imp aus der Hölle war Feuer nur ein Spielzeug. Deine Magie löste sich in seinen Händen auf.","지옥에서 온 임프에게 불은 장난감일 뿐이었다. 불을 다루는 녀석의 손에서 당신의 마법은 흩어졌다."
"MSG_C_BURN_J_LOSS","The jelly reflected the fire and steam filled the air. The monster seemed empowered by the heat.","ジェリーの水分が炎を跳ね返し、不快な蒸気が辺りを包んだ。熱を吸収した怪物は、さらなる活力を得たようだ。","果冻怪体内的水分弹开了火焰，不快的气息包围了四周。吸收了热能的怪物似乎变得更加活力。","Желе отразило огонь, и пар наполнил воздух. Монстр, казалось, набрался сил от жара.","La gelatina reflejó el fuego y el vapor llenó el aire. El monstruo parecía fortalecido por el calor.","A geleia refletiu o fogo e o vapor encheu o ar. O monstro parecia fortalecido pelo calor.","Das Gelee reflektierte das Feuer und Dampf füllte die Luft. Das Monster schien durch die Hitze gestärkt zu werden.","젤리가 불을 반사하고 수증기가 공기를 가득 채웠다. 괴물은 열기로 인해 더 활력을 얻은 듯했다."
