"keys","en","ja","zh","ru","es","pt","de","ko"
"MSG_C_OIL_A_WIN","The ant slipped and slid as a torrent of thick black oil covered the dry dirt. It struggled to move its legs, which were now stuck together in a sticky, dark mass. The tiny life was smothered by the deep-earth sludge.","乾いた土が大量の黒い重油に覆われ、アリは滑って転倒した。粘着性のある暗い塊の中で足が絡まり、魔物は必死に抗う。小さな命は、地底から湧き出した泥濘によって窒息させられたのである。","随着一股厚重的黑油覆盖了干燥的泥土，蚂蚁滑倒了。它挣扎着想移动双腿，但双腿现在被粘在一个粘稠的黑色团块中。这个微小的生命被深层地底的淤泥闷死了。","Муравей скользил и падал, когда поток густой черной нефти покрыл сухую землю. Он изо всех сил пытался пошевелить ногами, которые теперь слиплись в липкую темную массу. Крошечная жизнь была задушена глубинной грязью.","La hormiga resbaló y se deslizó mientras un torrente de espeso petróleo negro cubría la tierra seca. Luchó por mover sus patas, que ahora estaban pegadas en una masa oscura и pegajosa. La pequeña vida fue sofocada por el lodo de las profundidades de la tierra.","A formiga escorregou e deslizou enquanto uma torrente de óleo negro e espesso cobria a terra seca. Lutou para mover as suas patas, que estavam agora presas numa massa pegajosa e escura. A pequena vida foi sufocada pela lama das profundezas da terra.","Die Ameise rutschte und glitt aus, als ein Strom aus dickem schwarzem Öl den trockenen Boden bedeckte. Sie kämpfte darum, ihre Beine zu bewegen, die nun in einer klebrigen, dunklen Masse zusammenklebten. Das winzige Leben wurde von dem tiefen Erdschlamm erstickt.","메마른 흙 위로 걸쭉한 검은 기름이 쏟아지자 개미는 미끄러졌습니다. 끈적끈적한 어둠의 덩어리 속에 다리가 엉켜 필사적으로 발버둥 쳤지만, 작은 생명은 지하에서 솟구친 진흙에 질식하고 말았습니다."
"MSG_C_OIL_B_WIN","The bat's wings became heavy and sticky, preventing it from taking flight ever again. It crashed into the oily floor, its cries muffled by the thick, black liquid. The night flyer was grounded by the prehistoric sludge.","コウモリの翼は重く粘り気を帯び、二度と空へと舞い上がることは叶わなくなった。重油の溜まった床へと墜落し、厚い黒色の液体がその叫びをかき消す。夜の飛行者は、太古の泥濘によって地に伏したのである。","蝙蝠的双翼变得沉重且粘稠，阻止了它再次起飞。它撞向没过脚面的油腻地板，它的惨叫被厚厚的黑色液体打断了。黑夜飞行者被史前淤泥困在地上。","Крылья летучей мыши стали тяжелыми и липкими, не позволяя ей больше когда-либо взлететь. Она врезалась в маслянистый пол, ее крики были заглушены густой черной жидкостью. Ночной летун был приземлен доисторической грязью.","Las alas del murciélago se volvieron pesadas и pegajosas, impidiéndole volver a volar. Se estrelló contra el suelo aceitoso, sus gritos amortiguados por el espeso líquido negro. El volador nocturno fue derribado por el lodo prehistórico.","As asas do morcego tornaram-se pesadas e pegajosas, impedindo-o de voltar a voar. Caiu no chão oleoso, com os seus gritos abafados pelo líquido preto e espesso. O voador nocturno foi derrubado pela lama pré-histórica.","Die Flügel der Fledermaus wurden schwer und klebrig, was sie daran hinderte, jemals wieder zu fliegen. Sie stürzte auf den öligen Boden, ihre Schreie wurden von der dicken, schwarzen Flüssigkeit gedämpft. Der Nachtflieger wurde durch den prähistorischen Schlamm am Boden festgehalten.","박쥐의 날개는 무겁고 끈적끈적해져 다시는 날아오를 수 없게 되었습니다. 기름진 바닥으로 추락한 박쥐의 비명은 걸쭉한 검은 액체에 막혀 새어 나오지 못했습니다. 밤의 비행사는 태고의 진흙에 갇혀 땅에 주저앉았습니다."
"MSG_C_OIL_C_WIN","The cobra found itself sliding aimlessly across the slick floor, unable to get any traction for a strike. Its scales were coated in a dark sheen that made its every move clumsy and sluggish. The serpent was defeated by a lack of friction.","滑りやすい床の上で、コブラは目的もなく滑り続け、打ちかかろうにも足場を確保できなかった。鱗は黒い光沢に覆われ、あらゆる動作は不格好で緩慢なものとなる。蛇は、摩擦の消失という事態の前に敗北したのである。","眼镜蛇发现自己在光滑的地板上漫无目的地滑动，无法获得任何攻击所需的牵引力。它的鳞片上涂着一层黑色的光泽，使其没一个动作都显得笨拙而迟缓。蛇败于摩擦力的缺失。","Кобра бесцельно скользила по скользкому полу, не в силах зацепиться для броска. Ее чешуя покрылась темным блеском, что сделало каждое ее движение неуклюжим и вялым. Змея была побеждена отсутствием трения.","La cobra se encontró deslizándose sin rumbo por el suelo resbaladizo, incapaz de obtener tracción para un ataque. Sus escamas estaban cubiertas por un brillo oscuro que hacía que cada uno de sus movimientos fuera torpe и lento. La serpiente fue derrotada por la falta de fricción.","A naja viu-se a deslizar sem rumo pelo chão escorregadio, incapaz de obter qualquer tracção para um ataque. As suas escamas estavam cobertas por um brilho escuro que tornava todos os seus movimentos desajeitados e lentos. A serpente foi derrotada pela falta de fricção.","Die Kobra rutschte ziellos über den glatten Boden und war nicht in der Lage, Halt für einen Angriff zu finden. Ihre Schuppen waren mit einem dunklen Glanz überzogen, der jede ihrer Bewegungen tollpatschig und träge machte. Die Schlange wurde durch den Mangel an Reibung besiegt.","코브라는 미끄러운 바닥 위를 속수무책으로 떠돌며 공격을 위한 발판을 마련하지 못했습니다. 검은 광택이 감도는 기름이 비늘을 덮어 모든 동작이 둔하고 어설퍼졌습니다. 뱀은 마찰력의 상실 앞에 무너졌습니다."
"MSG_C_OIL_D_WIN","The dragon's massive wings were coated in an inflammable sludge that it didn't dare ignite. It felt its legendary agility slip away as the oil seeped into every scale and joint. The king of fire met a slippery, dark end.","ドラゴンの巨大な翼は、自らも点火をためらうような可燃性の泥濘に覆われた。鱗や関節の隙間に油が浸透し、伝説的な敏捷性が失われていくのを感じる。炎の王は、滑りやすく暗い最期を迎えたのである。","巨龙巨大的双翼涂满了一层它也不敢点燃的易燃淤泥。随着油渗入每一个鳞片和关节，它感到自己传奇般的敏捷性正在丧失。火焰之王遇到了一个湿滑、黑暗的终结。","Массивные крылья дракона были покрыты легковоспламеняющейся грязью, которую он не осмеливался зажечь. Он чувствовал, как его легендарная ловкость ускользает, когда масло просачивалось в каждую чешуйку и сустав. Король огня встретил скользкий темный конец.","Las enormes alas del dragón estaban cubiertas de un lodo inflamable que no se atrevía a encender. Sintió que su legendaria agilidad se desvanecía a medida que el petróleo se filtraba en cada escama и articulación. El rey del fuego encontró un final resbaladizo и oscuro.","As enormes asas do dragão estavam cobertas por uma lama inflamável que ele não se atrevia a inflamar. Sentiu a sua agilidade lendária desaparecer à medida que o óleo se infiltrava em cada escama e articulação. O rei do fogo encontrou um fim escorregadio e escuro.","Die gewaltigen Flügel des Drachen waren mit einem entflammbaren Schlamm überzogen, den er nicht zu entzünden wagte. Er spürte, wie seine legendäre Beweglichkeit schwand, als das Öl in jede Schuppe und jedes Gelenk sickerte. Der König des Feuers fand ein schlüpfriges, dunkles Ende.","드래곤의 거대한 날개는 스스로도 불붙이기를 주저할 만큼 가연성 높은 진흙에 뒤덮였습니다. 비늘과 관절 사이로 기름이 스며들며 전설적인 민첩함이 사라지는 것을 느꼈습니다. 화염의 왕은 미끄럽고 어두운 최후를 맞이했습니다."
"MSG_C_OIL_E_WIN","The ancient Ent's roots were soaked in the dark oil, which choked off its connection to the clean earth. Its leaves turned black as the toxic sludge was drawn up through its trunk. The wood spirit fell as a massive, oily monument.","古のエントの根は黒い油に浸され、清浄な大地との繋がりを断たれた。幹から毒に満ちた泥濘が吸い上げられ、魔物の木の葉は黒く染まっていく。森の精霊は、巨大で油まみれの碑として崩れ落ちたのだ。","古老树精的根部被黑油浸透，断绝了它与洁净土地的联系。随着有毒的淤泥通过树干被吸上来，它的叶子变黑了。森林之灵像一座巨大的、油腻的纪念碑一样倒下了。","Корни древнего Энта пропитались темным маслом, которое перекрыло его связь с чистой землей. Его листья почернели, когда токсичная грязь поднялась по стволу. Лесной дух пал как массивный маслянистый памятник.","Las raíces del antiguo Ent estaban empapadas en el petróleo oscuro, lo que cortó su conexión con la tierra limpia. Sus hojas se volvieron negras a medida que el lodo tóxico subía por su tronco. El espíritu del bosque cayó como un monumento enorme и aceitoso.","As raízes do antigo Ent foram encharcadas no óleo escuro, que cortou a sua ligação com a terra limpa. As suas folhas tornaram-se pretas à medida que a lama tóxica era sugada pelo seu tronco. O espírito da floresta caiu como um monumento maciço e oleoso.","Die Wurzeln des uralten Ents waren mit dem dunklen Öl getränkt, was seine Verbindung zur sauberen Erde unterbrach. Seine Blätter wurden schwarz, als der giftige Schlamm durch seinen Stamm hochgezogen wurde. Der Waldgeist fiel als gewaltiges, öliges Denkmal.","고대 엔트의 뿌리는 검은 기름에 잠겨 깨끗한 대지와의 연결이 끊어졌습니다. 독성 진흙이 줄기를 타고 올라가자 잎사귀들은 검게 변해갔습니다. 숲의 정령은 거대하고 기름진 비석처럼 쓰러졌습니다."
"MSG_C_OIL_F_WIN","The fly hit a surface tension of grease that held it fast against the dungeon wall. It buzzed in a low, muffled tone until the oil completely encased its tiny body. The pest was preserved in a dark, sticky amber.","ハエは脂の表面張力に捕らわれ、ダンジョンの壁に張り付けにされた。重油がその小さな肉体を完全に包み込むまで、魔物は低く籠もった羽音を立てる。害虫は、黒く粘着性のある琥珀の中に保存されたのである。","苍蝇撞上了油脂的表面张力，紧紧地贴在地牢的墙上。它发出低沈、含糊的嗡鸣声，直到油完全包裹了它微小的身体。这个害虫被保存在一团黑色粘稠的琥珀中。","Муха столкнулась с поверхностным натяжением жира, который прижал ее к стене подземелья. Она глухо жужжала, пока масло полностью не покрыло ее крошечное тело. Вредитель сохранился в темном липком янтаре.","La mosca golpeó una tensión superficial de grasa que la mantuvo sujeta contra la pared de la mazmorra. Zumbó en un tono bajo и sordo hasta que el petróleo envolvió completamente su diminuto cuerpo. La plaga quedó preservada en un ámbar oscuro и pegajoso.","A mosca atingiu uma tensão superficial de gordura que a manteve presa contra a parede da masmorra. Zumbiu num tom baixo e abafado até o óleo envolver completamente o seu minúsculo corpo. A praga foi preservada num âmbar escuro e pegajoso.","Die Fliege traf auf die Oberflächenspannung von Fett, die sie an der Kerkerwand festhielt. Sie summte in einem tiefen, gedämpften Ton, bis das Öl ihren winzigen Körper vollständig umschloss. Der Schädling wurde in einem dunklen, klebrigen Bernstein konserviert.","파리는 기름의 표면장력에 붙잡혀 던전 벽에 박제되었습니다. 기름이 그 작은 몸을 완전히 덮을 때까지 낮게 윙윙거리는 소리를 냈습니다. 해충은 검고 끈적끈적한 호박 속에 박제된 꼴이 되었습니다."
"MSG_C_OIL_G_WIN","The goblin slipped on a pool of black sludge and fell face-first into its own stolen loot. It tried to stand, but the oil made every surface impossible to grip. The thief's greed was smothered by the deep-earth grease.","重油の溜まり場で足を滑らせ、ゴブリンは自ら盗んだガラクタの中に顔から突っ込んだ。立ち上がろうとするが、油が全ての表面から掴みどころを奪っていく。泥棒の強欲さは、地底の脂によって窒息させられたのである。","哥布林在黑色的淤泥潭中滑倒，脸朝下栽进了自己偷来的战利品中。它试图站起来，但油使每一个表面都无法抓牢。这个小偷的贪婪被深层地底的油脂窒息了。","Гоблин поскользнулся в луже черной грязи и упал лицом в собственную награбленную добычу. Он пытался встать, но из-за масла за любую поверхность было невозможно ухватиться. Жадность вора была задушена глубинной смазкой.","El goblin resbaló en un charco de lodo negro и cayó de cara en su propio botín robado. Intentó ponerse de pie, pero el petróleo hizo que fuera imposible agarrarse a cualquier superficie. La codicia del ladrón fue sofocada por la grasa de las profundidades de la tierra.","O goblin escorregou numa poça de lama preta e caiu de cara no seu próprio saque roubado. Tentou levantar-se, mas o óleo tornou impossível agarrar qualquer superfície. A ganância do ladrão foi sufocada pela gordura das profundezas da terra.","Der Goblin rutschte in einer Pfütze aus schwarzem Schlamm aus und fiel mit dem Gesicht voran in seine eigene Diebesbeute. Er versuchte aufzustehen, aber das Öl machte es unmöglich, irgendeine Oberfläche zu greifen. Die Gier des Diebes wurde von dem tiefen Erdfett erstickt.","기름 웅덩이에서 미끄러진 고블린은 자신이 훔친 잡동사니 속으로 처박혔습니다. 다시 일어나려 했지만 기름 때문에 그 어떤 곳도 붙잡을 수 없었습니다. 도둑의 탐욕은 지하의 기름에 질식되었습니다."
"MSG_C_OIL_H_WIN","Vast clouds of oily mist coated the harpy's feathers, turning them from majestic to bedraggled. She shrieked as she lost air speed, eventually sliding down the stone walls into the dark. The sky queen was silenced by the sludge.","重油の霧がハーピーの羽を覆い、その威厳ある姿を無惨に汚した。失速した彼女は絶叫を上げ、やがて石壁を滑り落ちて闇の中へと消えていく。空の女王は、泥濘の前にその声を封じられたのである。","大片油雾涂满了哈皮的羽毛，使其从庄严变得落魄。由于丧失了空速，她尖叫着，最终顺着石墙滑入黑暗。天空女王被淤泥沈默了。","Огромные облака маслянистого тумана покрыли перья гарпии, превратив их из величественных в жалкие. Она вскрикнула, когда потеряла скорость в воздухе, и в конечном итоге соскользнула по каменным стенам в темноту. Королева неба была заставлена замолчать грязью.","Vastas nubes de niebla aceitosa cubrieron las plumas de la arpía, convirtiéndolas de majestuosas en desaliñadas. Gritó al perder velocidad en el aire, deslizándose finalmente por las paredes de piedra hacia la oscuridad. La reina del cielo fue silenciada por el lodo.","Vastas nuvens de névoa oleosa cobriram as penas da harpia, tornando-as de majestosas a desalinhadas. Gritou ao perder velocidade no ar, acabando por deslizar pelas paredes de pedra para a escuridão. A rainha do céu foi silenciada pela lama.","Riesige Wolken aus öligem Nebel bedeckten die Federn der Harpyie und machten sie von majestätisch zu zerzaust. Sie schrie auf, als sie an Fluggeschwindigkeit verlor, und rutschte schließlich die Steinwände hinunter in die Dunkelheit. Die Himmelskönigin wurde durch den Schlamm zum Schweigen gebracht.","거대한 기름 안개가 하피의 깃털을 뒤덮어 위엄 있던 모습을 처참하게 더럽혔습니다. 속력을 잃은 하피는 비명을 지르며 석벽을 타고 어둠 속으로 미끄러져 내려갔습니다. 하늘의 여왕은 진흙 앞에 그 목소리를 잃었습니다."
"MSG_C_OIL_I_WIN","The imp found its magical circles broken as the oil erased the symbols on the floor. It slipped in circles, its high-pitched laughter replaced by sputtering and coughs. The trickster was neutralized by the black tide.","床に描かれた印を油が消し去ったため、インプの魔法陣は霧散した。円を描くように滑り、甲高い笑い声は吐息と咳き込みへと変わった。悪戯っ子は、黒い潮によって無力化されたのである。","随着油抹去了地板上的符号，小恶魔发现自己的魔法圈被打破了。它一圈又一圈地打滑，尖锐的大笑变成了喷嚏和咳嗽。骗子被黑潮中和了。","Бес обнаружил, что его магические круги разрушены, так как масло стерло символы на полу. Он скользил по кругу, его пронзительный смех сменился пыхтением и кашлем. Обманщик был нейтрализован черным приливом.","El imp vio cómo sus círculos mágicos se rompían cuando el petróleo borró los símbolos del suelo. Se deslizó en círculos, su risa aguda fue reemplazada por balbuceos и tos. El bromista fue neutralizado por la marea negra.","O imp viu os seus círculos mágicos quebrados quando o óleo apagou os símbolos no chão. Escorregou em círculos, o seu riso agudo substituído por engasgos e tosses. O trapaceiro foi neutralizado pela maré negra.","Der Imp stellte fest, dass seine magischen Kreise unterbrochen waren, da das Öl die Symbole auf dem Boden gelöscht hatte. Er rutschte im Kreis, sein hohes Lachen wurde durch Prusten und Husten ersetzt. Der Trickster wurde von der schwarzen Flut neutralisiert.","바닥에 그려진 마법 문양이 기름에 지워지자 임프의 마법진이 흩어져버렸습니다. 제자리를 맴돌며 미끄러지는 임프의 웃음소리는 헛기침과 가쁜 숨소리로 바뀌었습니다. 장난꾸러기는 검은 파도에 무력화되었습니다."
"MSG_C_OIL_J_LOSS","The jelly absorbed the thick oil and used it to increase its own viscosity. It became a heavy, unstoppable tide of black sludge that slowly engulfed you, its acidic mass now reinforced by the deep-earth minerals.","ジェリーは厚い重油を肉体に取り込み、自らの粘性をさらに高めるための素材として利用した。怪物は阻止不能な黒い泥濘の波と化してあなたを飲み込み、その酸性の質量は地底の鉱物によってより致命的なものへと強化された。","果冻怪将厚重的石油吸收进体内，并将其作为进一步增加自身粘性的材料。怪物化作一股无法阻挡的黑色淤泥浪潮将其吞噬，其酸性质量也因地底矿物质而变得更加致命。","Желе впитало густое масло и использовало его для увеличения собственной вязкости. Оно превратилось в тяжелый неудержимый поток черной грязи, который медленно поглотил вас, а его кислотная масса теперь была усилена глубинными минералами.","La gelatina absorbió el espeso petróleo и lo utilizó para aumentar su propia viscosidad. Se convirtió en una marea pesada и imparable de lodo negro que te envolvió lentamente, su masa ácida ahora reforzada por los minerales de las profundidades de la tierra.","A geleia absorveu o óleo espesso e utilizou-o para aumentar a sua própria viscosidade. Tornou-se uma maré pesada e imparável de lama negra que o envolveu lentamente, a sua massa ácida agora reforçada pelos minerais das profundezas da terra.","Das Gelee absorbierte das dicke Öl und nutzte es, um seine eigene Viskosität zu erhöhen. Es wurde zu einer schweren, unaufhaltsamen Flut aus schwarzem Schlamm, die dich langsam verschlang, wobei seine säurehaltige Masse nun durch die tiefen Erdmineralien verstärkt wurde.","젤리는 걸쭉한 기름을 흡수해 자신의 점성을 높이는 재료로 삼았습니다. 괴물은 멈출 수 없는 검은 진흙 파도가 되어 당신을 집어삼켰고, 그 산성 질량은 지하 광물들과 결합하여 더욱 치명적으로 변했습니다."
