"keys","en","ja","zh","ru","es","pt","de","ko"
"MSG_C_INTIMIDATE_A_WIN","You mimicked the sounds of a giant anteater. The ant colony panicked and retreated in chaos.","アリの天敵である巨大な捕食者の鳴き声を模倣し、群れの恐怖を煽った。規律正しかった虫たちはパニックに陥り、散り散りに逃げ出した。","你模仿蚂蚁天敌——巨大掠食者的叫声，煽动了蚁群的恐惧。原本纪律严明的昆虫们陷入了恐慌，四散奔逃。","Вы имитировали звуки гигантского муравьеда. Колония муравьев запаниковала и в хаосе отступила.","Imitaste los sonidos de un oso hormiguero gigante. La colonia de hormigas entró en pánico y se retiró en el caos.","Você imitou os sons de um tamanduá-bandeira. A colônia de formigas entrou em pânico e recuou em caos.","Du hast die Geräusche eines Riesenameisenbären nachgeahmt. Die Ameisenkolonie geriet in Panik und zog sich im Chaos zurück.","당신은 거대 개미핥기의 소리를 흉내 냈습니다. 개미 군집은 패닉에 빠져 혼란 속에서 퇴각했습니다."
"MSG_C_INTIMIDATE_B_WIN","You emitted a high-frequency roar that shook the bat. Terrified it lost flight and fled.","コウモリの感覚を揺さぶる強烈な咆哮を放ち、その精神を圧倒した。恐怖に震える魔物はバランスを崩し、闇へと這い逃げていった。","你发出了动摇蝙蝠感官的强烈咆哮，压倒了它的精神。因恐惧而颤抖的魔物失去了平衡，爬向黑暗逃走了。","Вы издали высокочастотный рев, который потряс летучую мышь. Напуганная, она потеряла управление полетом и скрылась.","Emitiste un rugido de alta frecuencia que sacudió al murciélago. Aterrorizado, perdió el vuelo y huyó.","Você emitiu um rugido de alta frequência que sacudiu o morcego. Apavorado, ele perdeu o voo e fugiu.","Du hast ein hochfrequentes Gebrüll ausgestoßen, das die Fledermaus erschütterte. Verängstigt verlor sie den Flug und floh.","당신은 박쥐를 뒤흔드는 고주파 포효를 내뱉었습니다. 겁에 질린 박쥐는 비행 중심을 잃고 도망쳤습니다."
"MSG_C_INTIMIDATE_C_WIN","You projected an aura of predator superiority. The cobra coiled back in fear and fled.","自らの中に眠る闘争本能を剥き出しにし、圧倒的な威圧感を放った。毒蛇はその覇気に気圧され、戦うことなく森へ消えた。","你展露了沉眠于体内的斗争本能，散发出压倒性的威慑感。毒蛇在那份霸气面前败下阵来，尚未战斗便消失在了森林里。","Вы проецировали ауру превосходства хищника. Кобра сжалась от страха и убежала.","Proyectaste un aura de superioridad depredadora. La cobra se replegó de miedo y huyó.","Você projetou uma aura de superioridade de predador. A cobra se encolheu de medo e fugiu.","Du hast eine Aura der Überlegenheit eines Raubtiers ausgestrahlt. Die Kobra wich verängstigt zurück und floh.","당신은 포식자의 우월한 기운을 내뿜었습니다. 코브라는 겁에 질려 몸을 웅크리고 도망쳤습니다."
"MSG_C_INTIMIDATE_D_WIN","You stood firm against the dragon's presence. Respecting your steel will it left you alone.","伝説の怪物を前にしても微塵も揺らがぬ不屈の意志を、剣の切っ先に込めた。巨竜はあなたの魂の輝きを認め、静かに首を振って去った。","即使在传说的怪物面前，你的剑尖也饱含着不曾动摇分毫的不屈意志。巨龙认可了你灵魂的光辉，静静地摇头离去。","Вы твердо стояли перед лицом дракона. Уважая вашу стальную волю, он оставил вас в покое.","Te mantuviste firme ante la presencia del dragón. Respetando tu voluntad de acero, te dejó en paz.","Você se manteve firme contra a presença do dragão. Respeitando sua vontade de aço, ele o deixou em paz.","Du bist der Präsenz des Drachen standhaft begegnet. Da er deinen stählernen Willen respektierte, ließ er dich in Ruhe.","당신은 용의 위압감에 맞서 굳건히 섰습니다. 당신의 강철 같은 의지를 존중한 용은 당신을 내버려 두고 떠났습니다."
"MSG_C_INTIMIDATE_E_WIN","You showed the tree spirit the power of destructive fire. The ancient guardian yielded to stay alive.","古き精霊に対し、森を焼き尽くす「破壊の象徴」としての決意を示した。木の守護者はあなたの内に秘めた猛火を恐れ、枝を畳んで道を開けた。","你向古老的精灵展示了作为烧尽森林的“破坏象征”的决心。树精由于畏惧你内心潜藏的猛火，收起枝条让开了道路。","Вы показали лесному духу силу разрушительного огня. Древний страж уступил, чтобы остаться в живых.","Le mostraste al espíritu del árbol el poder del fuego destructivo. El antiguo guardián cedió para seguir con vida.","Você mostrou ao espírito da árvore o poder do fogo destrutivo. O antigo guardião cedeu para permanecer vivo.","Du hast dem Baumgeist die Macht des zerstörerischen Feuers gezeigt. Der uralte Wächter gab nach, um am Leben zu bleiben.","당신은 나무 정령에게 파괴적인 불꽃의 힘을 보여주었습니다. 고대의 수호자는 살아남기 위해 굴복했습니다."
"MSG_C_INTIMIDATE_F_WIN","You swatted the air with enough force to create a vacuum. The fly fled for its tiny life.","真空を作り出すほどの凄まじい風圧で、ハエの逃げ道を完全に塞いだ。小さな羽音は死の予感に震え、一目散にその場から逃走した。","你以足以产生真空间的惊人风压制，彻底封锁了苍蝇的退路。微小的翅鸣声因死亡预感而颤抖，头也不回地逃离了现场。","Вы ударили по воздуху с такой силой, что создали вакуум. Муха улетела, спасая свою крошечную жизнь.","Golpeaste el aire con tanta fuerza que creaste un vacío. La mosca huyó para salvar su diminuta vida.","Você golpeou o ar com força suficiente para criar um vácuo. A mosca fugiu para salvar sua vida minúscula.","Du hast mit so viel Kraft in die Luft geschlagen, dass ein Vakuum entstand. Die Fliege floh um ihr winziges Leben.","당신은 진공이 생길 정도의 힘으로 공기를 내리쳤습니다. 파리는 작은 목숨을 부지하기 위해 도망쳤습니다."
"MSG_C_INTIMIDATE_G_WIN","You stared down the goblin with the cold eyes of a killer. It dropped its weapon and ran away.","一寸の迷いもない処刑人の瞳で、ゴブリンの卑屈な精神を射抜いた。魔物は恐怖のあまり武器を投げ出し、情けない悲鳴を上げて逃げた。","你用毫不迟疑的处刑人之瞳，刺穿了哥布林卑下的精神。魔物因极度恐惧扔下了武器，发出难听的惨叫逃走了。","Вы посмотрели на гоблина холодными глазами убийцы. Он уронил оружие и убежал.","Miraste al duende con los ojos fríos de un asesino. Soltó su arma и salió corriendo.","Você encarou o goblin com os olhos frios de um assassino. Ele deixou cair a arma e fugiu.","Du hast den Goblin mit den kalten Augen eines Killers niedergestarrt. Er ließ seine Waffe fallen und rannte weg.","당신은 살인마의 차가운 눈빛으로 고블린을 노려보았습니다. 고블린은 무기를 떨어뜨리고 도망쳤습니다."
"MSG_C_INTIMIDATE_H_LOSS","The harpy shrieked back louder and dove. Your threats only fueled her hunting instinct.","あなたの威嚇をハーピーは激しい叫びで返し、さらに速度を上げて降下した。空の女王にとって、あなたの強気はただの「新鮮な刺激」でしかなかった。","哈皮以剧烈的尖嚎回敬了你的威吓，并以更快的速度降下。对于天之女王来说，你的强势不过是“新鲜的刺激”。","Гарпия закричала в ответ еще громче и спикировала. Ваши угрозы только разожгли ее охотничий инстинкт.","La arpía gritó más fuerte и se lanzó. Tus amenazas solo alimentaron su instinto de caza.","A harpia gritou de volta ainda mais alto e mergulhou. Suas ameaças apenas alimentaram o instinto de caça dela.","Die Harpyie schrie noch lauter zurück und stürzte herab. Deine Drohungen stachelten ihren Jagdinstinkt nur noch mehr an.","하피는 더 크게 비명을 지르며 달려들었습니다. 당신의 위협은 그녀의 사냥 본능을 자극했을 뿐입니다."
"MSG_C_INTIMIDATE_I_LOSS","The imp found your serious threats hilarious. It danced around mockingly giggling at you.","インプはあなたの威嚇を最高に面白い「見世物」として受け取った。小悪魔はあなたの怒りを嘲笑うように、奇怪なステップで空中を舞う。","小恶魔将你的威吓视作最有趣的“表演”。它仿佛在嘲笑你的愤怒，踏着奇怪的舞步在空中飞舞。","Бес нашел ваши серьезные угрозы забавными. Он танцевал вокруг, насмешливо хихикая над вами.","El imp encontró tus serias amenazas hilarantes. Bailó burlonamente burlándose de ti.","O imp achou suas ameaças sérias hilárias. Ele dançou ao redor zombando de você.","Der Imp fand deine ernsthaften Drohungen urkomisch. Er tanzte spöttisch um dich herum und kicherte über dich.","임프는 당신의 진지한 위협을 아주 우습게 여겼습니다. 임프는 당신을 비웃으며 주위를 춤추듯 돌아다녔습니다."
"MSG_C_INTIMIDATE_J_WIN","You stomped the ground creating a shockwave. The jelly dispersed in fear and fled.","大地を揺らす力強い踏み込みで、凄まじい振動波をジェリーに浴びせた。怪物の肉体は恐怖の共鳴に耐えきれず、散り散りになって逃げ去った。","你以撼动大地的强力践踏，令果冻怪沐浴在惊人的振动波中。怪物的肉体无法承受恐惧的共鸣，四散奔逃。","Вы топнули по земле, создав ударную волну. Желе рассеялось в страхе и убежало.","Pisoteaste el suelo creando una onda de choque. La gelatina se dispersó por miedo и huyó.","Você pisou no chão criando uma onda de choque. A gelatina dispersou-se de medo e fugiu.","Du hast auf den Boden gestampft und eine Schockwelle erzeugt. Das Gelee zerstreute sich vor Angst und floh.","당신이 발을 구르자 충격파가 발생했습니다. 젤리는 겁에 질려 흩어져 도망쳤습니다."
