"keys","en","ja","zh","ru","es","pt","de","ko"
"MSG_C_CURSE_A_WIN","Dark words cursed the ants into infighting. Losing all reason the pack collapsed.","闇の呪言がアリの精神を汚染し、仲間同士で争わせた。理性を失った群れは、自ら崩壊していった。","黑暗呪言污染了蚂蚁的精神，令其自相残杀。失去理性的蚁群就这样自我崩解。","Темные слова прокляли муравьев, заставив их драться между собой. Потеряв всякий разум, стая распалась.","Palabras oscuras maldijeron a las hormigas provocando luchas internas. Al perder toda razón, la manada colapsó.","Palavras sombrias amaldiçoaram as formigas, levando-as a lutas internas. Perdendo toda a razão, o bando entrou em colapso.","Dunkle Worte verfluchten die Ameisen zu internen Kämpfen. Da sie jegliche Vernunft verloren hatten, brach das Rudel zusammen.","어둠의 주언이 개미의 정신을 오염시켜 동족상잔을 유도했다. 이성을 잃은 무리는 스스로 붕괴되어 갔다."
"MSG_C_CURSE_B_WIN","A curse warped the bat's sense of direction. It crashed into walls until its life faded.","魔法の呪いがコウモリの方向感覚を狂わせた。壁に激突し続ける魔物は、やがて力尽き地に堕ちた。","魔法诅咒扰乱了蝙蝠的方向感。不断撞墙的魔物最终耗尽力气，坠落在地。","Проклятие исказило чувство направления летучей мыши. Она врезалась в стены, пока ее жизнь не угасла.","Una maldición distorsionó el sentido de la dirección del murciélago. Chocó contra las paredes hasta que su vida se desvaneció.","Uma maldição distorceu o sentido de direção do morcego. Ele colidiu contra as paredes até que a sua vida se desvaneceu.","Ein Fluch verzerrte den Orientierungssinn der Fledermaus. Sie prallte gegen Wände, bis ihr Leben erlosch.","마법의 저주가 박쥐의 방향 감각을 뒤틀었다. 벽에 계속 부딪히던 괴물은 결국 힘이 다해 땅으로 떨어졌다."
"MSG_C_CURSE_C_LOSS","The cobra held its own taboo power and repelled your curse. Its enraged fangs closed in.","毒蛇は自らも禁忌の力を宿しており、あなたの呪いを容易に弾き返した。激昂したコブラの牙が迫る。","毒蛇自身也孕育着禁忌之力，轻易弹回了你的诅咒。激怒的眼镜蛇长牙正向你逼近。","Кобра обладала собственной силой табу и отразила ваше проклятие. Ее разъяренные клыки приблизились.","La cobra poseía su propio poder tabú y repelió tu maldición. Sus colmillos enfurecidos se acercaron.","A naja possuía o seu próprio poder tabu e repeliu a sua maldição. As suas presas enfurecidas aproximaram-se.","Die Kobra besaß ihre eigene Tabu-Kraft und wehrte deinen Fluch ab. Ihre wütenden Reißzähne kamen näher.","코브라는 스스로도 금기의 힘을 품고 있어 당신의 저주를 쉽게 튕겨냈다. 격앙된 코브라의 송곳니가 다가온다."
"MSG_C_CURSE_D_WIN","An ancient curse ate the dragon's life from within. The legend died crushed by its own power.","古の禁呪が巨竜の不滅の生命力を内側から侵食した。伝説の怪物は、自身の力に耐えきれず絶命した。","古老的禁呪从内部侵蚀了巨龙不灭的生命力。传说的怪物因无法承受自身的力量而毙命。","Древнее проклятие пожирало жизнь дракона изнутри. Легенда погибла, раздавленная собственной мощью.","Una antigua maldición devoró la vida del dragón desde dentro. La leyenda murió aplastada por su propio poder.","Uma antiga maldição devorou a vida do dragão por dentro. A lenda morreu esmagada pelo seu próprio poder.","Ein uralter Fluch fraß das Leben des Drachen von innen heraus auf. Die Legende starb, zermalmt von ihrer eigenen Macht.","고대의 금주가 드래곤의 불멸의 생명력을 내부에서 침식했다. 전설의 괴물은 자신의 힘을 견디지 못하고 절명했다."
"MSG_C_CURSE_E_LOSS","The wood spirit was the forest's avatar immune to foul curses. You despaired at its holy rage.","木の精霊は森そのものの化身であり、不浄な呪いなど寄せ付けない。聖なる怒りに触れ、あなたは絶望した。","树精是森林本身的化身，不净的诅咒根本无法靠近。触及其神圣之怒，你陷入了绝望。","Лесной дух был аватаром леса, невосприимчивым к скверным проклятиям. Вы впали в отчаяние от его святой ярости.","El espíritu del bosque era el avatar del bosque, inmune a las maldiciones inmundas. Desesperaste ante su ira sagrada.","O espírito da madeira era o avatar da floresta, imune a maldições imundas. Desesperaste perante a sua fúria sagrada.","Der Waldgeist war der Avatar des Waldes und immun gegen üble Flüche. Du verzweifeltest an seinem heiligen Zorn.","나무 정령은 숲 그 자체의 화신이며 부정한 저주 따위는 통하지 않는다. 신성한 분노에 닿아 당신은 절망했다."
"MSG_C_CURSE_F_LOSS","You couldn't curse a mere fly. Your mana spun in vain against such a small existence.","吹けば飛ぶようなハエに呪いをかけることはできない。あまりにちっぽけな存在に、あなたの魔力は空転した。","无法对弱不禁风的苍蝇施加诅咒。面对如此微小的存在，你的魔力只是在空写。","Вы не смогли проклясть обычную муху. Ваша мана крутилась впустую против такого ничтожного существа.","No pudiste maldecir a una simple mosca. Tu maná giró en vano contra una existencia tan pequeña.","Não conseguiste amaldiçoar uma simples mosca. A tua mana girou em vão contra uma existência tão pequena.","Du konntest eine bloße Fliege nicht verfluchen. Dein Mana drehte sich vergeblich gegen eine so kleine Existenz.","미천한 파리에게 저주를 걸 수는 없다. 너무나 보잘것없는 존재 앞에 당신의 마력은 헛돌 뿐이었다."
"MSG_C_CURSE_G_WIN","You painted over the goblin's evil with darker curses. Its soul shook in terror as it died.","ゴブリンの邪悪な精神を、さらに深い闇の呪いで塗りつぶした。奴の魂は恐怖に震え、その場で息絶えた。","用更深沉的黑暗诅咒抹杀了哥布林邪恶的精神。它的灵魂在恐惧中颤抖，当场断气。","Вы закрасили зло гоблина еще более темными проклятиями. Его душа дрожала в ужасе, когда он умирал.","Pintaste sobre la maldad del goblin con maldiciones más oscuras. Su alma tembló de terror mientras moría.","Pintaste sobre a maldade do goblin com maldições mais escuras. A sua alma tremeu de terror enquanto morria.","Du hast das Böse des Goblins mit dunkleren Flüchen übermalt. Seine Seele zitterte vor Schreck, als er starb.","고블린의 사악한 정신을 더욱 깊은 어둠의 저주로 덮어버렸다. 녀석의 영혼은 공포에 떨며 그 자리에서 숨을 거두었다."
"MSG_C_CURSE_H_LOSS","The harpy's pure madness rejected all outside curses. With a single cry she attacked.","ハーピーの純粋な狂気が、外からの呪いを受け入れない。叫び声一つで呪言をかき消し、彼女は襲いかかる。","哈皮纯粹的疯狂拒接一切外来诅咒。仅凭一声尖叫就盖过了呪言，她随后发起了进攻。","Чистое безумие гарпии отвергало все внешние проклятия. С одним криком она атаковала.","La pura locura de la arpía rechazó todas las maldiciones externas. Con un solo grito, ella atacó.","A pura loucura da harpía rejeitou todas as maldições externas. Com um único grito, ela atacou.","Der pure Wahnsinn der Harpyie wies alle äußeren Flüche zurück. Mit einem einzigen Schrei griff sie an.","하피의 순수한 광기가 외부의 저주를 거부한다. 비명 소리 한 번으로 주언을 지워버리고 그녀는 습격해 왔다."
"MSG_C_CURSE_I_LOSS","To the imp curses were just daily bread. With a fearless grin it swallowed your magic.","魔界の住人であるインプにとって、呪いは日常の糧に過ぎなかった。不敵な笑みとともに、奴はそれを飲み込んだ。","对于身为魔界居民的小仙女来说，诅咒不过是家常便饭。带着不羁的笑脸，它将其吞入腹由。","Для беса проклятия были просто насущным хлебом. С бесстрашной ухмылкой он проглотил вашу магию.","Para el imp, las maldiciones eran solo el pan de cada día. Con una sonrisa intrépida, se tragó tu magia.","Para o imp, as maldições eram apenas o pão de cada dia. Com um sorriso destemido, ele engoliu a tua magia.","Für den Imp waren Flüche nur das tägliche Brot. Mit einem furchtlosen Grinsen schluckte er deine Magie.","마계의 주민인 임프에게 저주는 일상의 양식에 불과했다. 불패의 미소와 함께 녀석은 그것을 집어삼켰다."
"MSG_C_CURSE_J_WIN","You soaked the jelly with deathly curses. The shapeless mucus turned into a foul purple pool.","ジェリーの無機質な肉体に死の呪いを染み込ませた。形を保てなくなった粘液は、不気味な紫色の沼へと化した。","让死亡詛咒渗入了果冻怪无机的肉体。无法维持现状的粘液化作了诡异的紫色沼泽。","Вы пропитаны желе смертельными проклятиями. Бесформенная слизь превратилась в мерзкую фиолетовую лужу.","Empapaste la gelatina con maldiciones mortales. El moco informe se convirtió en un asqueroso charco púrpura.","Encharcaste a geleia com maldições mortais. O muco sem forma transformou-se num imundo poço roxo.","Du hast das Gelee mit tödlichen Flüchen getränkt. Der formlose Schleim verwandelte sich in einen üblen lila Pfuhl.","젤리의 무기질적인 육체에 죽음의 저주를 스며들게 했다. 형태를 유지할 수 없게 된 점액은 불쾌한 보라색 늪으로 변했다."
