"keys","en","ja","zh","ru","es","pt","de","ko"
"MSG_C_PUNCH_A_WIN","You crushed the ant's hard exoskeleton with your fist. It fell to the ground and ceased to move.","アリの硬い外骨格を拳で粉砕した。地面に這いつくばったまま動かなくなった。","你的拳头粉碎了蚂蚁坚硬的外骨骼。它趴在地上再也一动不动了。","Вы раздавили твердый экзоскелет муравья кулаком. Он упал на землю и перестал двигаться.","Aplastaste el duro exoesqueleto de la hormiga con tu puño. Cayó al suelo y dejó de moverse.","Você esmagou o exoesqueleto duro da formiga com seu punho. Ela caiu no chão e parou de se mover.","Du hast das harte Exoskelett der Ameise mit deiner Faust zertrümmert. Sie fiel zu Boden und bewegte sich nicht mehr.","주먹으로 개미의 단단한 외골격을 박살냈습니다. 개미는 바닥에 쓰러져 움직임을 멈췄습니다."
"MSG_C_PUNCH_B_WIN","You accurately struck the flying bat out of the air. It slammed into the wall with a dull thud.","宙を舞うコウモリを的確に叩き落とした。鈍い音とともに壁に激突した。","你精准地击落了盘旋在空中的蝙蝠。随着沉闷的声响，它狠狠撞在了墙上。","Вы точно сбили летящую летучую мышь в воздухе. Она врезалась в стену с глухим стуком.","Golpeaste con precisión al murciélago en el aire. Se estrelló contra la pared con un golpe sordo.","Você atingiu com precisão o morcego voador no ar. Ele bateu na parede com um baque surdo.","Du hast die fliegende Fledermaus präzise aus der Luft geschlagen. Sie prallte mit einem dumpfen Schlag gegen die Wand.","공중에 날아다니는 박쥐를 정확하게 내리쳤습니다. 박쥐는 둔탁한 소리와 함께 벽에 부딪혔습니다."
"MSG_C_PUNCH_C_WIN","You powerfully struck the cobra as it reared its head. The fight was over before its fangs could reach you.","鎌首をもたげるコブラの頭部を力強く殴りつけた。毒牙が届く前に勝負は決した。","你有力地击中了正欲昂首攻击的眼镜蛇头部。在毒牙触及你之前，胜负已分。","Вы сильно ударили кобру, когда она подняла голову. Бой закончился до того, как ее клыки смогли дотянуться до вас.","Golpeaste con fuerza a la cobra cuando levantó la cabeza. La pelea terminó antes de que sus colmillos pudieran alcanzarte.","Você golpeou poderosamente a naja quando ela levantou a cabeça. A luta acabou antes que as presas pudessem te alcançar.","Du hast die Kobra kraftvoll geschlagen, als sie ihren Kopf hob. Der Kampf war vorbei, bevor ihre Giftzähne dich erreichen konnten.","머리를 치켜든 코브라를 강력하게 가격했습니다. 독니가 닿기도 전에 승부가 났습니다."
"MSG_C_PUNCH_D_WIN","You landed a full-force blow on the dragon's snout. Even its massive body couldn't withstand the impact.","巨大なドラゴンの鼻先に渾身の一撃を叩き込んだ。流石の巨躯もたまらず崩れ落ちた。","你使出浑身解数，一拳轰在巨龙的鼻尖。即便强如巨龙也承受不住，轰然倒地。","Вы нанесли удар в полную силу по морде дракона. Даже его массивное тело не выдержало удара.","Lanzaste un golpe con todas tus fuerzas al hocico del dragón. Incluso su enorme cuerpo no pudo resistir el impacto.","Você desferiu um golpe com toda a força no focinho do dragão. Mesmo seu corpo enorme não resistiu ao impacto.","Du hast dem Drachen einen Schlag mit voller Kraft auf die Schnauze versetzt. Selbst sein massiger Körper konnte dem Aufprall nicht standhalten.","거대한 드래곤의 콧등에 혼신의 일격을 날렸습니다. 그 거구조차 충격을 견디지 못하고 쓰러졌습니다."
"MSG_C_PUNCH_E_WIN","Your powerful fist snapped the spirit's wooden trunk. The silence of the forest returned once more.","木の精霊の硬い幹を拳の力でへし折った。森の静寂が再び戻ってきた。","你的拳劲折断了树精坚硬的躯干。森林的宁静再次降临。","Ваш мощный кулак сломал деревянный ствол духа. В лес снова вернулась тишина.","Tu poderoso puño rompió el tronco de madera del espíritu. El silencio del bosque regresó una vez más.","Seu punho poderoso quebrou o tronco de madeira do espírito. O silêncio da floresta retornou mais uma vez.","Deine mächtige Faust ließ den hölzernen Stamm des Geistes zerbrechen. Die Stille des Waldes kehrte zurück.","당신의 강력한 주먹이 정령의 나무 줄기를 부러뜨렸습니다. 숲에 다시 정적이 찾아왔습니다."
"MSG_C_PUNCH_F_WIN","You swatted the annoying fly out of the air in one blow. Its small buzzing will never be heard again.","目障りなハエを空中で一撃の下に仕留めた。小さな羽音は二度と聞こえない。","你在空中一拳解决了那只碍眼的苍蝇。再也听不到那细微的嗡鸣声了。","Вы прихлопнули надоедливую муху одним ударом. Ее тихое жужжание больше никогда не будет слышно.","Aplastaste a la molesta mosca de un solo golpe. Su pequeño zumbido no se volverá a escuchar nunca más.","Você esmagou a mosca irritante com um só golpe. Seu pequeno zumbido nunca mais será ouvido.","Du hast die nervige Fliege mit einem Schlag aus der Luft geholt. Ihr leises Summen wird nie wieder zu hören sein.","거슬리는 파리를 단 한 번의 휘두름으로 잡았습니다. 작은 날갯짓 소리는 이제 들리지 않습니다."
"MSG_C_PUNCH_G_WIN","You struck the goblin's jaw cleanly knocking it unconscious. Its cowardly grin vanished instantly.","ゴブリンの顎を的確に打ち抜き、意識を刈り取った。卑屈な笑みは消え去った。","你精准地击中了哥布林的下颚，令其失去意识。那猥琐的笑脸也随之消失。","Вы чисто ударили гоблина в челюсть, отправив его в нокаут. Его трусливая ухмылка мгновенно исчезла.","Golpeaste la mandíbula del duende dejándolo inconsciente. Su sonrisa cobarde desapareció instantáneamente.","Você golpeou a mandíbula do goblin, deixando-o inconsciente. Seu sorriso covarde desapareceu instantaneamente.","Du hast dem Goblin sauber gegen den Kiefer geschlagen und ihn bewusstlos gemacht. Sein feiges Grinsen verschwand sofort.","고블린의 턱을 정확히 가격해 기절시켰습니다. 비굴한 웃음이 순식간에 사라졌습니다."
"MSG_C_PUNCH_H_WIN","You dodged the harpy's sharp claws and landed a deep blow to her belly. She fell powerless to the earth.","ハーピーの鋭い爪を掻い潜り、腹部に深手を負わせた。彼女は力なく地上へ墜落した。","你躲过哈皮锐利的爪子，重创了她的腹部。她无力地坠落到了地面。","Вы уклонились от острых когтей гарпии и нанесли глубокий удар ей в живот. Она бессильно упала на землю.","Esquivaste las garras afiladas de la arpía y le diste un golpe profundo en el vientre. Cayó sin fuerzas a la tierra.","Você se esquivou das garras afiadas da harpia e desferiu um golpe profundo em sua barriga. Ela caiu sem forças na terra.","Du bist den scharfen Krallen der Harpie ausgewichen und hast ihr einen tiefen Schlag in den Bauch versetzt. Sie fiel kraftlos zu Boden.","하피의 날카로운 발톱을 피하고 복부에 깊은 타격을 입혔습니다. 그녀는 무력하게 땅으로 추락했습니다."
"MSG_C_PUNCH_I_WIN","You slammed the arrogant imp into the floor with sheer strength. The demon's whispers were cut short.","小生意気なインプを力任せに床へと叩きつけた。悪魔のささやきは断ち切られた。","你凭借蛮力将那只傲慢的小恶魔摔 en 地上。恶魔的低语戛然而止。","Вы с силой швырнули высокомерного импа на пол. Шепот демона оборвался.","Estrellaste al arrogante imp contra el suelo con pura fuerza. Los susurros del demonio se cortaron en seco.","Você jogou o imp arrogante no chão com pura força. Os sussurros do demônio foram interrompidos.","Du hast den arroganten Imp mit bloßer Kraft auf den Boden geschmettert. Das Flüstern des Dämons verstummte jäh.","건방진 임프를 힘으로 바닥에 메쳤습니다. 악마의 속삭임이 끊겼습니다."
"MSG_C_PUNCH_J_WIN","Your punch pierced the jelly's core with surgical precision. Its gelatinous form dissolved into nothing.","ジェリーの核を正確に貫く一拳を放った。スライム状の肉体は形を保てず霧散した。","你那一拳精确地贯穿了果冻怪的核心。它那胶状的躯体再也无法维持形状，散作一团。","Ваш удар пробил ядро желе с хирургической точностью. Его студенистая форма растворилась в ничто.","Tu puñetazo atravesó el núcleo de la gelatina con precisión quirúrgica. Su forma gelatinosa se disolvió en nada.","Seu soco perfurou o núcleo da geleia com precisão cirúrgica. Sua forma gelatinosa se dissolveu em nada.","Dein Schlag durchbohrte den Kern des Gelees mit chirurgischer Präzision. Seine gallertartige Form löste sich in Nichts auf.","당신의 주먹이 젤리의 핵을 정확히 꿰뚫었습니다. 젤리 형태의 몸은 형체를 유지하지 못하고 흩어졌습니다."
