"keys","en","ja","zh","ru","es","pt","de","ko"
"MSG_C_TRAP_A_WIN","Magic traps entangled the ant pack. Trapped the insects fell into a panic and self-destructed.","足元に仕掛けられた魔法の罠がアリの群れを絡め取った。逃げ場を失った虫たちは、パニックに陥り自滅した。","布在脚下的魔法陷阱缠住了蚁群。失去退路的昆虫们陷入恐慌，最终自取灭亡。","Магические ловушки запутали муравьиную стаю. Попав в ловушку, насекомые впали в панику и самоликвидировались.","Trampas mágicas enredaron a la manada de hormigas. Atrapados, los insectos entraron en pánico y se autodestruyeron.","Armadilhas mágicas emaranharam o bando de formigas. Armadilhados, os insetos entraram em pânico e se autodestruíram.","Magische Fallen verstrickten das Ameisenvolk. In der Falle gerieten die Insekten in Panik und zerstörten sich selbst.","마법 함정이 개미 떼를 얽어매었습니다. 함정에 빠진 곤충들은 패닉에 빠져 자멸했습니다."
"MSG_C_TRAP_B_WIN","Invisible chains from the dark crushed the bat's wings. Stripped of flight the monster hit the dirt.","闇から放たれた目に見えぬ鎖が、コウモリの翼を打ち砕いた。空の自由を奪われた魔物は、地に這いつくばった。","从黑暗中射出的无形锁链击碎了蝙蝠的翅膀。被夺走飞行自由的魔物狼狈地趴在了地上。","Невидимые цепи из темноты раздавили крылья летучей мыши. Лишившись полета, монстр упал в грязь.","Cadenas invisibles de la oscuridad aplastaron las alas del murciélago. Despojado del vuelo, el monstruo cayó al suelo.","Correntes invisíveis da escuridão esmagaram as asas do morcego. Privado do voo, o monstro atingiu o chão.","Unsichtbare Ketten aus der Dunkelheit zerschmetterten die Flügel der Fledermaus. Des Fluges beraubt, schlug das Monster auf dem Boden auf.","어둠 속에서 나타난 투명한 사슬이 박쥐의 날개를 짓부수었습니다. 비행 능력을 박탈당한 마물은 땅바닥에 처박혔습니다."
"MSG_C_TRAP_C_WIN","You placed a blade trap in the cobra's path. Its beautifully patterned body was hacked to pieces.","急降下する毒蛇の通り道に、鋭利な刃の罠を設置した。美しき模様を持つ長躯は、無残にも切り刻まれた。","在剧毒长蛇俯冲的必经之路上设置了利刃陷阱。那有着美丽花纹的长躯被残忍地切成了碎片。","Вы установили ловушку с лезвиями на пути кобры. Её красиво украшенное тело было изрублено в куски.","Colocaste una trampa de cuchillas en el camino de la cobra. Su cuerpo bellamente estampado fue cortado en pedazos.","Você colocou uma armadilha de lâmina no caminho da naja. Seu corpo lindamente padronizado foi cortado em pedaços.","Du hast eine Klingen-Falle auf dem Pfad der Kobra platziert. Ihr wunderschön gemusterter Körper wurde in Stücke gehackt.","코브라의 경로에 칼날 함정을 설치했습니다. 아름다운 무늬의 긴 몸은 처참하게 조각났습니다."
"MSG_C_TRAP_D_WIN","You triggered legendary restraints on the dragon. Its sky-shaking roars couldn't overcome its despair.","巨竜の足を封じる伝説の拘束具を起動した。天をも揺るがす咆哮も、地に縫い付けられた絶望には勝てなかった。","启动了足以封锁巨龙脚步的传说拘束具。震撼天空的咆哮也无法战胜被钉在地面上的绝望。","Вы активировали легендарные оковы на драконе. Его сотрясающий небо рев не смог преодолеть отчаяние.","Activaste restricciones legendarias en el dragón. Sus rugidos que sacudían el cielo no pudieron superar su desesperación.","Você acionou restrições lendárias no dragão. Seus rugidos que abalavam o céu não puderam superar seu desespero.","Du hast legendäre Fesseln am Drachen ausgelöst. Sein himmelserschütterndes Brüllen konnte seine Verzweiflung nicht überwinden.","용에게 전설적인 구속구를 작동시켰습니다. 하늘을 뒤흔드는 포효도 땅에 못 박힌 절망을 이겨내지 못했습니다."
"MSG_C_TRAP_E_WIN","You set a mana-draining trap beneath the tree spirit. Deprived of life the ancient tree withered.","木の精霊の根が張る地面に、魔力を吸い取る罠を仕掛けた。生命の源を絶たれた古木は、そのまま立ち枯れた。","在树精扎根的地面设置了吸取魔力的陷阱。被断绝了生命之源的古木就这样枯萎在了原地。","Вы установили ловушку, поглощающую ману, под духом дерева. Лишившись жизни, древнее дерево засохло.","Colocaste una trampa de drenaje de maná bajo el espíritu del árbol. Despojado de vida, el árbol antiguo se marchitó.","Você armou uma armadilha de drenagem de mana sob o espírito da árvore. Privada de vida, a árvore antiga murchou.","Du hast eine Mana-entziehende Falle unter dem Baumgeist aufgestellt. Seiner Lebenskraft beraubt, verdorrte der alte Baum.","나무 정령 밑에 마나를 흡수하는 함정을 설치했습니다. 생명의 근원을 빼앗긴 고목은 그대로 시들어 버렸습니다."
"MSG_C_TRAP_F_WIN","You set a micro-suction trap for the fly. The small target vanished into the void as if swallowed.","鬱陶しいハエの飛行進路に、微細な吸引の罠を張った。小さな標的は吸い込まれるように、虚空へと消えた。","在讨厌苍蝇的飞行航线上布下了微细吸引陷阱。微小的目标仿佛被吸入一般，消失在了虚空中。","Вы установили ловушку с микро-всасыванием для мухи. Маленькая цель исчезла в пустоте, как будто её проглотили.","Colocaste una trampa de micro-succión para la mosca. El pequeño objetivo desapareció en el vacío como si fuera tragado.","Você armou uma armadilha de micro-sucção para a mosca. O pequeno alvo desapareceu no vazio como se fosse engolido.","Du hast eine Mikro-Saugfalle für die Fliege aufgestellt. Das kleine Ziel verschwand in der Leere, als wäre es verschluckt worden.","파리의 비행 경로에 미세 흡입 함정을 설치했습니다. 작은 목표물은 삼켜지듯 허공으로 사라졌습니다."
"MSG_C_TRAP_G_WIN","You set a trap more complex than the goblin's wit. Drowned in its own plots it met a grisly end.","ゴブリンの狡猾な知恵をも上回る、複雑怪奇な罠を仕掛けた。自らの策略に溺れた奴は、無惨な最期を遂げた。","设置了超越哥布林狡猾智慧的复杂怪异陷阱。溺死在自己策略中的它迎来了凄惨的末路。","Вы установили ловушку более сложную, чем ум гоблина. Утонув в собственных заговорах, он встретил ужасный конец.","Colocaste una trampa más compleja que el ingenio del goblin. Ahogado en sus propios complots, tuvo un final espantoso.","Você armou uma armadilha mais complexa que a astúcia do goblin. Afogado em suas próprias tramas, ele teve um fim horrível.","Du hast eine Falle aufgestellt, die komplexer war als der Verstand des Goblins. Ertrunken in seinen eigenen Komplotten, fand er ein schreckliches Ende.","고블린의 지혜보다 더 복잡한 함정을 설치했습니다. 자신의 계략에 빠진 고블린은 비참한 최후를 맞이했습니다."
"MSG_C_TRAP_H_WIN","A gravity trap slammed the circling harpy down. The queen of the sky died from the impact.","旋回するハーピーを、重力操作の罠が地上へ叩き落とした。空の女王は落下の衝撃に耐えられず、沈黙した。","重力操作陷阱将旋回中的哈皮重重摔在了地上。天空之女王无法承受坠落的冲击，陷入了沉默。","Гравитационная ловушка швырнула кружащую гарпию вниз. Королева неба погибла от удара.","Una trampa de gravedad derribó a la arpía que circulaba. La reina del cielo murió por el impacto.","Uma armadilha de gravidade derrubou a harpia que circulava. A rainha do céu morreu com o impacto.","Eine Gravitationsfalle schmetterte die kreisende Harpie zu Boden. Die Königin des Himmels starb durch den Aufprall.","중력 함정이 선회하던 하피를 땅으로 내동댕이쳤습니다. 하늘의 여왕은 충격으로 사망했습니다."
"MSG_C_TRAP_I_WIN","You sealed the imp's pranks with a viler trap. Bound by icy chains it could only tremble in fear.","小生意気なインプの悪魔的な悪戯を、より悪烈な拘束の罠で封じ込めた。氷のような鎖に繋がれた奴は、ただ怯えるばかりだ。","用更加恶毒的拘束陷阱封锁了小恶魔恶魔般的恶作剧。被冰冷锁链拴住的它只能瑟瑟发抖。","Вы пресекли проделки беса более подлой ловушкой. Скованный ледяными цепями, он мог только дрожать от страха.","Sellaste las bromas del imp con una trampa más vil. Atado por cadenas gélidas, solo podía temblar de miedo.","Você selou as travessuras do imp com uma armadilha mais vil. Preso por correntes geladas, ele só conseguia tremer de medo.","Du hast die Streiche des Imps mit einer noch gemeineren Falle unterbunden. An eisige Ketten gebunden, konnte er nur noch vor Angst zittern.","임프의 장난을 더 지독한 함정으로 봉쇄했습니다. 차가운 사슬에 묶인 임프는 공포에 떨 수밖에 없었습니다."
"MSG_C_TRAP_J_WIN","You set a flash-freeze trap for the jelly. The monster turned into grisly shards of ice.","ジェリーの通り道に瞬間冷凍の罠を仕掛けた。形を保てなくなった怪物は、無残な氷の破片へと変わった。","在果冻怪的必经之路上设置了瞬间冷冻陷阱。无法维持形状的怪物变成了凄惨的冰之碎片。","Вы установили ловушку мгновенной заморозки для желе. Монстр превратился в ужасные осколки льда.","Colocaste una trampa de congelación rápida para la gelatina. El monstruo se convirtió en espantosos fragmentos de hielo.","Você armou uma armadilha de congelamento instantâneo para a geleia. O monstro transformou-se em horríveis cacos de gelo.","Du hast eine Schockfrost-Falle für das Gelee aufgestellt. Das Monster verwandelte sich in grausige Eissplitter.","젤리에게 순간 냉동 함정을 설치했습니다. 형태를 유지할 수 없게 된 마물은 처참한 얼음 조각으로 변했습니다."
