"keys","en","ja","zh","ru","es","pt","de","ko"
"MSG_C_SLASH_A_WIN","A sharp slash cut the ant's thin waist in two. Its struggling legs soon fell still.","鋭い斬撃がアリの細い腰を真っ二にした。もがく脚もやがて静止した。","锐利的斩击将蚂蚁纤细的腰柄一分为二。挣扎的肢体不久便停止了动弹。","Острый удар разрезал тонкую талию муравья пополам. Его бьющиеся лапки вскоре затихли.","Un corte afilado dividió la delgada cintura de la hormiga en dos. Sus patas que luchaban pronto se quedaron quietas.","Um corte afiado dividiu a cintura fina da formiga em duas. Suas pernas que lutavam logo ficaram imóveis.","Ein scharfer Schnitt teilte die dünne Taille der Ameise entzwei. Ihre zappelnden Beine kamen bald zur Ruhe.","날카로운 참격이 개미의 가는 허리를 두 동강 냈습니다. 발버둥 치던 다리도 이내 멈췄습니다."
"MSG_C_SLASH_B_WIN","A flash clearing the dark severed the bat's wing at its base. It fell soundlessly to the ground.","闇を切り裂く一閃が、コウモリの翼を根元から断った。それは音もなく地面へ落ちた。","划破黑暗的一闪从根部斩断了蝙蝠的翅膀。它无声无息地掉落在了地面。","Вспышка, прорезавшая тьму, отсекла крыло летучей мыши у основания. Оно бесшумно упало на землю.","Un destello que despejó la oscuridad cortó el ala del murciélago por su base. Cayó silenciosamente al suelo.","Um flash cortando a escuridão decepou a asa do morcego em sua base. Ele caiu silenciosamente no chão.","Ein Blitz, der die Dunkelheit erhellte, trennte den Flügel der Fledermaus an der Wurzel ab. Er fiel lautlos zu Boden.","어둠을 가르는 일섬이 박쥐의 날개를 뿌리째 끊어버렸습니다. 그것은 소리 없이 땅으로 떨어졌습니다."
"MSG_C_SLASH_C_WIN","The descending blade beautifully cleaved the cobra's long body. Its venomous head rolled away.","急降下する刃がコブラの長い体躯を美しく断ち割った。猛毒の宿る頭部が転がった。","降下的利刃华丽地劈开了眼镜蛇的长躯。那颗蕴含剧毒的头颅滚落到了地面。","Спускающееся лезвие красиво рассекло длинное тело кобры. Ее ядовитая голова укатилась прочь.","La hoja descendente hendió bellamente el largo cuerpo de la cobra. Su cabeza venenosa rodó.","A lâmina descendente partiu lindamente o longo corpo da cobra. Sua cabeça venenosa rolou para longe.","Die herabfahrende Klinge spaltete den langen Körper der Kobra wunderschön. Ihr giftiger Kopf rollte davon.","급강하하는 칼날이 코브라의 긴 몸을 아름답게 베어 넘겼습니다. 맹독이 서린 머리가 굴러떨어졌습니다."
"MSG_C_SLASH_D_WIN","Legendary swordsmanship pierced the dragon's reverse scale. Its sky-shaking roar became its final breath.","伝説の剣技がドラゴンの堅牢な逆鱗を貫いた。天を揺るがす咆哮は、最期の吐息へと変わった。","传说中的剑技穿透了巨龙坚硬的逆鳞。震撼天空的咆哮化为了最后的喘息。","Легендарное мастерство меча пронзило обратную чешую дракона. Его сотрясающий небо рев стал его последним вздохом.","La esgrima legendaria atravesó la escama inversa del dragón. Su rugido que sacudía el cielo se convirtió en su último aliento.","A esgrima lendária perfurou a escama reversa do dragão. Seu rugido que abalava o céu tornou-se seu último suspiro.","Legendäre Schwertkunst durchbohrte die Umkehrschuppe des Drachen. Sein himmelserschütterndes Brüllen wurde zu seinem letzten Atemzug.","전설적인 검술이 용의 견고한 역린을 꿰뚫었습니다. 하늘을 흔들던 포효는 마지막 숨결로 변했습니다."
"MSG_C_SLASH_E_WIN","Your honed blade easily sliced through the Ents ancient bark. The forest's malice dispersed.","研ぎ澄まされた刃が、エントの古びた樹皮を易々と切り裂いた。森の怨念は霧散した。","磨砺至极的利刃轻而易举地切开了树精古老的树皮。森林的怨念随之消散。","Ваше отточенное лезвие легко прорезало древнюю кору Энта. Злоба леса рассеялась.","Tu hoja afilada cortó fácilmente la corteza antigua del Ent. La malicia del bosque se dispersó.","Sua lâmina afiada cortou facilmente a casca antiga do Ent. A malícia da floresta se dispersou.","Deine geschärfte Klinge schnitt mühelos durch die alte Rinde des Ents. Der Groll des Waldes verflog.","갈고 닦은 칼날이 엔트의 오래된 수피를 손쉽게 베어 넘겼습니다. 숲의 원념이 안개처럼 흩어졌습니다."
"MSG_C_SLASH_F_WIN","A delicate swing cutting the air halved the small fly. A single line of the cut remained in the air.","空気を切り裂く繊細な一振りが、小さなハエを両断した。一筋の切断面が空中に残った。","划破空气的细腻一挥将小苍蝇两断。空中留下了一道不易察觉的斩痕。","Деликатный взмах, рассекающий воздух, пополам разрезал маленькую муху. В воздухе остался след от пореза.","Un delicado movimiento cortando el aire partió a la pequeña mosca. Una sola línea del corte permaneció en el aire.","Um balanço delicado cortando o ar partiu a pequena mosca ao meio. Uma única linha do corte permaneceu no ar.","Ein feiner Schwung, der die Luft schnitt, halbierte die kleine Fliege. Eine einzige Linie des Schnitts blieb in der Luft zurück.","공기를 가르는 섬세한 휘두름이 작은 파리를 양단했습니다. 한 줄기 절단면이 공중에 남았습니다."
"MSG_C_SLASH_G_LOSS","The goblin's cunning defense predicted your strike. A counter-thrust pierced the gap in your armor.","ゴブリンの狡猾な防御に剣筋を読まれた。反撃の一刺しが、あなたの防具の隙間を貫いた。","哥布林狡猾的防御看穿了你的剑路。反击的一刺穿透了你盔甲的缝隙。","Хитрая защита гоблина предсказала ваш удар. Встречный выпад пробил брешь в ваших доспехах.","La astuta defensa del goblin predijo tu golpe. Una contraestocada atravesó el hueco de tu armadura.","A defesa astuta do goblin previu seu golpe. Um contra-ataque perfurou a fresta em sua armadura.","Die listige Verteidigung des Goblins sah deinen Schlag voraus. Ein Gegenstoß durchbohrte die Lücke in deiner Rüstung.","고블린의 교활한 방어에 검의 흐름을 읽혔습니다. 반격의 일격이 당신의 방어구 틈새를 꿰뚫었습니다."
"MSG_C_SLASH_H_WIN","You vividly hacked off the rampaging harpy's wings. Without the sky she fell in despair.","荒れ狂うハーピーの翼を鮮やかに切り落とした。空を失った魔物は、絶望とともに墜落した。","干净利落地斩下了疯狂哈皮的翅膀。失去了天空的魔物带着绝望坠向地面。","Вы ярко отрубили крылья неиствующей гарпии. Без неба она упала в отчаянии.","Cortaste vívidamente las alas de la arpía enfurecida. Sin el cielo, cayó en la desesperación.","Você decepou vividamente as asas da harpia enfurecida. Sem o céu, ela caiu em desespero.","Du hast der wütenden Harpie die Flügel abgehackt. Ohne den Himmel stürzte sie in Verzweiflung ab.","미쳐 날뛰는 하피의 날개를 선명하게 베어냈습니다. 하늘을 잃은 마물은 절망과 함께 추락했습니다."
"MSG_C_SLASH_I_WIN","A horizontal slash tore through the imp's wings and pride. The encroachment from Hell was stopped.","横一文字の斬撃が、インプの翼とプライドを引き裂いた。魔界からの浸食は食い止められた。","横向的一文字斩撕裂了小恶魔的翅膀与自尊。来自魔界的侵蚀被阻断了。","Горизонтальный удар разорвал крылья и гордость беса. Вторжение из ада было остановлено.","Un tajo horizontal desgarró las alas y el orgullo del imp. La invasión del infierno fue detenida.","Um corte horizontal rasgou as asas e o orgulho do imp. A invasão do inferno foi interrompida.","Ein horizontaler Schnitt zerriss die Flügel und den Stolz des Imps. Das Eindringen aus der Hölle wurde gestoppt.","가로 일자의 참격이 임프의 날개와 자부심을 찢어버렸습니다. 마계로부터의 침식은 저지되었습니다."
"MSG_C_SLASH_J_WIN","Countless slashes turned the jelly into inorganic shards. A blitz that left no time for regeneration.","無数の斬撃がジェリーの肉体を無機質な破片へと変えた。再生の暇さえ与えぬ速攻だった。","无数的斩击将果冻怪的身体变成了无机的碎片。这是连再生时间都不给的速攻。","Бесчисленные удары превратили желе в неорганические осколки. Блиц, не оставивший времени на регенерацию.","Innumerables tajos convirtieron a la gelatina en fragmentos inorgánicos. Un ataque relámpago que no dejó tiempo para la regeneración.","Incontáveis cortes transformaram a geleia em fragmentos inorgânicos. Um ataque relâmpago que não deixou tempo para regeneração.","Unzählige Schnitte verwandelten das Gelee in anorganische Scherben. Ein Blitzschlag, der keine Zeit für eine Regeneration ließ.","무수한 참격이 젤리의 육체를 무기질 파편으로 바꾸어 놓았습니다. 재생할 틈조차 주지 않는 속공이었습니다."
"MSG_C_SLASH_K_WIN","You deflected the kobold's dagger and cut deep into its chest. The proud canine warrior collapsed.","コボルドの短剣を弾き飛ばし、その胸元を深く切り裂いた。誇り高き犬戦士は膝を突いた。","弹开了狗头人的短剑，并深深切开了它的胸膛。高傲的犬战士跪倒在地。","Вы отразили кинжал кобольда и глубоко рассекли ему грудь. Гордый песий воин рухнул.","Desviaste la daga del kobold y cortaste profundamente su pecho. El orgulloso guerrero canino colapsó.","Você desviou a adaga do kobold e cortou profundamente seu peito. O orgulhoso guerreiro canino desmoronou.","Du hast den Dolch des Kobolds abgelenkt und tief in seine Brust geschnitten. Der stolze hündische Krieger brach zusammen.","코볼트의 단검을 튕겨내고 그 가슴을 깊게 베었습니다. 긍지 높은 개 전사는 무릎을 꿇었습니다."
