"keys","en","ja","zh","ru","es","pt","de","ko"
"MSG_C_REFLECT_A_WIN","The ant's mandible bounces off your reinforced surface. It stuns itself against your shield.","蟻の牙があなたの硬質な盾を弾く。その衝撃で、蟻自身が脳震盪を起こした。","蚂蚁的大颚从你加固的表面弹开。它在你的护盾上撞晕了自己。","Жвалы муравья отскакивают от вашей укрепленной поверхности. Он сам себя оглушает о ваш щит.","Las mandíbulas de la hormiga rebotan en tu superficie reforzada. Se aturde contra tu escudo.","As mandíbulas da formiga ricocheteiam na sua superfície reforçada. Ela se atordoa contra o seu escudo.","Die Mandibeln der Ameise prallen von deiner verstärkten Oberfläche ab. Sie betäubt sich an deinem Schild selbst.","개미의 턱이 당신의 강화된 표면에 맞고 튕겨 나갑니다. 개미는 당신의 방패에 부딪혀 스스로 기절합니다."
"MSG_C_REFLECT_B_WIN","The bat's ultrasonic wave is sent straight back. It falls out of the air in sonic confusion.","蝙蝠の超音波がそのまま跳ね返される。自らの音に混乱し、空中でバランスを崩した。","蝙蝠的超音波被直接弹回。它在声波混乱中从空中跌落。","Ультразвуковая волна летучей мыши возвращается обратно. Она падает в звуковом замешательстве.","La onda ultrasónica del murciélago es devuelta directamente. Cae del aire en una confusión sónica.","A onda ultrassônica do morcego é enviada de volta. Ele cai do ar em confusão sônica.","Die Ultraschallwelle der Fledermaus wird direkt zurückgeschickt. Sie stürzt in klanglicher Verwirrung aus der Luft.","박쥐의 초음파가 그대로 되돌아갑니다. 박쥐는 자신의 소리에 혼란을 느끼고 공중에서 추락합니다."
"MSG_C_REFLECT_C_WIN","The cobra's venomous strike hits a mirror-like barrier. Its own fangs chip against the surface.","コブラの毒牙が鏡のような障壁に激突する.牙は砕け散り、毒は虚しく霧散した。","眼镜蛇的剧毒攻击撞上了镜面屏障。它落得牙齿崩裂的下场。","Ядовитый удар кобры попадает в зеркальный барьер. Ее собственные клыки ломаются о поверхность.","El ataque venenoso de la cobra choca contra una barrera de espejo. Sus propios colmillos se astillan contra la superficie.","O ataque venenoso da cobra atinge uma barreira espelhada. Suas próprias presas lascam contra a superfície.","Der giftige Schlag der Kobra trifft auf eine spiegelartige Barriere. Ihre eigenen Fänge zersplittern an der Oberfläche.","코브라의 독니 공격이 거울 같은 장벽에 부딪힙니다. 자신의 독니가 표면에 부딪혀 부서집니다."
"MSG_C_REFLECT_D_WIN","The dragon's ancient fire is channeled back into the maw. It coughs smoke in shocked silence.","龍の吐息がそのまま喉元へと返される。自らの炎に咽び、龍は沈黙を強いられた。","龙之吐息被反射回它的咽喉。它在震惊的沉默中咳出了烟雾。","Древнее пламя дракона направляется обратно в пасть. Он кашляет дымом в шокированном молчании.","El fuego ancestral del dragón es canalizado de vuelta a su fauce. Tose humo en un silencio impactado.","O fogo ancestral do dragão é canalizado de volta para a bocarra. Ele tosse fumaça em silêncio chocado.","Das uralte Feuer des Drachen wird zurück in den Schlund geleitet. Er hustet Rauch in schockiertem Schweigen.","용의 고대 화염이 다시 입안으로 흘러들어갑니다. 용은 충격적인 침묵 속에서 연기를 내뿜으며 기침합니다."
"MSG_C_REFLECT_E_WIN","The Ent's crushing branch is deflected by a rhythmic vibration. It splintered its own limb.","エントの大枝が振動によって逸らされる。自重に耐え切れず、その枝は自ら折れた。","树人粉碎性的树枝被振动偏转。它折断了自己的肢体。","Сокрушительная ветвь Энта отклоняется ритмичной вибрацией. Он расщепил свою собственную конечность.","La rama aplastante del Ent es desviada por una vibración rítmica. Astilló su propia extremidad.","O galho esmagador do Ent é desviado por uma vibração rítmica. Ele estilhaçou seu próprio membro.","Der schmetternde Ast des Ents wird durch eine rhythmische Vibration abgelenkt. Er splitterte sein eigenes Glied ab.","엔트의 거대한 가지가 리드미컬한 진동에 의해 튕겨 나갑니다. 엔트의 가지가 스스로 부러졌습니다."
"MSG_C_REFLECT_F_WIN","The fly's erratic dive is rebuffed by a field of force. It zaps itself out of existence.","蠅の突撃が斥力場によって弾き返される。自らの速度に耐え切れず、虚空へと消えた。","苍蝇不稳定的俯冲被力场击退.它被自己的冲力毁灭了。","Беспорядочное пике мухи отражено силовым полем. Она сама себя стирает из бытия.","El errático picado de la mosca es rechazado por un campo de fuerza. Se aniquila a sí misma.","O mergulho errático da mosca é repelido por um campo de força. Ela se apaga da existência.","Der unberechenbare Sturzflug der Fliege wird von einem Kraftfeld abgewehrt. Sie löscht sich selbst aus.","파리의 불규칙한 돌진이 역장력에 의해 튕겨 나갑니다. 파리는 자신의 속도를 이기지 못하고 허공으로 사라졌습니다."
"MSG_C_REFLECT_G_WIN","The goblin's jagged dagger snaps against your posture. He is thrown back by the recoil.","ゴブリンの短剣があなたの構えに弾かれる。その反動で、地面を転がっていった。","哥布林的锯齿匕首在你的架势前折断。他被反作用力弹开了。","Зазубренный кинжал гоблина ломается о вашу позу. Его отбрасывает отдачей.","La daga dentada del goblin se rompe contra tu postura. Es lanzado hacia atrás por el retroceso.","A adaga serrilhada do goblin quebra contra a sua postura. Ele é jogado para trás pelo recuo.","Der gezackte Dolch des Goblins bricht an deiner Haltung ab. Er wird durch den Rückstoß zurückgeworfen.","고블린의 톱니 모양 단검이 당신의 자세에 막혀 부러집니다. 고블린은 반동으로 인해 뒤로 튕겨 나갑니다."
"MSG_C_REFLECT_H_WIN","The harpy's screech is amplified and reflected. It is shaken by the power of its own voice.","ハーピーの叫びが倍増して襲い掛かる.自らの声の威力に、その身を震わせ倒れた。","哈比的大叫被放大并反射。它被自己声音的力量震慑了。","Визг гарпии усиливается и отражается. Она потрясена силой собственного голоса.","El chillido de la arpía es amplificado y reflejado. Es sacudida por el poder de su propia voz.","O guincho da harpia é amplificado e refletido. Ela é abalada pelo poder da própria voz.","Der Kreischton der Harpie wird verstärkt und reflektiert. Sie wird von der Kraft ihrer eigenen Stimme erschüttert.","하피의 비명이 증폭되어 되돌아옵니다. 하피는 자신의 목소리 위력에 몸을 떨며 쓰러집니다."
"MSG_C_REFLECT_I_WIN","The imp's cursed flare is mirrored precisely. It is burned by its own demonic malice.","インプの呪火が正確に追い返される.自らの邪念に焼かれ、その身は消滅した。","小恶魔的诅咒火焰被精确映射。它被自己恶魔般的恶意烧伤。","Проклятая вспышка беса точно отражается. Он сгорает от собственной демонической злобы.","El destello maldito del imp se refleja con precisión. Es quemado por su propia malicia demoníaca.","O clarão amaldiçoado do imp é espelhado com precisão. Ele é queimado por sua própria malícia demoníaca.","Das verfluchte Aufflackern des Imps wird präzise gespiegelt. Er wird von своей eigenen dämonischen Bosheit verbrannt.","임프의 저주받은 불꽃이 정확하게 반사됩니다. 임프는 자신의 악마 같은 사념에 타버려 소멸했습니다."
"MSG_C_REFLECT_J_WIN","The jelly's acidic surface is undulated back inward. It dissolves into its own core.","ジェリーの酸が波打つように内部へ押し返される.自らの溶解液で自滅していった。","胶状体的酸性表面向内波动。它在自己的核心中溶解。","Кислотная поверхность желе волнами возвращается внутрь. Оно растворяется в собственном ядре.","La superficie ácida de la gelatina ondula hacia adentro. Se disuelve en su propio núcleo.","A superfície ácida da geleia ondula para dentro. Ela se dissolve em seu próprio núcleo.","Die säurehaltige Oberfläche des Gelees wellt sich nach innen zurück. Es löst sich in seinem eigenen Kern auf.","젤리의 산성 표면이 물결치듯 내부로 밀려옵니다. 젤리는 자신의 용해액에 스스로 녹아버립니다."
