"keys","en","ja","zh","ru","es","pt","de","ko"
"MSG_C_ASMR_A_WIN","The ASMR whispers were blasted out using the finest stereophonic sound, completely destroying the nerves of the ants.","極上の立体音響によるASMRの囁き声を爆音で流し、アリの群れの神経を完全に破壊した。","ASMR的低语声用最精细的立体声轰出，彻底摧毁了蚂蚁的神经。","Шепот ASMR был взорван с использованием тончайшего стереофонического звука, полностью разрушив нервы муравьев.","Los susurros ASMR se emitieron con el mejor sonido estereofónico, destruyendo por completo los nervios de las hormigas.","Os sussurros de ASMR foram emitidos usando o melhor som estereofônico, destruindo completamente os nervos das formigas.","Das ASMR-Flüstern wurde mit feinstem Stereoklang ausgestrahlt und zerstörte die Nerven der Ameisen vollständig.","최고의 입체 음향을 이용한 ASMR 속삭임을 폭음으로 들려주어 개미 떼의 신경을 완전히 파괴했습니다."
"MSG_C_ASMR_B_WIN","By injecting sticky ASMR audio directly into the bat's auditory nerves, they disrupted the ultrasound waves and caused them to crash.","コウモリの聴覚神経に直接粘着的なASMR音声を流し込み、超音波を狂わせて墜落させた。","通过将粘稠的 ASMR 音频直接注入蝙蝠的听觉神经，他们扰乱了超声波并导致它们崩溃。","Вводя липкое аудио ASMR непосредственно в слуховые нервы летучей мыши, они нарушили ультразвуковые волны и заставили их разбиться.","Al inyectar audio ASMR pegajoso directamente en los nervios auditivos del murciélago, interrumpieron las ondas de ultrasonido y provocaron que se estrellaran.","Ao injetar áudio ASMR pegajoso diretamente nos nervos auditivos do morcego, eles interromperam as ondas de ultrassom e causaram a queda deles.","Indem sie klebriges ASMR-Audio direkt in die Hörnerven der Fledermaus injizierten, störten sie die Ultraschallwellen und brachten sie zum Absturz.","박쥐의 청각 신경에 끈적한 ASMR 오디오를 직접 주입하여 초음파를 교란하고 추락하게 만들었습니다."
"MSG_C_ASMR_C_WIN","The moment the cobra raised its sickle neck, you made it listen to the best relaxing ASMR music and put it into hibernation.","コブラが鎌首をもたげた瞬間、最高のリラクゼーションASMRを聞かせて冬眠状態にさせた。","当眼镜蛇抬起镰刀脖子的那一刻，你就让它听最放松的ASMR音乐，让它进入冬眠状态。","В тот момент, когда кобра подняла свою серповидную шею, вы заставили ее слушать лучшую расслабляющую музыку ASMR и ввели ее в спячку.","En el momento en que la cobra levantó su cuello de hoz, le hiciste escuchar la mejor música ASMR relajante y la pusiste en hibernación.","No momento em que a naja ergueu seu pescoço em foice, você a fez ouvir a melhor música relaxante de ASMR e a colocou em hibernação.","In dem Moment, als die Kobra ihren Sichelhals hob, ließen Sie sie die beste entspannende ASMR-Musik hören und versetzten sie in den Winterschlaf.","코브라가 머리를 치켜든 순간, 최고의 휴식용 ASMR 음악을 들려주어 동면 상태에 빠지게 했습니다."
"MSG_C_ASMR_D_LOSS","The dragon's ancient bellows completely drowned out the delicate ASMR whispers. The intense sound pressure shattered your equipment and your eardrums simultaneously.","ドラゴンの太古の咆哮は、ASMRの繊細な囁き声を完全に消し去った。凄まじい音圧で配信機材は粉砕され、あなたの鼓膜も無残に引き裂かれた。","巨龙古老的咆哮声彻底淹没了ASMR纤细的低语。在恐怖的音压面前，直播设备被震碎，你的鼓膜也随之彻底破裂。","Древний рев дракона полностью заглушил нежный шепот ASMR. Интенсивное звуковое давление одновременно разрушило ваше оборудование и барабанные перепонки.","Los antiguos rugidos del dragón ahogaron por completo los delicados susurros de ASMR. La intensa presión sonora destrozó tu equipo y tus tímpanos simultáneamente.","Os rugidos antigos do dragão abafaram completamente os sussurros delicados de ASMR. A intensa pressão sonora estilhaçou seu equipamento e seus tímpanos simultaneamente.","Das uralte Gebrüll des Drachen übertönte das zarte ASMR-Flüstern vollständig. Der intensive Schalldruck zertrümmerte gleichzeitig Ihre Ausrüstung und Ihr Trommelfell.","드래곤의 고대 포효가 섬세한 ASMR 속삭임을 완전히 삼켜버렸습니다. 강렬한 음압으로 방송 장비가 박살 났고 당신의 고막도 처참하게 찢어졌습니다."
"MSG_C_ASMR_E_WIN","The sap was completely dried by making a pleasant carbonated ASMR sound against the huge wooden body of the Ent.","エントの巨大な木材ボディに対し、心地よい炭酸音ASMRを響かせて樹液を完全に乾燥させた。","通过在 Ent 巨大的木制机身上发出令人愉悦的碳酸 ASMR 声音，使树液完全干燥。","Сок был полностью высушен за счет создания приятного газированного звука ASMR на огромном деревянном теле Энта.","La savia se secó por completo al producir un agradable sonido de ASMR carbonatado contra el enorme cuerpo de madera del Ent.","A seiva secou completamente ao produzir um som agradável de ASMR carbonatado contra o enorme corpo de madeira do Ent.","Der Saft wurde vollständig getrocknet, indem ein angenehmes kohlensäurehaltiges ASMR-Geräusch gegen den riesigen Holzkörper des Ents erzeugt wurde.","엔트의 거대한 나무 몸체에 기분 좋은 탄산 ASMR 소리를 울려 수액을 완전히 말려버렸습니다."
"MSG_C_ASMR_F_WIN","Based on the predicted trajectory of a flying fly, it emitted a vicious tinnitus ASMR sound that caused a concussion while remaining in the air.","飛び回るハエの予測軌道に対し、極悪な耳鳴りASMRを放射して空中にいるまま脳震盪を起こさせた。","根据飞行苍蝇的预测轨迹，它发出恶毒的耳鸣 ASMR 声音，在空中时引起脑震荡。","На основе предсказанной траектории полета мухи он издал злобный звук тиннитуса ASMR, который вызвал сотрясение мозга, пока она находилась в воздухе.","Basándose en la trayectoria prevista de una mosca voladora, emitió un vicioso sonido de ASMR de tinnitus que provocó una conmoción cerebral mientras permanecía en el aire.","Com base na trajetória prevista de uma mosca, ele emitiu um som vicioso de ASMR de zumbido que causou uma concussão enquanto ela permanecia no ar.","Basierend auf der vorhergesagten Flugbahn einer Fliege stieß sie ein bösartiges ASMR-Tinnitus-Geräusch aus, das eine Gehirnerschütterung verursachte, während sie noch in der Luft war.","날아다니는 파리의 예측 궤적에 맞춰 악랄한 이명 ASMR을 방출하여 공중에 있는 상태로 뇌진탕을 일으켰습니다."
"MSG_C_ASMR_G_WIN","He used ASMR to play the sound of a goblin counting the gold it had stolen on a loop in his head, driving him insane and defeating him.","ゴブリンが盗んだ金塊を数える音をASMRで脳内にループ再生させ、狂気へと追い込んで倒した。","他使用 ASMR 播放妖精数着偷来的黄金的声音，在他的脑海中循环播放，让他发疯并击败了他。","Он использовал ASMR, чтобы проигрывать звук гоблина, считающего украденное золото, по кругу в его голове, сводя его с ума и побеждая его.","Usó ASMR para reproducir el sonido de un duende contando el oro que había robado en un bucle en su cabeza, volviéndolo loco y derrotándolo.","Ele usou ASMR para reproduzir o som de um goblin contando o ouro que havia roubado em um loop na cabeça dele, deixando-o louco e derrotando-o.","Er benutzte ASMR, um das Geräusch eines Goblins, der das gestohlene Gold zählt, in einer Schleife in seinem Kopf abzuspielen, was ihn in den Wahnsinn trieb und ihn besiegte.","고블린이 훔친 금괴를 세는 소리를 ASMR로 뇌 속에 루프 재생시켜 광기로 몰아넣어 처치했습니다."
"MSG_C_ASMR_H_WIN","Just before the harpy attacks from the sky, an anti-phase voice is applied to it using an ASMR microphone, causing the harpy to lose its sense of balance and fall.","ハーピーが空から襲い来る直前にASMRマイクで逆位相の声を当て、平衡感覚を狂わせて落とした。","就在鹰身女妖从空中攻击之前，使用 ASMR 麦크风向其施加反相声音，导致鹰身女妖失去平衡感并跌倒。","Как раз перед тем, как гарпия нападет с неба, к ней применяется противофазный голос с помощью микрофона ASMR, в результате чего гарпия теряет чувство равновесия и падает.","Justo antes de que la arpía ataque desde el cielo, se le aplica una voz de antifase usando un micrófono ASMR, lo que hace que la arpía pierda el sentido del equilibrio y caiga.","Pouco antes da harpia atacar do céu, uma voz antifase é aplicada a ela usando um microfone de ASMR, fazendo com que a harpia perca o equilíbrio e caia.","Kurz bevor die Harpyie aus der Luft angreift, wird ihr mithilfe eines ASMR-Mikrofons eine gegenphasige Stimme entgegengesetzt, wodurch die Harpyie ihr Gleichgewicht verliert und abstürzt.","하피가 하늘에서 습격하기 직전에 ASMR 마이크로 역위상의 소리를 들려주어 평형감각을 교란해 떨어뜨렸습니다."
"MSG_C_ASMR_I_WIN","Predicting the Imp's teleport destination, it fired a super low-pitched ASMR sound at the distortion in space, erasing it as soon as it appeared.","インプのテレポート先を予測し、空間の歪みに向けて超低音ASMRを放って出現と同時に消し飛ばした。","预测到了小鬼的传送目的地，它对着空间的扭曲发出超低音的ASMR声音，一出现就将其抹去。","Предсказав место телепортации Импа, он выстрелил сверхнизким звуком ASMR в искажение в пространстве, стерев его, как только он появился.","Prediciendo el destino del teletransporte del Imp, disparó un sonido ASMR de tono súper bajo a la distorsión en el espacio, borrándolo tan pronto como apareció.","Prevendo o destino do teletransporte do Imp, disparou um som de ASMR de tom superbaixo na distorção no espaço, apagando-o assim que apareceu.","Indem sie das Teleportationsziel des Imps vorhersagte, feuerte sie einen extrem tiefen ASMR-Ton auf die Raumverzerrung ab und löschte ihn aus, sobald er auftauchte.","임프의 텔레포트 지점을 예측하여 공간의 뒤틀림을 향해 초저음 ASMR을 발사해 나타나자마자 소멸시켰습니다."
"MSG_C_ASMR_J_LOSS","The liquid body of the jelly absorbed the sound waves and vibrated with a pleasant frequency that only made it more active. It surged forward with renewed energy and engulfed you.","ジェリーの流動的な肉体は音波を吸収し、心地よい振動として利用してしまった。活性化した怪物は以前よりも力強い勢いであなたを飲み込み、そのまま同化させた。","史莱姆流动的躯体吸收了声波，并将其转化为舒适的振动来利用。活性化后的怪物以比之前更加强劲的势头将你吞没，并直接同化。","Жидкое тело желе поглотило звуковые волны и завибрировало с приятной частотой, что сделало его только более активным. Оно рванулось вперед с новой энергией и поглотило вас.","El cuerpo líquido de la gelatina absorbió las ondas sonoras y vibró con una frecuencia agradable que solo la hizo más activa. Surgió hacia adelante con energía renovada y te envolvió.","O corpo líquido da geleia absorveu as ondas sonoras e vibrou com uma frequência agradável que apenas a tornou mais ativa. Ele avançou com energia renovada e engoliu você.","Der flüssige Körper des Gelees absorbierte die Schallwellen und vibrierte mit einer angenehmen Frequenz, die ihn nur noch aktiver machte. Er schoss mit neuer Energie nach vorne und verschlang dich.","젤리의 유동적인 육체는 음파를 흡수하여 기분 좋은 진동으로 이용해 버렸습니다. 활성화된 괴물은 이전보다 더 강력한 기세로 당신을 삼켜 그대로 동화시켰습니다."
