"keys","en","ja","zh","ru","es","pt","de","ko"
"MSG_C_MICROWAVE_A_WIN","The ant was forced into a microwave oven and heated at 1000W, causing it to completely explode.","アリを強引に電子レンジに押し込み、1000wで温めて完全に破裂させた。","蚂蚁被强行放入微波炉中，以1000瓦 power 加热，导致其完全爆炸。","Муравья насильно запихнули в микроволновку и разогрели на мощности 1000 Вт, от чего он полностью взорвался.","La hormiga fue forzada a entrar en un horno de microondas y calentada a 1000W, lo que provocó que explotara por completo.","A formiga foi forçada a entrar num forno micro-ondas e aquecida a 1000W, fazendo com que explodisse completamente.","Die Ameise wurde gewaltsam in eine Mikrowelle gesteckt und bei 1000 W erhitzt, was sie völlig explodieren ließ.","개미를 강제로 전자레인지에 밀어 넣고 1000W로 데워 완전히 파열시켰습니다."
"MSG_C_MICROWAVE_B_WIN","The intense electromagnetic waves leaking from the microwave drowned out the bat's ultrasonic waves, causing it to crash.","電子レンジから漏れる強烈な電磁波がコウモリの超音波をかき消し、墜落させた。","微波炉泄漏出的强烈电磁波淹没了蝙蝠的超声波，导致其坠毁。","Интенсивные электромагнитные волны, исходящие из микроволновки, заглушили ультразвук летучей мыши, что привело к ее падению.","Las intensas ondas electromagnéticas que se escapaban del microondas ahogaron las ondas ultrasónicas del murciélago, provocando que se estrellara.","As intensas ondas eletromagnéticas que escapavam do micro-ondas abafaram as ondas ultrassónicas do morcego, fazendo com que este se despenhasse.","Die intensiven elektromagnetischen Wellen, die aus der Mikrowelle austraten, übertönten die Ultraschallwellen der Fledermaus und brachten sie zum Absturz.","전자레인지에서 새어 나오는 강렬한 전자파가 박쥐의 초음파를 지워버려 추락시켰습니다."
"MSG_C_MICROWAVE_C_WIN","When the cobra was heated, the deadly poison inside its body boiled over at high temperatures and self-destructed.","コブラを温めたら、体内の猛毒が高温で沸騰して自爆して果てた。","当眼镜蛇被加热时，其体内的剧毒在高温下沸腾而自毁。","Когда кобру разогрели, смертельный яд внутри ее тела закипел при высокой температуре, и она самоликвидировалась.","Cuando la cobra fue calentada, el veneno mortal dentro de su cuerpo hirvió a altas temperaturas y se autodestruyó.","Quando a cobra foi aquecida, o veneno mortal dentro do seu corpo ferveu a altas temperaturas e ela autodestruiu-se.","Als die Kobra erhitzt wurde, kochte das tödliche Gift in ihrem Körper bei hohen Temperaturen über und sie zerstörte sich selbst.","코브라를 데우자 체내의 맹독이 고온에서 끓어올라 자폭했습니다."
"MSG_C_MICROWAVE_D_WIN","The intense microwave radiation resonated with the dragon's internal fire sack, causing a massive internal explosion.","電子レンジの強力な電磁波がドラゴンの体内にある火炎袋と共鳴し、凄まじい内部爆発を引き起こさせた。","微波炉强大的电磁波与龙体内的火炎袋共鸣，引起了可怕的内部爆炸。","Интенсивное микроволновое излучение вошло в резонанс с внутренним огненным мешком дракона, вызвав мощный внутренний взрыв.","La intensa radiación de microondas resonó con el saco de fuego interno del dragón, provocando una enorme explosión interna.","A intensa radiação micro-ondas ressoou com o saco de fogo interno do dragão, provocando uma enorme explosão interna.","Die intensive Mikrowellenstrahlung resonierte mit dem inneren Feuerbeutel des Drachens und verursachte eine gewaltige interne Explosion.","전자레인지의 강력한 전자파가 드래곤 체내의 화염 주머니와 공명하여 엄청난 내부 폭발을 일으켰습니다."
"MSG_C_MICROWAVE_E_WIN","When the Ent's wooden body was heated in the microwave, it instantly dried, ignited, and turned to ash.","エントの木材ボディは電子レンジに入れて加熱すると、一瞬で乾燥し発火して灰になった。","当恩特的木质身体被微波炉加热后，立刻就干燥、着火，化为灰烬。","Когда деревянное тело Энта разогрели в микроволновке, оно мгновенно высохло, воспламенилось и превратилось в пепел.","Cuando el cuerpo de madera del Ent fue calentado en el microondas, se secó instantáneamente, se encendió y se convirtió en cenizas.","Quando o corpo de madeira do Ent foi aquecido no micro-ondas, secou instantaneamente, incendiou-se e transformou-se em cinzas.","Als der hölzerne Körper des Ents in der Mikrowelle erhitzt wurde, trocknete er augenblicklich aus, entzündete sich und wurde zu Asche.","엔트의 나무 몸체는 전자레인지에 넣고 가열하자 순식간에 건조되어 발화했고 재가 되었습니다."
"MSG_C_MICROWAVE_F_LOSS","Because of the flies flying around at high speed inside the microwave, it didn't heat up at all and they escaped when you opened the door.","レンジの中を高速で飛び回るハエのせいで、全く温められずドアを開けた隙に逃げられた。","因为苍蝇在微波炉里高速飞来飞去，根本没有加热，一开门它们就逃走了。","Из-за мух, летавших на высокой скорости внутри микроволновки, она совсем не нагрелась, и они улетели, когда вы открыли дверцу.","Debido a las moscas que volaban a alta velocidad dentro del microondas, este no se calentó en absoluto y escaparon cuando abriste la puerta.","Devido às moscas que voavam a alta velocidade dentro do micro-ondas, este não aqueceu nada e elas escaparam quando abriu a porta.","Wegen der Fliegen, die mit hoher Geschwindigkeit in der Mikrowelle herumflogen, wurde sie überhaupt nicht heiß, und sie entkamen, als Sie die Tür öffneten.","레인지 안을 고속으로 날아다니는 파리 때문에 전혀 가열되지 않았고, 문을 연 틈을 타 도망갔습니다."
"MSG_C_MICROWAVE_G_WIN","The goblins heated up the metal coins they had stolen in a microwave, causing a huge explosion and wiping them out.","ゴブリンが盗んだ金属の貨幣ごとレンジで温め、大爆発を起こして一網打尽にした。","妖精们用微波炉加热了他们偷来的金属硬币，引起了巨大的爆炸，把它们消灭了。","Гоблины разогрели в микроволновке украденные металлические монеты, что вызвало огромный взрыв и уничтожило их всех.","Los goblins calentaron las monedas de metal que habían robado en un microondas, provocando una gran explosión y aniquilándolos.","Os goblins aqueceram as moedas de metal que tinham roubado num micro-ondas, provocando uma enorme explosão e aniquilando-os.","Die Goblins erhitzten die gestohlenen Metallmünzen in einer Mikrowelle, was eine gewaltige Explosion auslöste und sie alle auslöschte.","고블린이 훔친 금속 화폐를 통째로 레인지에 데우자 대폭발이 일어나 일망타진했습니다."
"MSG_C_MICROWAVE_H_WIN","You threw a harpy egg into the microwave and used it as a bargaining chip, causing her to lose her will to fight.","ハーピーの卵を電子レンジに放り込み、取引の材料にすることで彼女の戦意を喪失させた。","你将一枚哈皮蛋扔进了微波炉，并以此作为筹码，让她失去了战斗意志。","Вы бросили яйцо гарпии в микроволновку и использовали его как козырь, заставив ее потерять волю к битве.","Arrojaste un huevo de arpía al microondas y lo usaste como moneda de cambio, haciendo que perdiera su voluntad de luchar.","Atirou um ovo de harpia para o micro-ondas e usou-o como moeda de troca, fazendo com que ela perdesse a vontade de lutar.","Sie warfen ein Harpyien-Ei in die Mikrowelle und benutzten es als Druckmittel, wodurch sie ihren Kampfeswillen verlor.","하피의 알을 전자레인지에 집어넣고 협상의 카드로 사용함으로써 그녀의 전의를 상실하게 했습니다."
"MSG_C_MICROWAVE_I_WIN","You aimed the microwave's exposed magnetron at the imp's portal and blasted it with raw microwaves. The imp was caught mid-teleport in a burst of static energy and popped out the other side dazed and groaning.","電子レンジのマグネトロンをインプの転移孔へ向け、生のマイクロ波を照射した。テレポートの途中で捕まったインプは静電エネルギーの炸裂に飲まれ、ぼーっとした状態で反対側から這い出てきた。","你将微波炉裸露的磁控管对准了小鬼的传送门，以原始微波将其轰炸。小鬼在传送途中被捕获，在一阵静电能量爆发中被吞噬，从另一侧迷迷糊糊地爬了出来。","Вы направили открытый магнетрон микроволновки на портал беса и ударили по нему чистыми микроволнами. Бес был пойман в разгар телепортации вспышкой статической энергии и выскочил с другой стороны ошеломленный и стонущий.","Apuntaste el magnetrón expuesto del microondas al portal del imp y lo bombardeaste con microondas crudas. El imp fue atrapado a mitad de la teletransportación en un estallido de energía estática y salió por el otro lado aturdido y gimiendo.","Apontou o magnetrão exposto do micro-ondas ao portal do imp e bombardeou-o com micro-ondas puras. O imp foi apanhado a meio da teletransportação numa explosão de energia estática e saiu do outro lado atordoado e a gemer.","Sie richteten das freiliegende Magnetron der Mikrowelle auf das Portal des Imps und beschossen es mit rohen Mikrowellen. Der Imp wurde mitten in der Teleportation von einem Ausbruch statischer Energie erfasst und tauchte auf der anderen Seite benommen und stöhnend auf.","전자레인지의 마그네트론을 임프의 전이 구멍으로 향하게 하여 생 마이크로파를 조사했습니다. 텔레포트 도중에 붙잡힌 임프는 정전기 에너지의 폭발에 휩싸였고, 멍한 상태로 반대편에서 기어 나왔습니다."
"MSG_C_MICROWAVE_J_LOSS","The jelly's acidic substance short-circuited the microwave's magnetron before it could even start heating, leaving you defenseless.","ジェリーの酸性物質が加熱開始前にレンジのマグネトロンをショートさせ、ただの重たい箱にしてしまった。","果冻怪的酸性物质在加热开始前使微波炉的磁控管短路，将其变成了一个沈重的箱子。","Кислотное вещество желе вызвало короткое замыкание в магнетроне микроволновки еще до того, как она начала нагреваться, оставив вас беззащитным.","La sustancia ácida de la gelatina cortocircuitó el magnetrón del microondas antes de que pudiera empezar a calentar, dejándote indefenso.","A substância ácida da geleia provocou um curto-circuito no magnetrão do micro-ondas antes mesmo de este começar a aquecer, deixando-o indefeso.","Die säurehaltige Substanz des Gelees schloss das Magnetron der Mikrowelle kurz, noch bevor es überhaupt mit dem Erhitzen beginnen konnte, und ließ Sie schutzlos zurück.","젤리의 산성 물질이 가열을 시작하기도 전에 레인지의 마그네트론을 쇼트시켜 버려, 그저 무거운 상자로 만들어 버렸습니다."
