"keys","en","ja","zh","ru","es","pt","de","ko"
"MSG_C_FREEZE_A_LOSS","The ant's hard shell blocked the chill. Unstopped you were surrounded by countless legs.","アリの硬い外骨格は冷気をも通さない。動きを止められないまま、あなたは無数の脚に囲まれた。","蚂蚁坚硬的外骨骼连冷气都能隔绝。在你未能阻止其行动时，已被无数肢体包围。","Твердый панцирь муравья заблокировал холод. Вы были окружены бесчисленными ногами.","El caparazón duro de la hormiga bloqueó el frío. Sin detenerte, fuiste rodeado por incontables patas.","A carapaça dura da formiga bloqueou o frio. Sem parar, você foi cercado por inúmeras patas.","Der harte Panzer der Ameise blockierte die Kälte. Ungebremst wurdest du von unzähligen Beinen umringt.","개미의 단단한 껍질이 냉기를 막아냈습니다. 멈추지 못한 채 당신은 수많은 다리에 둘러싸였습니다."
"MSG_C_FREEZE_B_WIN","Magic frost froze the bat's wings. Turned into an ice statue it shattered upon the ground.","魔法の冷気がコウモリの翼を凍りつかせた。氷の彫像と化した魔物は、砕け散りながら地面へ落ちた。","魔法冷气冻结了蝙蝠的翅膀。化作冰雕的魔物一边粉碎一边掉落在了地面。","Магический мороз заморозил крылья летучей мыши. Превратившись в ледяную статую, она разбилась о землю.","La escarcha mágica congeló las alas del murciélago. Convertido en una estatua de hielo, se hizo añicos contra el suelo.","A geada mágica congelou as asas do morcego. Transformado em uma estátua de gelo, ele se despedaçou no chão.","Magischer Frost fror die Flügel der Fledermaus ein. In eine Eisstatue verwandelt, zerschellte sie am Boden.","마법의 냉기가 박쥐의 날개를 얼렸습니다. 얼음 조각상이 된 괴물은 산산조각이 나며 바닥으로 떨어졌습니다."
"MSG_C_FREEZE_C_WIN","Absolute zero took the cobra's movement. Encased in beautiful ice it will never move again.","急降下する毒蛇の動きを、絶対零度の冷気が奪った。美しい氷に閉じ込められたコブラは、二度と動かない。","绝对零度的冷气夺走了俯冲毒蛇的动作。被关进美丽冰层中的眼镜蛇再也不会动弹。","Абсолютный ноль сковал движения кобры. Заточенная в прекрасном льду, она больше никогда не пошевелится.","El cero absoluto detuvo el movimiento de la cobra. Encerrada en un hermoso hielo, no volverá a moverse.","O zero absoluto tirou o movimento da cobra. Enclausurada em um belo gelo, ela nunca mais se moverá.","Der absolute Nullpunkt raubte der Kobra die Bewegung. In wunderschönes Eis eingeschlossen, wird sie sich nie wieder bewegen.","절대 영도가 코브라의 움직임을 앗아갔습니다. 아름다운 얼음에 갇힌 코브라는 다시는 움직이지 않을 것입니다."
"MSG_C_FREEZE_D_WIN","You unleashed extreme cold that froze even the dragon's breath. The giant fell into eternal sleep.","ドラゴンの熱い息吹をも凍らせる極致の冷気を放った。氷獄に捕らわれた伝説の巨体は、永劫の眠りについた。","放出了连巨龙的热息都能冻结的极致冷气。被困在冰狱中的传说巨体进入了永劫的长眠。","Вы высвободили экстремальный холод, который заморозил даже дыхание дракона. Гигант погрузился в вечный сон.","Desataste un frío extremo que congeló incluso el aliento del dragón. El gigante cayó en un sueño eterno.","Você liberou um frio extremo que congelou até o sopro do dragão. O gigante caiu em um sono eterno.","Du hast extreme Kälte entfesselt, die sogar den Atem des Drachen gefrieren ließ. Der Riese fiel in ewigen Schlaf.","용의 뜨거운 숨결마저 얼려버리는 극한의 냉기를 뿜어냈습니다. 빙옥에 갇힌 전설의 거체는 영원한 잠에 빠졌습니다."
"MSG_C_FREEZE_E_WIN","You froze the sap within the tree spirit instantly. The ancient life stood as a crystal in the forest.","木の精霊の内部を通る樹液を瞬時に凍らせた。古の生命は、繊細なクリスタルとなって森に佇んだ。","瞬间冻结了在树精内部流动的树液。古老的生命化作细腻的晶体屹立在森林中。","Вы мгновенно заморозили сок внутри древесного духа. Древняя жизнь застыла кристаллом в лесу.","Congelaste la savia dentro del espíritu del árbol instantáneamente. La vida antigua se mantuvo como un cristal en el bosque.","Você congelou a seiva dentro do espírito da árvore instantaneamente. A vida antiga permaneceu como um cristal na floresta.","Du hast den Saft im Baumgeist sofort gefroren. Das uralte Leben stand wie ein Kristall im Wald.","나무 정령 내부의 수액을 순식간에 얼려버렸습니다. 고대의 생명은 섬세한 크리스털이 되어 숲에 머물렀습니다."
"MSG_C_FREEZE_F_WIN","You trapped the fly in a small ice pellet. A moment of silence followed its jewel-like end.","宙を舞うハエを、小さな氷の粒に閉じ込めた。光り輝く宝飾品のような最期に、一時の静寂が訪れた。","将将在空中飞舞的苍蝇囚禁在了小小的冰粒里。这如发光饰品般的最后落幕带来了短暂的宁静。","Вы поймали муху в маленькую ледяную дробинку. За ее драгоценным концом последовал момент тишины.","Atrapaste a la mosca en una pequeña bolita de hielo. Un momento de silencio siguió a su final de joya.","Você prendeu a mosca em uma petite bolinha de gelo. Um momento de silêncio seguiu-se ao seu fim de joia.","Du hast die Fliege in einem kleinen Eisklumpen gefangen. Ein Moment der Stille folgte ihrem juwelenartigen Ende.","날아다니는 파리를 작은 얼음 알갱이 속에 가두었습니다. 보석 같은 최후 뒤에 잠시 정적이 흘렀습니다."
"MSG_C_FREEZE_G_WIN","The goblin's cunning grin became an ice statue. With its eerie look intact it shattered silently.","ゴブリンの狡猾な笑みを氷の彫像へと変えた。不気味な表情を保ったまま、奴は静かに砕け散った。","将哥布林狡猾的笑脸变成了冰雕。它保持着那诡异的表情，静静地粉碎散落。","Хитрая ухмылка гоблина превратилась в ледяную статую. Сохранив свой жуткий вид, она бесшумно разбилась.","La sonrisa astuta del goblin se convirtió en una estatua de hielo. Con su mirada inquietante intacta, se hizo añicos en silencio.","O sorriso astuto do goblin tornou-se uma estátua de gelo. Com seu olhar sinistro intacto, ele se despedaçou silenciosamente.","Das listige Grinsen des Goblins wurde zu einer Eisstatue. Mit seinem unheimlichen Aussehen zersplitterte er lautlos.","고블린의 교활한 웃음이 얼음 조각상으로 변했습니다. 기괴한 표정 그대로, 놈은 조용히 산산조각 났습니다."
"MSG_C_FREEZE_H_WIN","An ice arrow pierced the harpy's chest freezing her whole. The queen of the sky fell as a heavy headstone.","氷の矢がハーピーの胸元を射抜き、その全身を凍土へと変えた。空の支配者は、重い墓標となって墜落した。","冰箭射穿了哈皮的胸膛，将其全身化为了冻土。天空的支配者化作沉重的墓碑坠落了。","Ледяная стрела пронзила грудь гарпии, заморозив ее целиком. Королева неба упала, как тяжелое надгробие.","Una flecha de hielo atravesó el pecho de la harpía congelándola por completo. La reina del cielo cayó como una pesada lápida.","Uma flecha de gelo perfurou o peito da harpia congelando-a inteira. A rainha do céu caiu como uma lápide pesada.","Ein Eispfeil durchbohrte die Brust der Harpyie und fror sie ganz ein. Die Königin des Himmels fiel wie ein schwerer Grabstein.","얼음 화살이 하피의 가슴을 꿰뚫고 전신을 동토로 바꾸었습니다. 하늘의 지배자는 무거운 묘비가 되어 추락했습니다."
"MSG_C_FREEZE_I_WIN","You sealed the imp's small malice with magic frost. Enclosed in ice it will never whisper again.","インプの小さな悪意を、魔法の冷気で封じ込めた。氷に閉ざされた悪魔は、二度とささやくことはない。","用魔法冷气封锁了小恶魔微小的恶意。被关在冰层里的恶魔再也无法发出低语。","Вы запечатали маленькую злобу импа магическим морозом. Заточенный во льду, он больше никогда не будет шептать.","Sellaste la pequeña malicia del imp con escarcha mágica. Encerrado en hielo, nunca volverá a susurrar.","Você selou a pequena malícia do imp com geada mágica. Enclausurado no gelo, ele nunca mais sussurrará.","Du hast die kleine Bosheit des Imps mit magischem Frost versiegelt. In Eis eingeschlossen, wird er nie wieder flüstern.","임프의 작은 악의를 마법의 냉기로 봉인했습니다. 얼음에 갇힌 악마는 다시는 속삭이지 않을 것입니다."
"MSG_C_FREEZE_J_LOSS","The jelly absorbed the cold and grew into hard sharp ice. The monster pierced you ruthlessly.","ジェリーは冷気を取り込み、より硬く鋭い氷の塊へと成長した。凶器と化した怪物が、あなたを冷酷に突く。","果冻吸入了冷气，成长为更加坚硬锋利的冰块。化为凶器的怪物冷酷地刺向了你。","Желе впитало холод и превратилось в твердый острый лед. Монстр безжалостно пронзил вас.","La gelatina absorbió el frío y creció hasta convertirse en hielo duro y afilado. El monstruo te atravesó sin piedad.","A geléia absorveu o frio e cresceu em um gelo duro e afiado. O monstro perfurou você implacavelmente.","Das Gelee absorbierte die Kälte und wuchs zu hartem, scharfem Eis heran. Das Monster durchbohrte dich mitleidlos.","젤리는 냉기를 흡수하여 더욱 단단하고 날카로운 얼음 덩어리로 성장했습니다. 흉기가 된 괴물이 당신을 냉혹하게 찌릅니다."
"MSG_C_FREEZE_K_LOSS","You couldn't catch the nimble kobold. On the frozen ground you fell into its trap.","コボルドの身軽な動きを冷気で捉えることはできない。空虚に凍りつく地面の上で、あなたは奴らの罠に嵌まった。","无法用冷气捕捉到狗头人轻盈的动作。在空虚冻结的地面上，你落入了它们的陷阱。","Вы не смогли поймать проворного кобольда. На замерзшей земле вы попали в его ловушку.","No pudiste atrapar al ágil kobold. En el suelo congelado, caíste en su trampa.","Você não conseguiu pegar o ágil kobold. No chão congelado, você caiu em sua armadilha.","Du konntest den flinken Kobold nicht fangen. Auf dem gefrorenen Boden bist du in seine Falle getappt.","코볼드의 날랜 움직임을 냉기로 붙잡을 수 없었습니다. 허무하게 얼어붙은 지면 위에서 당신은 놈들의 함정에 빠졌습니다."
"MSG_C_FREEZE_L_LOSS","The lizard had high cold resistance despite low metabolism. The unfrozen monster bared its venomous claws.","リザードの代謝は低いが、その分冷気への耐性も高い。氷に閉ざされぬ魔物が、毒の爪を光らせる。","虽然蜥蜴代谢缓慢，但其耐寒性极高。未被冰封的魔物闪烁着剧毒的利爪。","У ящерицы была высокая сопротивляемость холоду, несмотря на низкий метаболизм. Незамерзший монстр обнажил свои ядовитые когти.","El lagarto tenía una alta resistencia al frío a pesar de su bajo metabolismo. El monstruo no congelado mostró sus garras venenosas.","O lagarto tinha alta resistência ao frio, apesar do baixo metabolismo. O monstro não congelado mostrou suas garras venenosas.","Die Echse hatte trotz niedrigem Stoffwechsel eine hohe Kälteresistenz. Das ungefrorene Monster entblößte seine giftigen Krallen.","리자드의 대사는 낮지만 그만큼 냉기에 대한 저항도 높습니다. 얼어붙지 않은 마물이 독발톱을 빛냅니다."
"MSG_C_FREEZE_M_WIN","Frost soaked the mummy's dry body turning it to brittle ice. Milennia of memory shattered in one blow.","マミーの乾いた肉体に冷気が染み込み、脆い氷へと変えた。衝撃一つで、数千年の記憶は微塵に砕けた。","冷气渗入了木乃伊干枯的肉体，将其变成了脆弱的冰块。只需一击，几千年的记忆便碎成粉末。","Мороз пропитал сухое тело мумии, превратив его в хрупкий лед. Тысячелетия памяти разлетелись вдребезги одним ударом.","La escarcha empapó el cuerpo seco de la momia convirtiéndolo en hielo quebradizo. Milenios de memoria se hicieron añicos de un solo golpe.","A geada encharcou o corpo seco da múmia transformando-o em gelo quebradiço. Milênios de memória se despedaçaram em um só golpe.","Frost tränkte den trockenen Körper der Mumie und verwandelte ihn in sprödes Eis. Jahrtausende der Erinnerung zerbrachen mit einem Schlag.","미라의 건조한 육체에 냉기가 스며들어 부서지기 쉬운 얼음으로 변했습니다. 충격 한 번에 수천 년의 기억은 미립자로 부서졌습니다."
"MSG_C_FREEZE_N_LOSS","The naga's high resistance parried the frost wave easily. The beautiful serpent's tail sought your neck.","ナーガの魔法耐性は高く、冷気の波を易々と受け流した。美しき人面蛇の尾が、あなたの首元を狙う。","纳迦的魔法抗性很高，轻易地化解了冷气波。美丽人面蛇的尾巴瞄准了你的咽喉。","Высокое сопротивление наги легко отразило волну мороза. Хвост прекрасной змеи потянулся к вашей шее.","La alta resistencia de la naga paró la ola de escarcha fácilmente. La cola de la hermosa serpiente buscó tu cuello.","A alta resistência da naga desviou a onda de geada facilmente. A cauda da bela serpente buscou seu pescoço.","Der hohe Widerstand der Naga parierte die Frostwelle spielend. Der Schwanz der schönen Schlange suchte deinen Hals.","나가의 마법 저항은 높아 냉기의 파도를 가뿐히 흘려보냈습니다. 아름다운 인면사의 꼬리가 당신의 목덜미를 노립니다."
"MSG_C_FREEZE_O_WIN","The orc's bulk was weighed down by ice silencing it. The strong monster was helpless before the frost.","オークの巨体を氷の重圧で押さえつけ、沈黙させた。力自慢の怪物も、凍てつく静寂の前には無力だった。","用冰的重压压制住了兽人的巨体使其沉默。自负蛮力的怪物在冻结的静寂面前也无能为力。","Масса орка была придавлена льдом, заставив его замолчать. Сильный монстр был беспомощен перед морозом.","El bulto del orco fue agobiado por el hielo silenciándolo. El fuerte monstruo estaba indefenso ante la escarcha.","O volume do orc foi pesado pelo gelo silenciando-o. O monstro forte estava indefenso diante da geada.","Die Masse des Orks wurde durch Eis niedergedrückt und brachte ihn zum Schweigen. Das starke Monster war hilflos vor dem Frost.","오크의 거구를 얼음의 중압으로 억눌러 침묵시켰습니다. 힘 자랑하던 괴물도 얼어붙은 정적 앞에서는 무력했습니다."
"MSG_C_FREEZE_P_LOSS","The pixie's light warped the frost blooming ice flowers in space. As you watched death whispered.","ピクシーの幻惑の光が冷気の軌道を狂わせ、虚空に氷の華を咲かせた。見惚れるあなたの背後で、死が囁く。","小仙女迷幻的光芒歪曲了冷气的轨道，在虚空中绽放出了冰之华。在你着迷之际，死神在背后低语。","Свет пикси искривил мороз, расцветая ледяными цветами в пространстве. Пока вы смотрели, смерть прошептала.","La luz de la pixie deformó la escarcha haciendo florecer flores de hielo en el espacio. Mientras mirabas, la muerte susurró.","A luz da pixie deformou a geada florescendo flores de gelo no espaço. Enquanto você assistia, a morte sussurró.","Das Licht der Pixie verzerrte den Frost und ließ Eisblumen im Raum blühen. Während du zusahst, flüsterte der Tod.","픽시의 환혹의 빛이 냉기의 궤도를 비틀어 허공에 얼음 꽃을 피웠습니다. 넋을 잃고 보는 당신의 등 뒤에서 죽음이 속삭입니다."
"MSG_C_FREEZE_Q_LOSS","The coeurl's field manipulated the air to neutralize the frost. Instead numbing cold struck your arm.","クアールの電磁場が空気の熱動を操作し、冷気を無力化した。痺れる冷たさが、逆にあなたの腕を襲う。","夸尔的电磁场操控了空气的热动，使冷气无效化。反而是那麻木的寒冷袭向了你的手臂。","Поле куэрла манипулировало воздухом, чтобы нейтрализовать мороз. Вместо этого онемевший холод ударил в вашу руку.","El campo del coeurl manipuló el aire para neutralizar la escarcha. En su lugar, un frío entumecedor golpeó tu brazo.","O campo do coeurl manipulou o ar para neutralizar a geada. Em vez disso, um frio entorpecente atingiu seu braço.","Das Feld des Coeurl manipulierte die Luft, um den Frost zu neutralisieren. Stattdessen traf betäubende Kälte deinen Arm.","쿠알의 전자기장이 공기의 열동을 조작하여 냉기를 무력화했습니다. 저릿한 차가움이 오히려 당신의 팔을 덮칩니다."
"MSG_C_FREEZE_R_LOSS","It was impossible to freeze the whole rat pack. Ignoring the sacrifice of one they bit through your armor.","数に勝るラットの群れを完全に凍らせることは不可能だ。一匹の犠牲を厭わぬ奴らが、あなたの防具を食い破る。","想要完全冻结数量占优的老鼠群是不可能的。不顾同伴牺牲的它们咬破了你的防具。","Было невозможно заморозить всю стаю крыс. Игнорируя жертву одного, они прогрызли вашу броню.","Fue imposible congelar a toda la manada de ratas. Ignorando el sacrificio de una, mordieron tu armadura.","Foi impossível congelar todo o bando de ratos. Ignorando o sacrifício de um, eles morderam sua armadura.","Es war unmöglich, das ganze Rattenrudel einzufrieren. Das Opfer einer Ratte ignorierend, bissen sie sich durch deine Rüstung.","숫자로 밀어붙이는 쥐 떼를 완전히 얼리는 것은 불가능합니다. 한 마리의 희생을 아랑곳하지 않는 놈들이 당신의 방어구를 물어뜯습니다."
"MSG_C_FREEZE_S_LOSS","The slime absorbed the frost and became even more elastic. The eerie body swallowed the ice and you.","スライムは冷気を吸収し、その弾力性をさらに増した。氷さえも飲み込む不気味な肉体が、あなたを包み込む。","史莱姆吸收了冷气，弹力进一步增加。连冰块都能吞噬的诡异肉体正将你包围。","Слайм впитал мороз и стал еще более эластичным. Жуткое тело проглотило лед и вас.","El limo absorbió la escarcha y se volvió aún más elástico. El cuerpo inquietante se tragó el hielo y a ti.","O slime absorveu a geada e tornou-se ainda mais elástico. O corpo sinistro engoliu o gelo e você.","Der Schleim absorbierte den Frost und wurde noch elastischer. Der unheimliche Körper verschlang das Eis und dich.","슬라임은 냉기를 흡수하여 탄력성을 더욱 높였습니다. 얼음마저 삼키는 기괴한 육체가 당신을 감싸 안습니다."
"MSG_C_FREEZE_T_LOSS","The troll outhealed the spreading frost. As it froze its flesh burst back and its club swung.","トロールの再生は冷気の蔓延をも上回る速さだ。凍りつくそばから肉が弾け、巨大な棍棒が振り下ろされる。","巨魔的再生速度超过了冷气的蔓延。在冻结的同时肉芽已经迸发，巨大的木棒挥了下来。","Тролль лечился быстрее, чем распространялся мороз. Пока он замерзал, его плоть лопалась и дубина замахивалась.","El troll se curó más rápido que el avance de la escarcha. Mientras se congelaba, su carne estallaba y su garrote se balanceaba.","O troll curou-se mais rápido do que a geada se espalhava. Enquanto congelava, sua carne explodia e seu porrete balançava.","Der Troll heilte schneller als der Frost sich ausbreitete. Während er fror, platzte sein Fleisch auf und sein Keule schwingt.","트롤의 재생은 냉기가 퍼지는 것보다 빠릅니다. 얼어붙는 즉시 살점이 튀어 오르고 거대한 곤봉이 휘둘러집니다."
"MSG_C_FREEZE_U_LOSS","Freezing failed against the incorporeal undead. The spirits' malice froze your soul directly.","実体のないアンデッドに、冷気による凍結は通用しない。死者の怨念が、あなたの魂を直接凍りつかせた。","冻结对没有实态的不死族毫无作用。死者的怨念直接冻结了你的灵魂。","Замораживание не подействовало на бесплотную нежить. Злоба духов напрямую заморозила вашу душу.","La congelación falló contra los no muertos incorpóreos. La malicia de los espíritus congeló tu alma directamente.","O congelamento falhou contra os mortos-vivos incorpóreos. A malícia dos espíritos congelou sua alma diretamente.","Einfrieren versagte gegen die unkörperlichen Untoten. Die Bosheit der Geister fror deine Seele direkt ein.","실체가 없는 언데드에게 냉기를 이용한 동결은 통하지 않습니다. 죽은 자의 원념이 당신의 영혼을 직접 얼려버렸습니다."
"MSG_C_FREEZE_V_LOSS","The vampire misted through the frost wave and appeared behind you. A white breath heralded death.","ヴァンパイアは冷気の波を霧散して回避し、背後の影から現れた。白い吐息が、死の訪れを告げる。","吸血鬼化作雾气避开了冷气波，并从身后的影子中出现。白色的吐息预告着死亡的降临。","Вампир прошел туманом сквозь волну мороза и появился позади вас. Белое дыхание возвестило о смерти.","El vampiro se hizo niebla a través de la ola de escarcha y apareció detrás de ti. Un aliento blanco anunció la muerte.","O vampiro transformou-se em névoa através da onda de geada e apareceu atrás de você. Um hálito branco anunciou a morte.","Der Vampir nebelte durch die Frostwelle und erschien hinter dir. Ein weißer Hauch verkündete den Tod.","뱀파이어는 냉기의 파도를 안개로 흩뿌리며 회피하고 등 뒤의 그림자에서 나타났습니다. 하얀 입김이 죽음의 방문을 알립니다."
"MSG_C_FREEZE_W_LOSS","The wolf's dodge left the frost only whitening the ground. From your blind spot fangs sought your throat.","ウルフの俊敏な回避により、冷気は虚しく地面を白く染めるだけだった。死角から迫る牙が、あなたの喉を狙う。","由于狼敏捷的躲避，冷气只是徒劳地染白了地面。从死角逼近的毒牙正瞄准你的咽喉。","Уклонение волка оставило мороз лишь белить землю. Из вашей слепой зоны клыки потянулись к вашему горлу.","El esquive del lobo dejó que la escarcha solo blanqueara el suelo. Desde tu punto ciego, los colmillos buscaron tu garganta.","A esquiva do lobo deixou a geada apenas branqueando o chão. Do seu ponto cego, as presas buscaram sua garganta.","Das Ausweichen des Wolfes ließ den Frost nur den Boden weiß färben. Aus deinem toten Winkel suchten Reißzähne deine Kehle.","울프의 민첩한 회피로 인해 냉기는 허무하게 지면을 하얗게 물들일 뿐이었습니다. 사각지대에서 다가오는 송곳니가 당신의 목을 노립니다."
"MSG_C_FREEZE_X_LOSS","Xalthis's many legs shattered the ice as it approached. You feared the monster's will to resist.","ザルティスの不気味な多足が氷を砕きながら接近する。冷気に抗う魔物の意志に、あなたは恐怖した。","扎尔提斯诡异的多肢一边粉碎冰块一边逼近。你被这反抗冷气的魔物意志所震惊。","Множество ног Зальтиса разбивали лед по мере приближения. Вы устрашились воли монстра к сопротивлению.","Las muchas patas de Xalthis rompieron el hielo mientras se acercaba. Temiste la voluntad del monstruo de resistir.","As muitas patas de Xalthis quebraram o gelo enquanto ele se aproximava. Você temeu a vontade do monstro de resistir.","Xalthis' viele Beine zertrümmerten das Eis, während er näher kam. Du fürchtetest den Widerstandswillen des Monsters.","잘티스의 기괴한 다족이 얼음을 깨부수며 접근합니다. 냉기에 저항하는 마물의 의지에 당신은 공포를 느꼈습니다."
"MSG_C_FREEZE_Y_WIN","Your magic surpassed the yeti's mastery of cold. The ice giant fell into silence a statue of ice.","冷気の本場であるイエティの力を、魔法が上回った。氷の巨人は永劫の沈黙に包まれ、静かなる氷山となった。","魔法的力量超越了身为冷气本家的雪人。冰巨人被永远的沉默包围，化作了一座寂静的冰山。","Ваша магия превзошла мастерство йети в холоде. Ледяной гигант погрузился в тишину, став ледяной статуей.","Tu magia superó el dominio del frío del yeti. El gigante de hielo cayó en el silencio como una estatua de hielo.","Sua magia superou o domínio do frio do yeti. O gigante de gelo caiu no silêncio como uma estátua de gelo.","Deine Magie übertraf die Kältebeherrschung des Yetis. Der Eisriese verfiel in Schweigen, eine Statue aus Eis.","냉기의 본고장인 예티의 힘을 마법이 압도했습니다. 얼음 거인은 영겁의 침묵에 휩싸여 고요한 빙산이 되었습니다."
"MSG_C_FREEZE_Z_LOSS","The zombie's rotting flesh kept moving even when frozen. Cold dead arms choked your life away.","ゾンビの腐敗した肉体は、凍りついても動きを止めない。感覚を失った死の腕が、あなたの命を絞め上げる。","僵尸腐烂的肉体即使被冻住也不会停止行动。失去知觉的死亡之臂正绞杀你的生命。","Гниющая плоть зомби продолжала двигаться даже в замороженном виде. Холодные мертвые руки задушили вашу жизнь.","La carne podrida del zombi siguió moviéndose incluso congelada. Brazos muertos y fríos asfixiaron tu vida.","A carne podre do zumbi continuou se movendo mesmo congelada. Braços mortos e frios sufocaram sua vida.","Das verrottende Fleisch des Zombies bewegte sich weiter, selbst wenn es gefroren war. Kalte, tote Arme erstickten dein Leben.","좀비의 부패한 육체는 얼어붙어도 움직임을 멈추지 않습니다. 감각을 잃은 죽음의 팔이 당신의 생명을 죄어옵니다."
